表 19 100 米游泳考试评分标准（25 米池）100 米蝶泳 男子,,,,,,,,,,,
score,value,,,,,,,,,,
75,01:09.0,,,,,,,,,,
74,01:10.0,,,,,,,,,,
73,01:11.0,,,,,,,,,,
72,01:12.0,,,,,,,,,,
71,01:13.5,,,,,,,,,,
70,01:15.0,,,,,,,,,,
69,01:16.5,,,,,,,,,,
68,01:18.0,,,,,,,,,,
67,01:19.5,,,,,,,,,,
66,01:20.5,,,,,,,,,,
65,01:22.0,,,,,,,,,,
64,01:24.0,,,,,,,,,,
63,01:26.0,,,,,,,,,,
62,01:28.0,,,,,,,,,,
61,01:30.0,,,,,,,,,,
60,01:32.0,,,,,,,,,,
59,01:34.0,,,,,,,,,,
58,01:38.0,,,,,,,,,,
57,01:40.0,,,,,,,,,,
56,01:42.0,,,,,,,,,,
55,01:44.5,,,,,,,,,,
54,01:47.0,,,,,,,,,,
53,01:49.5,,,,,,,,,,
52,01:52.0,,,,,,,,,,
51,01:55.0,,,,,,,,,,
50,01:58.0,,,,,,,,,,
49,01:01.0,,,,,,,,,,
48,02:04.0,,,,,,,,,,
47,02:07.0,,,,,,,,,,
46,02:10.0,,,,,,,,,,
45,02:13.0,,,,,,,,,,
44,02:16.0,,,,,,,,,,
43,02:19.0,,,,,,,,,,
42,02:21.0,,,,,,,,,,
41,02:24.0,,,,,,,,,,
40,02:27.0,,,,,,,,,,
39,02:30.0,,,,,,,,,,
38,02:33.0,,,,,,,,,,
37,02:36.0,,,,,,,,,,
36,02:39.0,,,,,,,,,,
35,02:42.0,,,,,,,,,,
34,02:45.0,,,,,,,,,,
33,02:48.0,,,,,,,,,,
32,02:51.0,,,,,,,,,,
31,02:55.0,,,,,,,,,,
30,02:58.0,,,,,,,,,,
29,03:01.0,,,,,,,,,,
28,03:04.0,,,,,,,,,,
27,03:07.0,,,,,,,,,,
26,03:10.0,,,,,,,,,,
25,03:13.0,,,,,,,,,,
24,03:17.0,,,,,,,,,,
23,03:21.0,,,,,,,,,,
22,03:25.0,,,,,,,,,,
21,03:29.0,,,,,,,,,,
20,03:33.0,,,,,,,,,,
19,03:37.0,,,,,,,,,,
18,03:41.0,,,,,,,,,,
17,03:45.0,,,,,,,,,,
16,03:49.0,,,,,,,,,,
15,03:53.0,,,,,,,,,,
14,03:57.0,,,,,,,,,,
13,04:01.0,,,,,,,,,,
12,04:05.0,,,,,,,,,,
11,04:09.0,,,,,,,,,,
10,04:13.0,,,,,,,,,,
9,04:17.0,,,,,,,,,,
8,04:21.0,,,,,,,,,,
7,04:25.0,,,,,,,,,,
6,04:29.0,,,,,,,,,,
5,04:33.0,,,,,,,,,,
4,04:37.0,,,,,,,,,,
3,04:41.0,,,,,,,,,,
2,04:45.0,,,,,,,,,,
1,04:48.0,,,,,,,,,,
,,,,,,,,,,,
表 19 100 米游泳考试评分标准（25 米池）100 米蝶泳 女子,,,,,,,,,,,
score,value,,,,,,,,,,
75,01:18.0,,,,,,,,,,
74,01:19.0,,,,,,,,,,
73,01:20.0,,,,,,,,,,
72,01:21.0,,,,,,,,,,
71,01:22.5,,,,,,,,,,
70,01:24.0,,,,,,,,,,
69,01:25.5,,,,,,,,,,
68,01:27.0,,,,,,,,,,
67,01:28.5,,,,,,,,,,
66,01:30.0,,,,,,,,,,
65,01:31.5,,,,,,,,,,
64,01:33.0,,,,,,,,,,
63,01:35.0,,,,,,,,,,
62,01:37.0,,,,,,,,,,
61,01:39.0,,,,,,,,,,
60,01:41.0,,,,,,,,,,
59,01:42.0,,,,,,,,,,
58,01:44.0,,,,,,,,,,
57,01:46.0,,,,,,,,,,
56,01:48.0,,,,,,,,,,
55,01:50.5,,,,,,,,,,
54,01:53.0,,,,,,,,,,
53,01:56.5,,,,,,,,,,
52,01:59.0,,,,,,,,,,
51,02:01.5,,,,,,,,,,
50,02:04.0,,,,,,,,,,
49,02:06.5,,,,,,,,,,
48,02:09.0,,,,,,,,,,
47,02:12.0,,,,,,,,,,
46,02:15.0,,,,,,,,,,
45,02:18.0,,,,,,,,,,
44,02:21.0,,,,,,,,,,
43,02:24.0,,,,,,,,,,
42,02:26.0,,,,,,,,,,
41,02:29.0,,,,,,,,,,
40,02:31.0,,,,,,,,,,
39,02:34.0,,,,,,,,,,
38,02:37.0,,,,,,,,,,
37,02:40.0,,,,,,,,,,
36,02:43.0,,,,,,,,,,
35,02:46.0,,,,,,,,,,
34,02:49.0,,,,,,,,,,
33,02:52.0,,,,,,,,,,
32,02:55.0,,,,,,,,,,
31,02:58.0,,,,,,,,,,
30,03:01.0,,,,,,,,,,
29,03:04.0,,,,,,,,,,
28,03:07.0,,,,,,,,,,
27,03:10.0,,,,,,,,,,
26,03:13.0,,,,,,,,,,
25,03:16.0,,,,,,,,,,
24,03:20.0,,,,,,,,,,
23,03:24.0,,,,,,,,,,
22,03:28.0,,,,,,,,,,
21,03:32.0,,,,,,,,,,
20,03:36.0,,,,,,,,,,
19,03:40.0,,,,,,,,,,
18,03:44.0,,,,,,,,,,
17,03:48.0,,,,,,,,,,
16,03:52.0,,,,,,,,,,
15,03:56.0,,,,,,,,,,
14,04:00.0,,,,,,,,,,
13,04:04.0,,,,,,,,,,
12,04:08.0,,,,,,,,,,
11,04:12.0,,,,,,,,,,
10,04:16.0,,,,,,,,,,
9,04:20.0,,,,,,,,,,
8,04:24.0,,,,,,,,,,
7,04:28.0,,,,,,,,,,
6,04:32.0,,,,,,,,,,
5,04:36.0,,,,,,,,,,
4,04:40.0,,,,,,,,,,
3,04:44.0,,,,,,,,,,
2,04:48.0,,,,,,,,,,
1,04:52.0,,,,,,,,,,
,,,,,,,,,,,
表 19 100 米游泳考试评分标准（25 米池）100 米蛙泳 男子,,,,,,表 19 100 米游泳考试评分标准（25 米池）100 米蛙泳 男子,,,,100米仰泳,男子
score,value,,,,,,,,,,
75,01:13.0,,,,,,,,,,
74,01:14.0,,,,,,,,,,
73,01:15.0,,,,,,,,,,
72,01:16.0,,,,,,,,,,
71,01:17.5,,,,,,,,,,
70,01:19.0,,,,,,,,,,
69,01:20.5,,,,,,,,,,
68,01:22.0,,,,,,,,,,
67,01:23.5,,,,,,,,,,
66,01:25.0,,,,,,,,,,
65,01:26.5,,,,,,,,,,
64,01:28.0,,,,,,,,,,
63,01:30.0,,,,,,,,,,
62,01:32.0,,,,,,,,,,
61,01:34.0,,,,,,,,,,
60,01:36.0,,,,,,,,,,
59,01:38.0,,,,,,,,,,
58,01:40.0,,,,,,,,,,
57,01:42.0,,,,,,,,,,
56,01:44.0,,,,,,,,,,
55,01:46.0,,,,,,,,,,
54,01:48.0,,,,,,,,,,
53,01:50.0,,,,,,,,,,
52,01:52.0,,,,,,,,,,
51,01:54.5,,,,,,,,,,
50,01:57.0,,,,,,,,,,
49,02:00.0,,,,,,,,,,
48,02:03.0,,,,,,,,,,
47,02:06.0,,,,,,,,,,
46,02:09.0,,,,,,,,,,
45,02:12.0,,,,,,,,,,
44,02:15.0,,,,,,,,,,
43,02:18.0,,,,,,,,,,
42,02:21.0,,,,,,,,,,
41,02:24.0,,,,,,,,,,
40,02:27.0,,,,,,,,,,
39,02:30.0,,,,,,,,,,
38,02:33.0,,,,,,,,,,
37,02:36.0,,,,,,,,,,
36,02:39.0,,,,,,,,,,
35,02:42.0,,,,,,,,,,
34,02:45.0,,,,,,,,,,
33,02:48.0,,,,,,,,,,
32,02:51.0,,,,,,,,,,
31,02:54.0,,,,,,,,,,
30,02:57.0,,,,,,,,,,
29,03:00.0,,,,,,,,,,
28,03:03.0,,,,,,,,,,
27,03:06.0,,,,,,,,,,
26,03:09.0,,,,,,,,,,
25,03:12.0,,,,,,,,,,
24,03:16.0,,,,,,,,,,
23,03:20.0,,,,,,,,,,
22,03:24.0,,,,,,,,,,
21,03:28.0,,,,,,,,,,
20,03:32.0,,,,,,,,,,
19,03:36.0,,,,,,,,,,
18,03:40.0,,,,,,,,,,
17,03:44.0,,,,,,,,,,
16,03:48.0,,,,,,,,,,
15,03:52.0,,,,,,,,,,
14,03:56.0,,,,,,,,,,
13,04:00.0,,,,,,,,,,
12,04:04.0,,,,,,,,,,
11,04:08.0,,,,,,,,,,
10,04:12.0,,,,,,,,,,
9,04:16.0,,,,,,,,,,
8,04:20.0,,,,,,,,,,
7,04:24.0,,,,,,,,,,
6,04:28.0,,,,,,,,,,
5,04:32.0,,,,,,,,,,
4,04:36.0,,,,,,,,,,
3,04:40.0,,,,,,,,,,
2,04:44.0,,,,,,,,,,
1,04:48.0,,,,,,,,,,
,,,,,,,,,,,
表 19 100 米游泳考试评分标准（25 米池）100 米蛙泳 女子,,,,,,表 19 100 米游泳考试评分标准（25 米池）100 米蛙泳 女子,,,,100米仰泳,
score,value,,,,,,,,,,
75,01:20.0,,,,,,,,,,
74,01:21.0,,,,,,,,,,
73,01:22.0,,,,,,,,,,
72,01:23.0,,,,,,,,,,
71,01:24.5,,,,,,,,,,
70,01:26.0,,,,,,,,,,
69,01:27.5,,,,,,,,,,
68,01:29.0,,,,,,,,,,
67,01:30.5,,,,,,,,,,
66,01:32.0,,,,,,,,,,
65,01:33.5,,,,,,,,,,
64,01:35.0,,,,,,,,,,
63,01:37.0,,,,,,,,,,
62,01:39.0,,,,,,,,,,
61,01:41.0,,,,,,,,,,
60,01:43.0,,,,,,,,,,
59,01:45.0,,,,,,,,,,
58,01:47.0,,,,,,,,,,
57,01:49.0,,,,,,,,,,
56,01:51.0,,,,,,,,,,
55,01:53.5,,,,,,,,,,
54,01:56.0,,,,,,,,,,
53,01:58.5,,,,,,,,,,
52,02:01.0,,,,,,,,,,
51,02:03.5,,,,,,,,,,
50,02:06.0,,,,,,,,,,
49,02:09.0,,,,,,,,,,
48,02:12.5,,,,,,,,,,
47,02:15.0,,,,,,,,,,
46,02:18.5,,,,,,,,,,
45,02:21.0,,,,,,,,,,
