sequence_number,score,value
1,100.00,13.04
2,99.87,13.05
3,99.75,13.06
4,99.62,13.07
5,99.50,13.08
6,99.37,13.09
7,99.24,13.10
8,99.12,13.11
9,98.99,13.12
10,98.87,13.13
11,98.75,13.14
12,98.63,13.15
13,98.50,13.16
14,98.37,13.17
15,98.25,13.18
16,98.12,13.19
17,98.00,13.20
18,97.87,13.21
19,97.74,13.22
20,97.62,13.23
21,97.49,13.24
22,97.37,13.25
23,97.24,13.26
24,97.11,13.27
25,96.99,13.28
26,96.86,13.29
27,96.74,13.30
28,96.61,13.31
29,96.48,13.32
30,96.36,13.33
31,96.24,13.34
32,96.12,13.35
33,95.99,13.36
34,95.87,13.37
35,95.74,13.38
36,95.61,13.39
37,95.49,13.40
38,95.36,13.41
39,95.24,13.42
40,95.11,13.43
41,94.98,13.44
42,94.86,13.45
43,94.73,13.46
44,94.61,13.47
45,94.48,13.48
46,94.36,13.49
47,94.23,13.50
48,94.11,13.51
49,93.98,13.52
50,93.86,13.53
51,93.73,13.54
52,93.60,13.55
53,93.48,13.56
54,93.35,13.57
55,93.23,13.58
56,93.10,13.59
57,92.97,13.60
58,92.85,13.61
59,92.72,13.62
60,92.60,13.63
61,92.48,13.64
62,92.36,13.65
63,92.23,13.66
64,92.10,13.67
65,91.98,13.68
66,91.85,13.69
67,91.73,13.70
68,91.60,13.71
69,91.47,13.72
70,91.35,13.73
71,91.22,13.74
72,91.10,13.75
73,90.97,13.76
74,90.84,13.77
75,90.72,13.78
76,90.60,13.79
77,90.48,13.80
78,90.35,13.81
79,90.23,13.82
80,90.10,13.83
81,89.97,13.84
82,89.85,13.85
83,89.72,13.86
84,89.60,13.87
85,89.47,13.88
86,89.34,13.89
87,89.22,13.90
88,89.09,13.91
89,88.97,13.92
90,88.84,13.93
91,88.72,13.94
92,88.59,13.95
93,88.47,13.96
94,88.34,13.97
95,88.22,13.98
96,88.09,13.99
97,87.96,14.00
98,87.84,14.01
99,87.71,14.02
100,87.59,14.03
101,87.47,14.04
102,87.35,14.05
103,87.22,14.06
104,87.09,14.07
105,86.97,14.08
106,86.84,14.09
107,86.72,14.10
108,86.59,14.11
109,86.46,14.12
110,86.34,14.13
111,86.21,14.14
112,86.09,14.15
113,85.96,14.16
114,85.83,14.17
115,85.71,14.18
116,85.59,14.19
117,85.47,14.20
118,85.34,14.21
119,85.22,14.22
120,85.09,14.23
121,84.96,14.24
122,84.84,14.25
123,84.71,14.26
124,84.59,14.27
125,84.46,14.28
126,84.34,14.29
127,84.21,14.30
128,84.09,14.31
129,83.96,14.32
130,83.84,14.33
131,83.71,14.34
132,83.58,14.35
133,83.46,14.36
134,83.33,14.37
135,83.21,14.38
136,83.09,14.39
137,82.96,14.40
138,82.83,14.41
139,82.71,14.42
140,82.58,14.43
141,82.46,14.44
142,82.33,14.45
143,82.20,14.46
144,82.08,14.47
145,81.95,14.48
146,81.83,14.49
147,81.70,14.50
148,81.57,14.51
149,81.45,14.52
150,81.33,14.53
151,81.21,14.54
152,81.08,14.55
153,80.96,14.56
154,80.83,14.57
155,80.70,14.58
156,80.58,14.59
157,80.46,14.60
158,80.33,14.61
159,80.21,14.62
160,80.08,14.63
161,79.96,14.64
162,79.83,14.65
163,79.71,14.66
164,79.58,14.67
165,79.46,14.68
166,79.33,14.69
167,79.20,14.70
