sequence_number,score,value
1,100.00,11.54
2,99.73,11.55
3,99.47,11.56
4,99.20,11.57
5,98.93,11.58
6,98.66,11.59
7,98.40,11.60
8,98.13,11.61
9,97.86,11.62
10,97.59,11.63
11,97.32,11.64
12,97.06,11.65
13,96.79,11.66
14,96.52,11.67
15,96.26,11.68
16,95.99,11.69
17,95.72,11.70
18,95.45,11.71
19,95.19,11.72
20,94.92,11.73
21,94.65,11.74
22,94.38,11.75
23,94.12,11.76
24,93.85,11.77
25,93.58,11.78
26,93.31,11.79
27,93.05,11.80
28,92.78,11.81
29,92.51,11.82
30,92.24,11.83
31,91.98,11.84
32,91.71,11.85
33,91.44,11.86
34,91.17,11.87
35,90.91,11.88
36,90.64,11.89
37,90.37,11.90
38,90.10,11.91
39,89.84,11.92
40,89.57,11.93
41,89.30,11.94
42,89.03,11.95
43,88.77,11.96
44,88.50,11.97
45,88.23,11.98
46,87.97,11.99
47,87.70,12.00
48,87.43,12.01
49,87.16,12.02
50,86.90,12.03
51,86.63,12.04
52,86.36,12.05
53,86.10,12.06
54,85.83,12.07
55,85.56,12.08
56,85.30,12.09
57,85.03,12.10
58,84.76,12.11
59,84.49,12.12
60,84.23,12.13
61,83.96,12.14
62,83.69,12.15
63,83.43,12.16
64,83.16,12.17
65,82.90,12.18
66,82.63,12.19
67,82.36,12.20
68,82.10,12.21
69,81.83,12.22
70,81.56,12.23
71,81.30,12.24
72,81.03,12.25
73,80.76,12.26
74,80.50,12.27
75,80.23,12.28
76,79.96,12.29
77,79.70,12.30
78,79.43,12.31
79,79.17,12.32
80,78.90,12.33
81,78.63,12.34
82,78.37,12.35
83,78.10,12.36
84,77.83,12.37
85,77.57,12.38
86,77.30,12.39
87,77.03,12.40
88,76.77,12.41
89,76.50,12.42
90,76.23,12.43
91,75.96,12.44
92,75.70,12.45
93,75.43,12.46
94,75.16,12.47
95,74.90,12.48
96,74.63,12.49
97,74.36,12.50
98,74.10,12.51
99,73.83,12.52
100,73.57,12.53
101,73.30,12.54
102,73.03,12.55
103,72.77,12.56
104,72.50,12.57
105,72.24,12.58
106,71.97,12.59
107,71.70,12.60
108,71.44,12.61
109,71.17,12.62
110,70.91,12.63
111,70.64,12.64
112,70.37,12.65
113,70.11,12.66
114,69.84,12.67
115,69.58,12.68
116,69.31,12.69
117,69.04,12.70
118,68.78,12.71
119,68.51,12.72
120,68.25,12.73
121,67.98,12.74
122,67.71,12.75
123,67.45,12.76
124,67.18,12.77
125,66.92,12.78
126,66.65,12.79
127,66.38,12.80
128,66.12,12.81
129,65.85,12.82
130,65.59,12.83
131,65.32,12.84
132,65.05,12.85
133,64.79,12.86
134,64.52,12.87
135,64.26,12.88
136,63.99,12.89
137,63.72,12.90
138,63.46,12.91
139,63.19,12.92
140,62.93,12.93
141,62.66,12.94
142,62.39,12.95
143,62.13,12.96
144,61.86,12.97
145,61.60,12.98
146,61.33,12.99
147,61.06,13.00
148,60.80,13.01
149,60.53,13.02
150,60.27,13.03
151,60.00,13.04
152,59.73,13.05
153,59.47,13.06
154,59.20,13.07
155,58.94,13.08
156,58.67,13.09
157,58.40,13.10
158,58.14,13.11
159,57.87,13.12
160,57.61,13.13
161,57.34,13.14
162,57.08,13.15
163,56.81,13.16
164,56.55,13.17
165,56.28,13.18
166,56.02,13.19
167,55.75,13.20
168,55.49,13.21
169,55.22,13.22
170,54.96,13.23
171,54.69,13.24
172,54.43,13.25
173,54.16,13.26
174,53.89,13.27
175,53.63,13.28
176,53.36,13.29
177,53.10,13.30
178,52.83,13.31
179,52.57,13.32
180,52.30,13.33
181,52.04,13.34
182,51.77,13.35
183,51.51,13.36
184,51.24,13.37
185,50.98,13.38
186,50.71,13.39
187,50.45,13.40
188,50.18,13.41
189,49.92,13.42
190,49.65,13.43
191,49.38,13.44
192,49.12,13.45
193,48.85,13.46
194,48.59,13.47
195,48.32,13.48
196,48.06,13.49
197,47.79,13.50
198,47.53,13.51
199,47.26,13.52
200,47.00,13.53
201,46.73,13.54
202,46.47,13.55
203,46.20,13.56
204,45.94,13.57
205,45.67,13.58
206,45.41,13.59
207,45.14,13.60
208,44.88,13.61
209,44.61,13.62
210,44.35,13.63
211,44.08,13.64
212,43.82,13.65
213,43.55,13.66
214,43.29,13.67
215,43.02,13.68
216,42.76,13.69
217,42.49,13.70
218,42.23,13.71
219,41.96,13.72
220,41.70,13.73
221,41.43,13.74
222,41.17,13.75
223,40.90,13.76
224,40.64,13.77
225,40.37,13.78
226,40.11,13.79
227,39.84,13.80
228,39.58,13.81
229,39.32,13.82
230,39.05,13.83
231,38.79,13.84
232,38.52,13.85
233,38.26,13.86
234,38.00,13.87
235,37.73,13.88
236,37.47,13.89
237,37.20,13.90
238,36.94,13.91
239,36.67,13.92
240,36.41,13.93
241,36.14,13.94
242,35.88,13.95
243,35.62,13.96
244,35.35,13.97
245,35.09,13.98
246,34.82,13.99
247,34.56,14.00
248,34.29,14.01
249,34.03,14.02
250,33.76,14.03
251,33.50,14.04
252,33.23,14.05
253,32.97,14.06
254,32.71,14.07
255,32.44,14.08
256,32.18,14.09
257,31.91,14.10
258,31.65,14.11
259,31.39,14.12
260,31.12,14.13
261,30.86,14.14
262,30.59,14.15
263,30.33,14.16
264,30.06,14.17
265,29.80,14.18
266,29.53,14.19
267,29.27,14.20
268,29.01,14.21
269,28.74,14.22
270,28.48,14.23
271,28.21,14.24
272,27.95,14.25
273,27.68,14.26
274,27.42,14.27
275,27.15,14.28
276,26.89,14.29
277,26.63,14.30
278,26.36,14.31
279,26.10,14.32
280,25.83,14.33
281,25.57,14.34
282,25.31,14.35
283,25.04,14.36
284,24.78,14.37
285,24.51,14.38
286,24.25,14.39
287,23.99,14.40
288,23.72,14.41
289,23.46,14.42
290,23.19,14.43
291,22.93,14.44
292,22.67,14.45
293,22.40,14.46
294,22.14,14.47
295,21.88,14.48
296,21.61,14.49
297,21.35,14.50
298,21.09,14.51
299,20.83,14.52
300,20.56,14.53
301,20.30,14.54
302,20.04,14.55
303,19.77,14.56
304,19.51,14.57
305,19.25,14.58
306,18.98,14.59
307,18.72,14.60
308,18.46,14.61
309,18.19,14.62
310,17.93,14.63
311,17.66,14.64
312,17.40,14.65
313,17.14,14.66
314,16.87,14.67
315,16.61,14.68
316,16.34,14.69
317,16.08,14.70
318,15.82,14.71
319,15.55,14.72
320,15.29,14.73
321,15.02,14.74
322,14.76,14.75
323,14.50,14.76
324,14.23,14.77
325,13.97,14.78
326,13.71,14.79
327,13.44,14.80
328,13.18,14.81
329,12.92,14.82
330,12.66,14.83
331,12.39,14.84
332,12.13,14.85
333,11.86,14.86
334,11.60,14.87
335,11.34,14.88
336,11.07,14.89
337,10.81,14.90
338,10.55,14.91
339,10.28,14.92
340,10.02,14.93
341,9.76,14.94
342,9.49,14.95
343,9.23,14.96
344,8.97,14.97
345,8.71,14.98
346,8.44,14.99
347,8.18,15.00
348,7.92,15.01
349,7.65,15.02
350,7.39,15.03
351,7.13,15.04
352,6.86,15.05
353,6.60,15.06
354,6.34,15.07
355,6.08,15.08
356,5.81,15.09
357,5.55,15.10
358,5.29,15.11
359,5.02,15.12
360,4.76,15.13
361,4.50,15.14
362,4.23,15.15
363,3.97,15.16
364,3.71,15.17
365,3.45,15.18
366,3.18,15.19
367,2.92,15.20
368,2.66,15.21
369,2.39,15.22
370,2.13,15.23
371,1.87,15.24
