sequence_number,score,value
1,100.00,8.00
2,99.63,8.01
3,99.26,8.02
4,98.90,8.03
5,98.53,8.04
6,98.16,8.05
7,97.79,8.06
8,97.42,8.07
9,97.06,8.08
10,96.69,8.09
11,96.32,8.10
12,95.94,8.11
13,95.55,8.12
14,95.17,8.13
15,94.78,8.14
16,94.40,8.15
17,94.05,8.16
18,93.70,8.17
19,93.36,8.18
20,92.66,8.20
21,92.29,8.21
22,91.92,8.22
23,91.56,8.23
24,91.19,8.24
25,90.82,8.25
26,90.46,8.26
27,90.09,8.27
28,89.73,8.28
29,89.36,8.29
30,89.00,8.30
31,88.63,8.31
32,88.27,8.32
33,87.90,8.33
34,87.54,8.34
35,87.17,8.35
36,86.80,8.36
37,86.44,8.37
38,86.07,8.38
39,85.71,8.39
40,85.34,8.40
41,84.98,8.41
42,84.61,8.42
43,84.25,8.43
44,83.88,8.44
45,83.52,8.45
46,83.16,8.46
47,82.79,8.47
48,82.06,8.49
49,81.70,8.50
50,81.34,8.51
51,80.97,8.52
52,80.61,8.53
53,80.24,8.54
54,79.88,8.55
55,79.52,8.56
56,79.15,8.57
57,78.79,8.58
58,78.42,8.59
59,78.06,8.60
60,77.70,8.61
61,77.33,8.62
62,76.97,8.63
63,76.61,8.64
64,76.25,8.65
65,75.88,8.66
66,75.52,8.67
67,75.15,8.68
68,74.79,8.69
69,74.43,8.70
70,74.06,8.71
71,73.70,8.72
72,73.34,8.73
73,72.98,8.74
74,72.62,8.75
75,72.25,8.76
76,71.53,8.78
77,71.17,8.79
78,70.81,8.80
79,70.45,8.81
80,70.09,8.82
81,69.73,8.83
82,69.37,8.84
83,69.01,8.85
84,68.65,8.86
85,68.28,8.87
86,67.92,8.88
87,67.56,8.89
88,67.20,8.90
89,66.84,8.91
90,66.48,8.92
91,66.12,8.93
92,65.76,8.94
93,65.40,8.95
94,65.04,8.96
95,64.68,8.97
96,64.32,8.98
97,63.96,8.99
98,63.60,9.00
99,63.24,9.01
100,62.88,9.02
101,62.52,9.03
102,62.16,9.04
103,61.80,9.05
104,61.08,9.07
105,60.72,9.08
106,60.36,9.09
107,60.00,9.10
108,59.64,9.11
109,59.28,9.12
110,58.92,9.13
111,58.56,9.14
112,58.20,9.15
113,57.84,9.16
114,57.49,9.17
115,57.13,9.18
116,56.77,9.19
117,56.41,9.20
118,56.05,9.21
119,55.70,9.22
120,55.34,9.23
121,54.98,9.24
122,54.62,9.25
123,54.26,9.26
124,53.91,9.27
125,53.55,9.28
126,53.19,9.29
127,52.83,9.30
128,52.47,9.31
129,52.12,9.32
130,51.76,9.33
131,51.40,9.34
132,50.68,9.36
133,50.33,9.37
134,49.97,9.38
135,49.61,9.39
136,49.25,9.40
137,48.90,9.41
138,48.54,9.42
139,48.18,9.43
140,47.83,9.44
141,47.47,9.45
142,47.12,9.46
143,46.76,9.47
144,46.40,9.48
145,46.05,9.49
146,45.69,9.50
147,45.34,9.51
148,44.98,9.52
149,44.62,9.53
150,44.27,9.54
151,43.91,9.55
152,43.56,9.56
153,43.20,9.57
154,42.84,9.58
155,42.49,9.59
156,42.13,9.60
157,41.78,9.61
158,41.42,9.62
159,41.06,9.63
160,40.35,9.65
161,40.00,9.66
162,39.64,9.67
163,39.29,9.68
164,38.93,9.69
165,38.58,9.70
166,38.22,9.71
167,37.87,9.72
168,37.51,9.73
169,37.16,9.74
170,36.80,9.75
171,36.45,9.76
172,36.09,9.77
173,35.74,9.78
174,35.39,9.79
175,35.03,9.80
176,34.68,9.81
177,34.32,9.82
178,33.97,9.83
179,33.62,9.84
180,33.26,9.85
181,32.91,9.86
182,32.56,9.87
183,32.20,9.88
184,31.85,9.89
185,31.50,9.90
186,31.14,9.91
187,30.79,9.92
188,30.44,9.93
189,30.08,9.94
190,29.73,9.95
191,29.38,9.96
192,29.03,9.97
193,28.67,9.98
194,28.32,9.99
195,27.97,10.00
196,27.62,10.01
197,27.26,10.02
198,26.91,10.03
199,26.56,10.04
200,26.20,10.05
201,25.85,10.06
202,25.50,10.07
203,25.14,10.08
204,24.79,10.09
205,24.44,10.10
206,24.09,10.11
207,23.74,10.12
208,23.39,10.13
209,23.03,10.14
210,22.68,10.15
211,22.33,10.16
212,21.98,10.17
213,21.63,10.18
214,21.28,10.19
215,20.93,10.20
216,20.58,10.21
217,20.23,10.22
218,19.88,10.23
219,19.52,10.24
220,19.17,10.25
221,18.82,10.26
222,18.47,10.27
223,18.12,10.28
224,17.77,10.29
225,17.42,10.30
226,17.07,10.31
227,16.72,10.32
228,16.37,10.33
229,16.02,10.34
230,15.67,10.35
231,15.32,10.36
232,14.97,10.37
233,14.62,10.38
234,14.27,10.39
235,13.92,10.40
236,13.57,10.41
237,13.22,10.42
238,12.87,10.43
239,12.52,10.44
240,12.17,10.45
241,11.82,10.46
242,11.47,10.47
243,11.12,10.48
244,10.77,10.49
245,10.42,10.50
246,10.07,10.51
247,9.72,10.52
248,9.37,10.53
249,9.03,10.54
250,8.68,10.55
251,8.33,10.56
252,7.98,10.57
253,7.63,10.58
254,7.29,10.59
255,6.94,10.60
256,6.59,10.61
257,6.24,10.62
258,5.89,10.63
259,5.55,10.64
260,5.20,10.65
261,4.85,10.66
262,4.50,10.67
263,4.15,10.68
264,3.81,10.69
265,3.46,10.70
266,3.11,10.71
267,2.76,10.72
268,2.41,10.73
269,2.07,10.74
270,1.72,10.75
