sequence_number,score,value
1,100.00,7.30
2,99.71,7.31
3,99.43,7.32
4,98.86,7.34
5,98.57,7.35
6,98.28,7.36
7,98.00,7.37
8,97.71,7.38
9,97.42,7.39
10,97.13,7.40
11,96.85,7.41
12,96.56,7.42
13,96.28,7.43
14,95.99,7.44
15,95.70,7.45
16,95.42,7.46
17,95.13,7.47
18,94.84,7.48
19,94.56,7.49
20,94.27,7.50
21,93.98,7.51
22,93.70,7.52
23,93.41,7.53
24,93.13,7.54
25,92.84,7.55
26,92.55,7.56
27,92.26,7.57
28,91.98,7.58
29,91.69,7.59
30,91.40,7.60
31,91.12,7.61
32,90.83,7.62
33,90.54,7.63
34,89.97,7.65
35,89.68,7.66
36,89.40,7.67
37,89.11,7.68
38,88.82,7.69
39,88.54,7.70
40,88.25,7.71
41,87.97,7.72
42,87.68,7.73
43,87.39,7.74
44,87.11,7.75
45,86.82,7.76
46,86.54,7.77
47,86.25,7.78
48,85.96,7.79
49,85.68,7.80
50,85.39,7.81
51,85.11,7.82
52,84.82,7.83
53,84.53,7.84
54,84.25,7.85
55,83.96,7.86
56,83.68,7.87
57,83.39,7.88
58,83.10,7.89
59,82.82,7.90
60,82.53,7.91
61,82.25,7.92
62,81.96,7.93
63,81.67,7.94
64,81.10,7.96
65,80.82,7.97
66,80.53,7.98
67,80.24,7.99
68,79.96,8.00
69,79.67,8.01
70,79.39,8.02
71,79.11,8.03
72,78.82,8.04
73,78.54,8.05
74,78.25,8.06
75,77.97,8.07
76,77.68,8.08
77,77.39,8.09
78,77.11,8.10
79,76.83,8.11
80,76.54,8.12
81,76.26,8.13
82,75.97,8.14
83,75.68,8.15
84,75.40,8.16
85,75.11,8.17
86,74.83,8.18
87,74.54,8.19
88,74.25,8.20
89,73.97,8.21
90,73.68,8.22
91,73.40,8.23
92,73.11,8.24
93,72.83,8.25
94,72.26,8.27
95,71.97,8.28
96,71.69,8.29
97,71.40,8.30
98,71.11,8.31
99,70.83,8.32
100,70.54,8.33
101,70.26,8.34
102,69.97,8.35
103,69.68,8.36
104,69.40,8.37
105,69.11,8.38
106,68.83,8.39
107,68.55,8.40
108,68.27,8.41
109,67.98,8.42
110,67.69,8.43
111,67.41,8.44
112,67.12,8.45
113,66.84,8.46
114,66.55,8.47
115,66.26,8.48
116,65.98,8.49
117,65.70,8.50
118,65.42,8.51
119,65.13,8.52
120,64.85,8.53
121,64.56,8.54
122,64.27,8.55
123,63.99,8.56
124,63.42,8.58
125,63.13,8.59
126,62.85,8.60
127,62.56,8.61
128,62.28,8.62
129,61.99,8.63
130,61.71,8.64
131,61.42,8.65
132,61.13,8.66
133,60.85,8.67
134,60.56,8.68
135,60.28,8.69
136,60.00,8.70
137,59.72,8.71
138,59.43,8.72
139,59.15,8.73
140,58.86,8.74
141,58.58,8.75
142,58.29,8.76
143,58.01,8.77
144,57.72,8.78
145,57.44,8.79
146,57.15,8.80
147,56.87,8.81
148,56.58,8.82
149,56.30,8.83
150,56.01,8.84
151,55.73,8.85
152,55.44,8.86
153,55.16,8.87
154,54.59,8.89
155,54.31,8.90
156,54.02,8.91
157,53.74,8.92
158,53.46,8.93
159,53.17,8.94
160,52.89,8.95
161,52.61,8.96
162,52.32,8.97
163,52.04,8.98
164,51.76,8.99
165,51.47,9.00
166,51.19,9.01
167,50.90,9.02
168,50.62,9.03
169,50.33,9.04
170,50.04,9.05
171,49.76,9.06
172,49.47,9.07
173,49.19,9.08
174,48.90,9.09
175,48.62,9.10
176,48.33,9.11
177,48.05,9.12
178,47.76,9.13
179,47.48,9.14
180,47.20,9.15
181,46.91,9.16
182,46.63,9.17
183,46.35,9.18
184,46.06,9.19
185,45.78,9.20
186,45.50,9.21
187,45.21,9.22
188,44.93,9.23
189,44.64,9.24
190,44.36,9.25
191,44.08,9.26
192,43.79,9.27
193,43.51,9.28
194,43.22,9.29
195,42.94,9.30
196,42.66,9.31
197,42.37,9.32
198,42.09,9.33
199,41.81,9.34
200,41.53,9.35
201,41.25,9.36
202,40.96,9.37
203,40.68,9.38
204,40.39,9.39
205,40.11,9.40
206,39.82,9.41
207,39.54,9.42
208,39.25,9.43
209,38.97,9.44
210,38.69,9.45
211,38.41,9.46
212,38.12,9.47
213,37.84,9.48
214,37.55,9.49
215,37.27,9.50
216,36.99,9.51
217,36.70,9.52
218,36.42,9.53
219,36.13,9.54
220,35.85,9.55
221,35.57,9.56
222,35.29,9.57
223,35.00,9.58
224,34.72,9.59
225,34.44,9.60
226,34.16,9.61
227,33.87,9.62
228,33.59,9.63
229,33.31,9.64
230,33.02,9.65
231,32.74,9.66
232,32.46,9.67
233,32.17,9.68
234,31.89,9.69
235,31.60,9.70
236,31.32,9.71
237,31.04,9.72
238,30.76,9.73
239,30.47,9.74
240,30.19,9.75
241,29.91,9.76
242,29.62,9.77
243,29.34,9.78
244,29.06,9.79
245,28.77,9.80
246,28.49,9.81
247,28.21,9.82
248,27.92,9.83
249,27.64,9.84
250,27.36,9.85
251,27.08,9.86
252,26.79,9.87
253,26.51,9.88
254,26.23,9.89
255,25.94,9.90
256,25.66,9.91
257,25.38,9.92
258,25.09,9.93
259,24.81,9.94
260,24.53,9.95
261,24.25,9.96
262,23.96,9.97
263,23.68,9.98
264,23.40,9.99
265,23.11,10.00
266,22.83,10.01
267,22.55,10.02
268,22.26,10.03
269,21.98,10.04
270,21.70,10.05
271,21.41,10.06
272,21.13,10.07
273,20.85,10.08
274,20.57,10.09
275,20.29,10.10
276,20.00,10.11
277,19.72,10.12
278,19.44,10.13
279,19.16,10.14
280,18.87,10.15
281,18.59,10.16
282,18.31,10.17
283,18.03,10.18
284,17.74,10.19
285,17.46,10.20
286,17.18,10.21
287,16.90,10.22
288,16.62,10.23
289,16.33,10.24
290,16.05,10.25
291,15.77,10.26
292,15.49,10.27
293,15.20,10.28
294,14.92,10.29
295,14.63,10.30
