sequence_number,score,value
1,100.00,15.10
2,99.78,15.11
3,99.56,15.12
4,99.34,15.13
5,99.12,15.14
6,98.90,15.15
7,98.68,15.16
8,98.46,15.17
9,98.24,15.18
10,98.02,15.19
11,97.80,15.20
12,97.60,15.21
13,97.41,15.22
14,97.21,15.23
15,97.01,15.24
16,96.82,15.25
17,96.62,15.26
18,96.42,15.27
19,96.22,15.28
20,96.03,15.29
21,95.83,15.30
22,95.65,15.31
23,95.47,15.32
24,95.29,15.33
25,95.11,15.34
26,94.93,15.35
27,94.75,15.36
28,94.57,15.37
29,94.39,15.38
30,94.21,15.39
31,94.03,15.40
32,93.86,15.41
33,93.69,15.42
34,93.53,15.43
35,93.36,15.44
36,93.19,15.45
37,93.02,15.46
38,92.85,15.47
39,92.69,15.48
40,92.52,15.49
41,92.35,15.50
42,92.19,15.51
43,92.04,15.52
44,91.88,15.53
45,91.72,15.54
46,91.56,15.55
47,91.41,15.56
48,91.25,15.57
49,91.09,15.58
50,90.94,15.59
51,90.78,15.60
52,90.63,15.61
53,90.48,15.62
54,90.34,15.63
55,90.19,15.64
56,90.04,15.65
57,89.89,15.66
58,89.74,15.67
59,89.60,15.68
60,89.45,15.69
61,89.30,15.70
62,89.16,15.71
63,89.02,15.72
64,88.88,15.73
65,88.74,15.74
66,88.60,15.75
67,88.46,15.76
68,88.32,15.77
69,88.18,15.78
70,88.04,15.79
71,87.90,15.80
72,87.77,15.81
73,87.63,15.82
74,87.50,15.83
75,87.36,15.84
76,87.23,15.85
77,87.10,15.86
78,86.96,15.87
79,86.83,15.88
80,86.69,15.89
81,86.56,15.90
82,86.43,15.91
83,86.30,15.92
84,86.17,15.93
85,86.04,15.94
86,85.91,15.95
87,85.79,15.96
88,85.66,15.97
89,85.53,15.98
90,85.40,15.99
91,85.27,16.00
92,85.15,16.01
93,85.02,16.02
94,84.90,16.03
95,84.78,16.04
96,84.65,16.05
97,84.53,16.06
98,84.41,16.07
99,84.29,16.08
100,84.16,16.09
101,84.04,16.10
102,83.92,16.11
