sequence_number,score,value
1,100.00,13.60
2,99.69,13.61
3,99.37,13.62
4,99.06,13.63
5,98.75,13.64
6,98.44,13.65
7,98.12,13.66
8,97.81,13.67
9,97.50,13.68
10,97.18,13.69
11,96.87,13.70
12,96.59,13.71
13,96.30,13.72
14,96.02,13.73
15,95.73,13.74
16,95.45,13.75
17,95.17,13.76
18,94.88,13.77
19,94.60,13.78
20,94.31,13.79
21,94.03,13.80
22,93.77,13.81
23,93.51,13.82
24,93.25,13.83
25,92.99,13.84
26,92.72,13.85
27,92.46,13.86
28,92.20,13.87
29,91.94,13.88
30,91.68,13.89
31,91.42,13.90
32,91.18,13.91
33,90.93,13.92
34,90.69,13.93
35,90.44,13.94
36,90.20,13.95
37,89.96,13.96
38,89.71,13.97
39,89.47,13.98
40,89.22,13.99
41,88.98,14.00
42,88.75,14.01
43,88.52,14.02
44,88.30,14.03
45,88.07,14.04
46,87.84,14.05
47,87.61,14.06
48,87.38,14.07
49,87.16,14.08
50,86.93,14.09
51,86.70,14.10
52,86.48,14.11
53,86.27,14.12
54,86.05,14.13
55,85.83,14.14
56,85.62,14.15
57,85.40,14.16
58,85.18,14.17
59,84.96,14.18
60,84.75,14.19
61,84.53,14.20
62,84.33,14.21
63,84.12,14.22
64,83.92,14.23
65,83.71,14.24
66,83.51,14.25
67,83.30,14.26
68,83.10,14.27
69,82.89,14.28
70,82.69,14.29
71,82.48,14.30
72,82.28,14.31
73,82.09,14.32
74,81.89,14.33
75,81.69,14.34
76,81.50,14.35
77,81.30,14.36
78,81.10,14.37
79,80.90,14.38
80,80.71,14.39
81,80.51,14.40
82,80.32,14.41
83,80.13,14.42
84,79.94,14.43
85,79.75,14.44
86,79.57,14.45
87,79.38,14.46
88,79.19,14.47
89,79.00,14.48
90,78.81,14.49
91,78.62,14.50
92,78.44,14.51
93,78.26,14.52
94,78.07,14.53
95,77.89,14.54
96,77.71,14.55
97,77.53,14.56
98,77.35,14.57
99,77.16,14.58
100,76.98,14.59
101,76.80,14.60
102,76.63,14.61
103,76.45,14.62
104,76.28,14.63
105,76.10,14.64
106,75.93,14.65
107,75.75,14.66
108,75.58,14.67
109,75.40,14.68
110,75.23,14.69
111,75.05,14.70
112,74.88,14.71
113,74.71,14.72
114,74.54,14.73
115,74.37,14.74
116,74.21,14.75
117,74.04,14.76
118,73.87,14.77
119,73.70,14.78
120,73.53,14.79
121,73.36,14.80
122,73.20,14.81
123,73.04,14.82
124,72.87,14.83
125,72.71,14.84
126,72.55,14.85
127,72.39,14.86
128,72.23,14.87
129,72.06,14.88
130,71.90,14.89
131,71.74,14.90
132,71.58,14.91
133,71.42,14.92
134,71.25,14.93
135,71.09,14.94
136,70.93,14.95
137,70.77,14.96
138,70.61,14.97
139,70.44,14.98
140,70.28,14.99
141,70.12,15.00
142,69.96,15.01
143,69.81,15.02
144,69.65,15.03
145,69.50,15.04
146,69.34,15.05
147,69.18,15.06
148,69.03,15.07
149,68.87,15.08
150,68.72,15.09
151,68.56,15.10
152,68.41,15.11
153,68.26,15.12
154,68.11,15.13
155,67.96,15.14
156,67.81,15.15
157,67.65,15.16
158,67.50,15.17
159,67.35,15.18
160,67.20,15.19
161,67.05,15.20
162,66.90,15.21
163,66.76,15.22
164,66.61,15.23
165,66.46,15.24
166,66.32,15.25
167,66.17,15.26
168,66.02,15.27
169,65.87,15.28
170,65.73,15.29
171,65.58,15.30
172,65.44,15.31
173,65.29,15.32
174,65.15,15.33
175,65.00,15.34
176,64.86,15.35
177,64.72,15.36
178,64.57,15.37
179,64.43,15.38
180,64.28,15.39
181,64.14,15.40
182,64.00,15.41
183,63.86,15.42
184,63.72,15.43
185,63.58,15.44
186,63.43,15.45
187,63.29,15.46
188,63.15,15.47
189,63.01,15.48
190,62.87,15.49
191,62.73,15.50
192,62.59,15.51
193,62.45,15.52
194,62.32,15.53
195,62.18,15.54
196,62.04,15.55
197,61.90,15.56
198,61.76,15.57
199,61.63,15.58
200,61.49,15.59
201,61.35,15.60
202,61.21,15.61
203,61.08,15.62
204,60.94,15.63
205,60.81,15.64
206,60.67,15.65
207,60.54,15.66
208,60.40,15.67
209,60.27,15.68
210,60.13,15.69
211,60.00,15.70
212,59.87,15.71
213,59.74,15.72
214,59.60,15.73
215,59.47,15.74
216,59.34,15.75
217,59.21,15.76
218,59.08,15.77
219,58.94,15.78
