sequence_number,score,value
1,100.00,9.00
2,99.89,9.01
3,99.77,9.02
4,99.66,9.03
5,99.55,9.04
6,99.43,9.05
7,99.32,9.06
8,99.20,9.07
9,99.09,9.08
10,98.98,9.09
11,98.86,9.10
12,98.75,9.11
13,98.64,9.12
14,98.52,9.13
15,98.41,9.14
16,98.30,9.15
17,98.18,9.16
18,98.07,9.17
19,97.95,9.18
20,97.84,9.19
21,97.73,9.20
22,97.61,9.21
23,97.50,9.22
24,97.39,9.23
25,97.27,9.24
26,97.16,9.25
27,97.05,9.26
28,96.93,9.27
29,96.82,9.28
30,96.70,9.29
31,96.59,9.30
32,96.48,9.31
33,96.36,9.32
34,96.25,9.33
35,96.14,9.34
36,96.02,9.35
37,95.91,9.36
38,95.80,9.37
39,95.68,9.38
40,95.57,9.39
41,95.45,9.40
42,95.34,9.41
43,95.23,9.42
44,95.11,9.43
45,95.00,9.44
46,94.89,9.45
47,94.77,9.46
48,94.66,9.47
49,94.55,9.48
50,94.43,9.49
51,94.32,9.50
52,94.20,9.51
53,94.09,9.52
54,93.98,9.53
55,93.86,9.54
56,93.75,9.55
57,93.64,9.56
58,93.52,9.57
59,93.41,9.58
60,93.30,9.59
61,93.18,9.60
62,93.07,9.61
63,92.95,9.62
64,92.84,9.63
65,92.73,9.64
66,92.61,9.65
67,92.50,9.66
68,92.39,9.67
69,92.27,9.68
70,92.16,9.69
71,92.05,9.70
72,91.93,9.71
73,91.82,9.72
74,91.70,9.73
75,91.59,9.74
76,91.48,9.75
77,91.36,9.76
78,91.25,9.77
79,91.14,9.78
80,91.02,9.79
81,90.91,9.80
82,90.80,9.81
83,90.68,9.82
84,90.57,9.83
85,90.45,9.84
86,90.34,9.85
87,90.23,9.86
88,90.11,9.87
89,90.00,9.88
90,89.89,9.89
91,89.77,9.90
92,89.66,9.91
93,89.55,9.92
94,89.43,9.93
95,89.32,9.94
96,89.20,9.95
97,89.09,9.96
98,88.98,9.97
99,88.86,9.98
100,88.75,9.99
101,88.64,10.00
102,88.52,10.01
103,88.41,10.02
104,88.30,10.03
105,88.18,10.04
106,88.07,10.05
107,87.95,10.06
108,87.84,10.07
109,87.73,10.08
110,87.61,10.09
111,87.50,10.10
112,87.39,10.11
113,87.27,10.12
114,87.16,10.13
115,87.05,10.14
116,86.93,10.15
117,86.82,10.16
118,86.70,10.17
119,86.59,10.18
120,86.48,10.19
121,86.36,10.20
122,86.25,10.21
123,86.14,10.22
124,86.02,10.23
125,85.91,10.24
126,85.80,10.25
127,85.68,10.26
128,85.57,10.27
129,85.45,10.28
130,85.34,10.29
131,85.23,10.30
132,85.11,10.31
133,85.00,10.32
134,84.89,10.33
135,84.77,10.34
136,84.66,10.35
137,84.55,10.36
138,84.43,10.37
139,84.32,10.38
140,84.20,10.39
141,84.09,10.40
142,83.98,10.41
143,83.86,10.42
144,83.75,10.43
145,83.57,10.44
146,83.39,10.45
147,83.21,10.46
148,83.04,10.47
149,82.86,10.48
150,82.68,10.49
151,82.50,10.50
152,82.25,10.51
153,82.00,10.52
154,81.75,10.53
155,81.50,10.54
156,81.25,10.55
157,81.00,10.56
158,80.75,10.57
159,80.50,10.58
160,80.25,10.59
161,80.00,10.60
162,79.75,10.61
163,79.50,10.62
164,79.25,10.63
165,79.00,10.64
166,78.75,10.65
167,78.50,10.66
168,78.25,10.67
169,78.00,10.68
170,77.75,10.69
171,77.50,10.70
172,77.25,10.71
173,77.00,10.72
174,76.75,10.73
175,76.50,10.74
176,76.25,10.75
177,76.00,10.76
178,75.75,10.77
179,75.50,10.78
180,75.25,10.79
181,75.00,10.80
182,74.75,10.81
183,74.50,10.82
184,74.25,10.83
185,74.00,10.84
186,73.75,10.85
187,73.50,10.86
188,73.25,10.87
189,73.00,10.88
190,72.75,10.89
191,72.50,10.90
192,72.25,10.91
193,72.00,10.92
194,71.75,10.93
195,71.50,10.94
196,71.25,10.95
197,71.00,10.96
198,70.75,10.97
199,70.50,10.98
200,70.25,10.99
201,70.00,11.00
202,69.75,11.01
203,69.50,11.02
204,69.25,11.03
205,69.00,11.04
206,68.75,11.05
207,68.50,11.06
208,68.25,11.07
209,68.00,11.08
210,67.75,11.09
211,67.50,11.10
212,67.25,11.11
213,67.00,11.12
214,66.75,11.13
215,66.50,11.14
216,66.25,11.15
217,66.00,11.16
218,65.75,11.17
219,65.50,11.18
220,65.25,11.19
221,65.00,11.20
222,64.75,11.21
223,64.50,11.22
224,64.25,11.23
225,64.00,11.24
226,63.75,11.25
227,63.50,11.26
228,63.25,11.27
229,63.00,11.28
230,62.75,11.29
231,62.50,11.30
232,62.25,11.31
233,62.00,11.32
234,61.75,11.33
235,61.50,11.34
236,61.25,11.35
237,61.00,11.36
238,60.75,11.37
239,60.50,11.38
240,60.25,11.39
241,60.00,11.40
242,59.75,11.41
243,59.50,11.42
244,59.25,11.43
245,59.00,11.44
246,58.75,11.45
247,58.50,11.46
248,58.25,11.47
249,58.00,11.48
250,57.75,11.49
251,57.50,11.50
252,57.25,11.51
253,57.00,11.52
254,56.75,11.53
255,56.50,11.54
256,56.25,11.55
257,56.00,11.56
258,55.75,11.57
259,55.50,11.58
260,55.25,11.59
261,55.00,11.60
262,54.75,11.61
263,54.50,11.62
264,54.25,11.63
265,54.00,11.64
266,53.75,11.65
267,53.50,11.66
268,53.25,11.67
269,53.00,11.68
270,52.75,11.69
271,52.50,11.70
272,52.25,11.71
273,52.00,11.72
274,51.75,11.73
275,51.50,11.74
276,51.25,11.75
277,51.00,11.76
278,50.75,11.77
279,50.50,11.78
280,50.25,11.79
281,50.00,11.80
282,49.75,11.81
283,49.50,11.82
284,49.25,11.83
285,49.00,11.84
286,48.75,11.85
287,48.50,11.86
288,48.25,11.87
289,48.00,11.88
290,47.75,11.89
291,47.50,11.90
292,47.25,11.91
293,47.00,11.92
294,46.75,11.93
295,46.50,11.94
296,46.25,11.95
297,46.00,11.96
298,45.75,11.97
299,45.50,11.98
300,45.25,11.99
301,45.00,12.00
302,44.75,12.01
303,44.50,12.02
304,44.25,12.03
305,44.00,12.04
306,43.75,12.05
307,43.50,12.06
308,43.25,12.07
309,43.00,12.08
310,42.75,12.09
311,42.50,12.10
312,42.25,12.11
313,42.00,12.12
314,41.75,12.13
315,41.50,12.14
316,41.25,12.15
317,41.00,12.16
318,40.75,12.17
319,40.50,12.18
320,40.25,12.19
321,40.00,12.20
322,39.75,12.21
323,39.50,12.22
324,39.25,12.23
325,39.00,12.24
326,38.75,12.25
327,38.50,12.26
328,38.25,12.27
329,38.00,12.28
330,37.75,12.29
331,37.50,12.30
332,37.25,12.31
333,37.00,12.32
334,36.75,12.33
335,36.50,12.34
336,36.25,12.35
337,36.00,12.36
338,35.75,12.37
339,35.50,12.38
340,35.25,12.39
341,35.00,12.40
342,34.95,12.41
343,34.90,12.42
344,34.85,12.43
345,34.80,12.44
346,34.75,12.45
347,34.50,12.46
348,34.25,12.47
349,34.00,12.48
350,33.75,12.49
351,33.50,12.50
352,33.25,12.51
353,33.00,12.52
354,32.75,12.53
355,32.50,12.54
356,32.25,12.55
357,32.05,12.56
358,31.85,12.57
359,31.65,12.58
360,31.45,12.59
361,31.25,12.60
362,31.00,12.61
363,30.75,12.62
364,30.50,12.63
365,30.25,12.64
366,30.00,12.65
367,29.95,12.66
368,29.90,12.67
369,29.85,12.68
370,29.80,12.69
371,29.75,12.70
372,29.50,12.71
373,29.25,12.72
374,29.00,12.73
375,28.75,12.74
376,28.50,12.75
377,28.25,12.76
378,28.00,12.77
379,27.75,12.78
380,27.50,12.79
381,27.25,12.80
382,27.00,12.81
383,26.75,12.82
384,26.50,12.83
385,26.25,12.84
386,26.00,12.85
387,25.95,12.86
388,25.90,12.87
389,25.85,12.88
390,25.80,12.89
391,25.75,12.90
392,25.50,12.91
393,25.25,12.92
394,25.00,12.93
395,24.75,12.94
396,24.50,12.95
397,24.25,12.96
398,24.00,12.97
399,23.75,12.98
400,23.50,12.99
401,23.25,13.00
402,23.00,13.01
403,22.75,13.02
404,22.50,13.03
405,22.25,13.04
406,22.00,13.05
407,21.95,13.06
408,21.90,13.07
409,21.85,13.08
410,21.80,13.09
411,21.75,13.10
412,21.50,13.11
413,21.25,13.12
414,21.00,13.13
415,20.75,13.14
416,20.50,13.15
417,20.25,13.16
418,20.00,13.17
419,19.75,13.18
420,19.50,13.19
421,19.25,13.20
422,19.00,13.21
423,18.75,13.22
424,18.50,13.23
425,18.25,13.24
426,18.00,13.25
427,17.95,13.26
428,17.90,13.27
429,17.85,13.28
430,17.80,13.29
431,17.75,13.30
432,17.50,13.31
433,17.25,13.32
434,17.00,13.33
435,16.75,13.34
436,16.50,13.35
437,16.25,13.36
438,16.00,13.37
439,15.75,13.38
440,15.50,13.39
441,15.25,13.40
442,15.00,13.41
443,14.75,13.42
444,14.50,13.43
445,14.25,13.44
446,14.00,13.45
447,13.95,13.46
448,13.90,13.47
449,13.85,13.48
450,13.80,13.49
451,13.75,13.50
452,13.50,13.51
453,13.25,13.52
454,13.00,13.53
455,12.75,13.54
456,12.50,13.55
457,12.25,13.56
458,12.00,13.57
459,11.75,13.58
460,11.50,13.59
461,11.25,13.60
462,11.00,13.61
463,10.75,13.62
464,10.50,13.63
465,10.25,13.64
466,10.00,13.65
467,9.95,13.66
468,9.90,13.67
469,9.85,13.68
470,9.80,13.69
471,9.75,13.70
472,9.50,13.71
473,9.25,13.72
474,9.00,13.73
475,8.75,13.74
476,8.50,13.75
477,8.25,13.76
478,8.00,13.77
479,7.75,13.78
480,7.50,13.79
481,7.25,13.80
482,7.00,13.81
483,6.75,13.82
484,6.50,13.83
485,6.25,13.84
486,6.00,13.85
487,5.95,13.86
488,5.90,13.87
489,5.85,13.88
490,5.80,13.89
491,5.75,13.90
492,5.50,13.91
493,5.25,13.92
494,5.00,13.93
495,4.75,13.94
496,4.50,13.95
497,4.25,13.96
498,4.00,13.97
499,3.75,13.98
500,3.50,13.99
501,3.25,14.00
502,3.00,14.01
503,2.75,14.02
504,2.50,14.03
505,2.25,14.04
506,2.00,14.05
507,1.95,14.06
508,1.90,14.07
509,1.85,14.08
510,1.80,14.09
511,1.75,14.10
512,1.50,14.11
513,1.25,14.12
514,1.00,14.13
515,0.75,14.14
516,0.50,14.15
