sequence_number,score,value
1,100.00,8.00
2,99.90,8.01
3,99.79,8.02
4,99.69,8.03
5,99.58,8.04
6,99.48,8.05
7,99.38,8.06
8,99.27,8.07
9,99.17,8.08
10,99.06,8.09
11,98.96,8.10
12,98.85,8.11
13,98.75,8.12
14,98.65,8.13
15,98.54,8.14
16,98.44,8.15
17,98.33,8.16
18,98.23,8.17
19,98.12,8.18
20,98.02,8.19
21,97.92,8.20
22,97.81,8.21
23,97.71,8.22
24,97.60,8.23
25,97.50,8.24
26,97.40,8.25
27,97.29,8.26
28,97.19,8.27
29,97.08,8.28
30,96.98,8.29
31,96.87,8.30
32,96.77,8.31
33,96.67,8.32
34,96.56,8.33
35,96.46,8.34
36,96.35,8.35
37,96.25,8.36
38,96.15,8.37
39,96.04,8.38
40,95.94,8.39
41,95.83,8.40
42,95.73,8.41
43,95.62,8.42
44,95.52,8.43
45,95.42,8.44
46,95.31,8.45
47,95.21,8.46
48,95.10,8.47
49,95.00,8.48
50,94.90,8.49
51,94.79,8.50
52,94.69,8.51
53,94.58,8.52
54,94.48,8.53
55,94.37,8.54
56,94.27,8.55
57,94.17,8.56
58,94.06,8.57
59,93.96,8.58
60,93.85,8.59
61,93.75,8.60
62,93.65,8.61
63,93.54,8.62
64,93.44,8.63
65,93.33,8.64
66,93.23,8.65
67,93.12,8.66
68,93.02,8.67
69,92.92,8.68
70,92.81,8.69
71,92.71,8.70
72,92.60,8.71
73,92.50,8.72
74,92.40,8.73
75,92.29,8.74
76,92.19,8.75
77,92.08,8.76
78,91.98,8.77
79,91.87,8.78
80,91.77,8.79
81,91.67,8.80
82,91.56,8.81
83,91.46,8.82
84,91.35,8.83
85,91.25,8.84
86,91.15,8.85
87,91.04,8.86
88,90.94,8.87
89,90.83,8.88
90,90.73,8.89
91,90.62,8.90
92,90.52,8.91
93,90.42,8.92
94,90.31,8.93
95,90.21,8.94
96,90.10,8.95
97,90.00,8.96
98,89.90,8.97
99,89.79,8.98
100,89.69,8.99
101,89.58,9.00
102,89.48,9.01
103,89.37,9.02
104,89.27,9.03
105,89.17,9.04
106,89.06,9.05
107,88.96,9.06
108,88.85,9.07
109,88.75,9.08
110,88.65,9.09
111,88.54,9.10
112,88.44,9.11
113,88.33,9.12
114,88.23,9.13
115,88.12,9.14
116,88.02,9.15
117,87.92,9.16
118,87.81,9.17
119,87.71,9.18
120,87.60,9.19
121,87.50,9.20
122,87.40,9.21
123,87.29,9.22
124,87.19,9.23
125,87.08,9.24
126,86.98,9.25
127,86.87,9.26
128,86.77,9.27
129,86.67,9.28
130,86.56,9.29
131,86.46,9.30
132,86.35,9.31
133,86.25,9.32
134,86.09,9.33
135,85.94,9.34
136,85.78,9.35
137,85.62,9.36
138,85.47,9.37
139,85.31,9.38
140,85.16,9.39
141,85.00,9.40
142,84.75,9.41
143,84.50,9.42
144,84.25,9.43
145,84.00,9.44
146,83.75,9.45
147,83.50,9.46
148,83.25,9.47
149,83.00,9.48
150,82.75,9.49
151,82.50,9.50
152,82.25,9.51
153,82.00,9.52
154,81.75,9.53
155,81.50,9.54
156,81.25,9.55
157,81.00,9.56
158,80.75,9.57
159,80.50,9.58
160,80.25,9.59
161,80.00,9.60
162,79.75,9.61
163,79.50,9.62
164,79.25,9.63
165,79.00,9.64
166,78.75,9.65
167,78.50,9.66
168,78.25,9.67
169,78.00,9.68
170,77.75,9.69
171,77.50,9.70
172,77.25,9.71
173,77.00,9.72
174,76.75,9.73
175,76.50,9.74
176,76.25,9.75
177,76.00,9.76
178,75.75,9.77
179,75.50,9.78
180,75.25,9.79
181,75.00,9.80
182,74.75,9.81
183,74.50,9.82
184,74.25,9.83
185,74.00,9.84
186,73.75,9.85
187,73.50,9.86
188,73.25,9.87
189,73.00,9.88
190,72.75,9.89
191,72.50,9.90
192,72.25,9.91
193,72.00,9.92
194,71.75,9.93
195,71.50,9.94
196,71.25,9.95
197,71.00,9.96
198,70.75,9.97
199,70.50,9.98
200,70.25,9.99
201,70.00,10.00
202,69.75,10.01
203,69.50,10.02
204,69.25,10.03
205,69.00,10.04
206,68.75,10.05
207,68.50,10.06
208,68.25,10.07
209,68.00,10.08
210,67.75,10.09
211,67.50,10.10
212,67.25,10.11
213,67.00,10.12
214,66.75,10.13
215,66.50,10.14
216,66.25,10.15
217,66.00,10.16
218,65.75,10.17
219,65.50,10.18
220,65.25,10.19
221,65.00,10.20
222,64.75,10.21
223,64.50,10.22
224,64.25,10.23
225,64.00,10.24
226,63.75,10.25
227,63.50,10.26
228,63.25,10.27
229,63.00,10.28
230,62.75,10.29
231,62.50,10.30
232,62.25,10.31
233,62.00,10.32
234,61.75,10.33
235,61.50,10.34
236,61.25,10.35
237,61.00,10.36
238,60.75,10.37
239,60.50,10.38
240,60.25,10.39
241,60.00,10.40
242,59.75,10.41
243,59.50,10.42
244,59.25,10.43
245,59.00,10.44
246,58.75,10.45
247,58.50,10.46
248,58.25,10.47
249,58.00,10.48
250,57.75,10.49
251,57.50,10.50
252,57.25,10.51
253,57.00,10.52
254,56.75,10.53
255,56.50,10.54
256,56.25,10.55
257,56.00,10.56
258,55.75,10.57
259,55.50,10.58
260,55.25,10.59
261,55.00,10.60
262,54.75,10.61
263,54.50,10.62
264,54.25,10.63
265,54.00,10.64
266,53.75,10.65
267,53.50,10.66
268,53.25,10.67
269,53.00,10.68
270,52.75,10.69
271,52.50,10.70
272,52.25,10.71
273,52.00,10.72
274,51.75,10.73
275,51.50,10.74
276,51.25,10.75
277,51.00,10.76
278,50.75,10.77
279,50.50,10.78
280,50.25,10.79
281,50.00,10.80
282,49.75,10.81
283,49.50,10.82
284,49.25,10.83
285,49.00,10.84
286,48.75,10.85
287,48.50,10.86
288,48.25,10.87
289,48.00,10.88
290,47.75,10.89
291,47.50,10.90
292,47.25,10.91
293,47.00,10.92
294,46.75,10.93
295,46.50,10.94
296,46.25,10.95
297,46.00,10.96
298,45.75,10.97
299,45.50,10.98
300,45.25,10.99
301,45.00,11.00
302,44.75,11.01
303,44.50,11.02
304,44.25,11.03
305,44.00,11.04
306,43.75,11.05
307,43.50,11.06
308,43.25,11.07
309,43.00,11.08
310,42.75,11.09
311,42.50,11.10
312,42.25,11.11
313,42.00,11.12
314,41.75,11.13
315,41.50,11.14
316,41.25,11.15
317,41.00,11.16
318,40.75,11.17
319,40.50,11.18
320,40.25,11.19
321,40.00,11.20
322,39.75,11.21
323,39.50,11.22
324,39.25,11.23
325,39.00,11.24
326,38.75,11.25
327,38.50,11.26
328,38.25,11.27
329,38.00,11.28
330,37.75,11.29
331,37.50,11.30
332,37.25,11.31
333,37.00,11.32
334,36.75,11.33
335,36.50,11.34
336,36.25,11.35
337,36.00,11.36
338,35.75,11.37
339,35.50,11.38
340,35.25,11.39
341,35.00,11.40
342,34.75,11.41
343,34.50,11.42
344,34.25,11.43
345,34.00,11.44
