sequence_number,score,value
1,81.33,01:00.00
2,81.32,01:00.01
3,81.31,01:00.02
4,81.29,01:00.03
5,81.28,01:00.04
6,81.27,01:00.05
7,81.25,01:00.06
8,81.24,01:00.07
9,81.23,01:00.08
10,81.21,01:00.09
11,81.20,01:00.10
12,81.19,01:00.11
13,81.17,01:00.12
14,81.16,01:00.13
15,81.15,01:00.14
16,81.13,01:00.15
17,81.12,01:00.16
18,81.11,01:00.17
19,81.09,01:00.18
20,81.08,01:00.19
21,81.07,01:00.20
22,81.05,01:00.21
23,81.04,01:00.22
24,81.03,01:00.23
25,81.01,01:00.24
26,81.00,01:00.25
27,80.99,01:00.26
28,80.97,01:00.27
29,80.96,01:00.28
30,80.95,01:00.29
31,80.93,01:00.30
32,80.92,01:00.31
33,80.91,01:00.32
34,80.89,01:00.33
35,80.88,01:00.34
36,80.87,01:00.35
37,80.85,01:00.36
38,80.84,01:00.37
39,80.83,01:00.38
40,80.81,01:00.39
41,80.80,01:00.40
42,80.79,01:00.41
43,80.77,01:00.42
44,80.76,01:00.43
45,80.75,01:00.44
46,80.73,01:00.45
47,80.72,01:00.46
48,80.71,01:00.47
49,80.69,01:00.48
50,80.68,01:00.49
51,80.67,01:00.50
52,80.65,01:00.51
53,80.64,01:00.52
54,80.63,01:00.53
55,80.61,01:00.54
56,80.60,01:00.55
57,80.59,01:00.56
58,80.57,01:00.57
59,80.56,01:00.58
60,80.55,01:00.59
61,80.53,01:00.60
62,80.52,01:00.61
63,80.51,01:00.62
64,80.49,01:00.63
65,80.48,01:00.64
66,80.47,01:00.65
67,80.45,01:00.66
68,80.44,01:00.67
69,80.43,01:00.68
70,80.41,01:00.69
71,80.40,01:00.70
72,80.39,01:00.71
73,80.37,01:00.72
74,80.36,01:00.73
75,80.35,01:00.74
76,80.33,01:00.75
77,80.32,01:00.76
78,80.31,01:00.77
79,80.29,01:00.78
80,80.28,01:00.79
81,80.27,01:00.80
82,80.25,01:00.81
83,80.24,01:00.82
84,80.23,01:00.83
85,80.21,01:00.84
86,80.20,01:00.85
87,80.19,01:00.86
88,80.17,01:00.87
89,80.16,01:00.88
90,80.15,01:00.89
91,80.13,01:00.90
92,80.12,01:00.91
93,80.11,01:00.92
94,80.09,01:00.93
95,80.08,01:00.94
96,80.07,01:00.95
97,80.05,01:00.96
98,80.04,01:00.97
99,80.03,01:00.98
100,80.01,01:00.99
101,80.00,01:01.00
102,79.99,01:01.01
103,79.98,01:01.02
104,79.97,01:01.03
105,79.96,01:01.04
106,79.95,01:01.05
107,79.94,01:01.06
108,79.93,01:01.07
109,79.92,01:01.08
110,79.91,01:01.09
111,79.90,01:01.10
112,79.89,01:01.11
113,79.88,01:01.12
114,79.87,01:01.13
115,79.86,01:01.14
116,79.85,01:01.15
117,79.84,01:01.16
118,79.83,01:01.17
119,79.82,01:01.18
120,79.81,01:01.19
121,79.80,01:01.20
122,79.79,01:01.21
123,79.78,01:01.22
124,79.77,01:01.23
125,79.76,01:01.24
126,79.75,01:01.25
127,79.74,01:01.26
128,79.73,01:01.27
129,79.72,01:01.28
130,79.71,01:01.29
131,79.70,01:01.30
132,79.69,01:01.31
133,79.68,01:01.32
134,79.67,01:01.33
