sequence_number,score,value
1,100.00,04:15.00
2,99.98,04:15.01
3,99.96,04:15.02
4,99.94,04:15.03
5,99.92,04:15.04
6,99.90,04:15.05
7,99.88,04:15.06
8,99.86,04:15.07
9,99.84,04:15.08
10,99.82,04:15.09
11,99.80,04:15.10
12,99.78,04:15.11
13,99.76,04:15.12
14,99.74,04:15.13
15,99.72,04:15.14
16,99.70,04:15.15
17,99.68,04:15.16
18,99.66,04:15.17
19,99.64,04:15.18
20,99.62,04:15.19
21,99.60,04:15.20
22,99.58,04:15.21
23,99.56,04:15.22
24,99.54,04:15.23
25,99.52,04:15.24
26,99.50,04:15.25
27,99.48,04:15.26
28,99.46,04:15.27
29,99.44,04:15.28
30,99.42,04:15.29
31,99.40,04:15.30
32,99.38,04:15.31
33,99.36,04:15.32
34,99.34,04:15.33
35,99.32,04:15.34
36,99.30,04:15.35
37,99.28,04:15.36
38,99.26,04:15.37
39,99.24,04:15.38
40,99.22,04:15.39
41,99.20,04:15.40
42,99.18,04:15.41
43,99.16,04:15.42
44,99.14,04:15.43
45,99.12,04:15.44
46,99.10,04:15.45
47,99.08,04:15.46
48,99.06,04:15.47
49,99.04,04:15.48
50,99.02,04:15.49
51,99.00,04:15.50
52,98.98,04:15.51
53,98.96,04:15.52
54,98.94,04:15.53
55,98.92,04:15.54
56,98.90,04:15.55
57,98.88,04:15.56
58,98.86,04:15.57
59,98.84,04:15.58
60,98.82,04:15.59
61,98.80,04:15.60
62,98.78,04:15.61
63,98.76,04:15.62
64,98.74,04:15.63
65,98.72,04:15.64
66,98.70,04:15.65
67,98.68,04:15.66
68,98.66,04:15.67
69,98.64,04:15.68
70,98.62,04:15.69
71,98.60,04:15.70
72,98.58,04:15.71
73,98.56,04:15.72
74,98.54,04:15.73
75,98.52,04:15.74
76,98.50,04:15.75
77,98.48,04:15.76
78,98.46,04:15.77
79,98.44,04:15.78
80,98.42,04:15.79
81,98.40,04:15.80
82,98.38,04:15.81
83,98.36,04:15.82
84,98.34,04:15.83
85,98.32,04:15.84
86,98.30,04:15.85
87,98.28,04:15.86
88,98.26,04:15.87
89,98.24,04:15.88
90,98.22,04:15.89
91,98.20,04:15.90
