sequence_number,score,value
1,100.00,05:05.00
2,99.99,05:05.01
3,99.98,05:05.02
4,99.97,05:05.03
5,99.96,05:05.04
6,99.94,05:05.05
7,99.93,05:05.06
8,99.92,05:05.07
9,99.91,05:05.08
10,99.90,05:05.09
11,99.89,05:05.10
12,99.88,05:05.11
13,99.87,05:05.12
14,99.86,05:05.13
15,99.84,05:05.14
16,99.83,05:05.15
17,99.82,05:05.16
18,99.81,05:05.17
19,99.80,05:05.18
20,99.79,05:05.19
21,99.78,05:05.20
22,99.77,05:05.21
23,99.76,05:05.22
24,99.74,05:05.23
25,99.73,05:05.24
26,99.72,05:05.25
27,99.71,05:05.26
28,99.70,05:05.27
29,99.69,05:05.28
30,99.68,05:05.29
31,99.67,05:05.30
32,99.66,05:05.31
33,99.64,05:05.32
34,99.63,05:05.33
35,99.62,05:05.34
36,99.61,05:05.35
37,99.60,05:05.36
38,99.59,05:05.37
39,99.58,05:05.38
40,99.57,05:05.39
41,99.56,05:05.40
42,99.54,05:05.41
43,99.53,05:05.42
44,99.52,05:05.43
45,99.51,05:05.44
46,99.50,05:05.45
47,99.49,05:05.46
48,99.48,05:05.47
49,99.47,05:05.48
50,99.46,05:05.49
51,99.44,05:05.50
52,99.43,05:05.51
53,99.42,05:05.52
54,99.41,05:05.53
55,99.40,05:05.54
56,99.39,05:05.55
57,99.38,05:05.56
58,99.37,05:05.57
59,99.36,05:05.58
60,99.34,05:05.59
61,99.33,05:05.60
62,99.32,05:05.61
63,99.31,05:05.62
64,99.30,05:05.63
65,99.29,05:05.64
66,99.28,05:05.65
67,99.27,05:05.66
68,99.26,05:05.67
69,99.24,05:05.68
70,99.23,05:05.69
71,99.22,05:05.70
72,99.21,05:05.71
73,99.20,05:05.72
74,99.19,05:05.73
75,99.18,05:05.74
76,99.17,05:05.75
77,99.16,05:05.76
78,99.14,05:05.77
79,99.13,05:05.78
80,99.12,05:05.79
81,99.11,05:05.80
82,99.10,05:05.81
83,99.09,05:05.82
84,99.08,05:05.83
85,99.07,05:05.84
86,99.06,05:05.85
87,99.04,05:05.86
88,99.03,05:05.87
89,99.02,05:05.88
90,99.01,05:05.89
91,99.00,05:05.90
92,98.99,05:05.91
93,98.98,05:05.92
94,98.97,05:05.93
95,98.96,05:05.94
96,98.94,05:05.95
97,98.93,05:05.96
98,98.92,05:05.97
99,98.91,05:05.98
100,98.90,05:05.99
101,98.89,05:06.00
102,98.88,05:06.01
103,98.87,05:06.02
104,98.86,05:06.03
105,98.84,05:06.04
106,98.83,05:06.05
107,98.82,05:06.06
108,98.81,05:06.07
109,98.80,05:06.08
110,98.79,05:06.09
111,98.78,05:06.10
112,98.77,05:06.11
113,98.76,05:06.12
114,98.74,05:06.13
115,98.73,05:06.14
116,98.72,05:06.15
117,98.71,05:06.16
118,98.70,05:06.17
119,98.69,05:06.18
120,98.68,05:06.19
121,98.67,05:06.20
122,98.66,05:06.21
123,98.64,05:06.22
124,98.63,05:06.23
125,98.62,05:06.24
126,98.61,05:06.25
127,98.60,05:06.26
128,98.59,05:06.27
129,98.58,05:06.28
130,98.57,05:06.29
131,98.56,05:06.30
132,98.54,05:06.31
133,98.53,05:06.32
134,98.52,05:06.33
135,98.51,05:06.34
136,98.50,05:06.35
137,98.49,05:06.36
138,98.48,05:06.37
139,98.47,05:06.38
140,98.46,05:06.39
141,98.44,05:06.40
142,98.43,05:06.41
143,98.42,05:06.42
144,98.41,05:06.43
145,98.40,05:06.44
146,98.39,05:06.45
147,98.38,05:06.46
148,98.37,05:06.47
149,98.36,05:06.48
150,98.34,05:06.49
151,98.33,05:06.50
152,98.32,05:06.51
153,98.31,05:06.52
154,98.30,05:06.53
155,98.29,05:06.54
156,98.28,05:06.55
157,98.27,05:06.56
158,98.26,05:06.57
159,98.24,05:06.58
160,98.23,05:06.59
161,98.22,05:06.60
162,98.21,05:06.61
163,98.20,05:06.62
164,98.19,05:06.63
165,98.18,05:06.64
166,98.17,05:06.65
167,98.16,05:06.66
168,98.14,05:06.67
169,98.13,05:06.68
170,98.12,05:06.69
171,98.11,05:06.70
172,98.10,05:06.71
173,98.09,05:06.72
174,98.08,05:06.73
175,98.07,05:06.74
176,98.06,05:06.75
177,98.04,05:06.76
178,98.03,05:06.77
179,98.02,05:06.78
180,98.01,05:06.79
181,98.00,05:06.80
182,97.99,05:06.81
183,97.98,05:06.82
184,97.97,05:06.83
185,97.96,05:06.84
186,97.94,05:06.85
187,97.93,05:06.86
188,97.92,05:06.87
189,97.91,05:06.88
190,97.90,05:06.89
191,97.89,05:06.90
192,97.88,05:06.91
193,97.87,05:06.92
194,97.86,05:06.93
195,97.84,05:06.94
196,97.83,05:06.95
197,97.82,05:06.96
198,97.81,05:06.97
199,97.80,05:06.98
200,97.79,05:06.99
201,97.78,05:07.00
202,97.77,05:07.01
203,97.76,05:07.02
204,97.74,05:07.03
205,97.73,05:07.04
206,97.72,05:07.05
207,97.71,05:07.06
208,97.70,05:07.07
209,97.69,05:07.08
210,97.68,05:07.09
211,97.67,05:07.10
212,97.66,05:07.11
213,97.64,05:07.12
214,97.63,05:07.13
215,97.62,05:07.14
216,97.61,05:07.15
217,97.60,05:07.16
218,97.59,05:07.17
219,97.58,05:07.18
220,97.57,05:07.19
221,97.56,05:07.20
222,97.54,05:07.21
223,97.53,05:07.22
224,97.52,05:07.23
225,97.51,05:07.24
226,97.50,05:07.25
227,97.49,05:07.26
228,97.48,05:07.27
229,97.47,05:07.28
230,97.46,05:07.29
231,97.44,05:07.30
232,97.43,05:07.31
233,97.42,05:07.32
234,97.41,05:07.33
235,97.40,05:07.34
236,97.39,05:07.35
237,97.38,05:07.36
238,97.37,05:07.37
239,97.36,05:07.38
240,97.34,05:07.39
241,97.33,05:07.40
242,97.32,05:07.41
243,97.31,05:07.42
244,97.30,05:07.43
245,97.29,05:07.44
246,97.28,05:07.45
247,97.27,05:07.46
248,97.26,05:07.47
249,97.24,05:07.48
250,97.23,05:07.49
251,97.22,05:07.50
252,97.21,05:07.51
253,97.20,05:07.52
254,97.19,05:07.53
255,97.18,05:07.54
256,97.17,05:07.55
257,97.16,05:07.56
258,97.14,05:07.57
259,97.13,05:07.58
260,97.12,05:07.59
261,97.11,05:07.60
262,97.10,05:07.61
263,97.09,05:07.62
264,97.08,05:07.63
265,97.07,05:07.64
266,97.06,05:07.65
267,97.04,05:07.66
268,97.03,05:07.67
269,97.02,05:07.68
270,97.01,05:07.69
271,97.00,05:07.70
272,96.99,05:07.71
273,96.98,05:07.72
274,96.97,05:07.73
275,96.96,05:07.74
276,96.94,05:07.75
277,96.93,05:07.76
278,96.92,05:07.77
279,96.91,05:07.78
280,96.90,05:07.79
281,96.89,05:07.80
282,96.88,05:07.81
283,96.87,05:07.82
284,96.86,05:07.83
285,96.84,05:07.84
286,96.83,05:07.85
287,96.82,05:07.86
288,96.81,05:07.87
289,96.80,05:07.88
290,96.79,05:07.89
291,96.78,05:07.90
292,96.77,05:07.91
293,96.76,05:07.92
294,96.74,05:07.93
295,96.73,05:07.94
296,96.72,05:07.95
297,96.71,05:07.96
298,96.70,05:07.97
299,96.69,05:07.98
300,96.68,05:07.99
301,96.67,05:08.00
302,96.66,05:08.01
303,96.64,05:08.02
304,96.63,05:08.03
305,96.62,05:08.04
306,96.61,05:08.05
307,96.60,05:08.06
308,96.59,05:08.07
309,96.58,05:08.08
310,96.57,05:08.09
311,96.56,05:08.10
312,96.54,05:08.11
313,96.53,05:08.12
314,96.52,05:08.13
315,96.51,05:08.14
316,96.50,05:08.15
317,96.49,05:08.16
318,96.48,05:08.17
319,96.47,05:08.18
320,96.46,05:08.19
321,96.44,05:08.20
322,96.43,05:08.21
323,96.42,05:08.22
324,96.41,05:08.23
325,96.40,05:08.24
326,96.39,05:08.25
327,96.38,05:08.26
328,96.37,05:08.27
329,96.36,05:08.28
330,96.34,05:08.29
331,96.33,05:08.30
332,96.32,05:08.31
333,96.31,05:08.32
334,96.30,05:08.33
335,96.29,05:08.34
336,96.28,05:08.35
337,96.27,05:08.36
338,96.26,05:08.37
339,96.24,05:08.38
340,96.23,05:08.39
341,96.22,05:08.40
342,96.21,05:08.41
343,96.20,05:08.42
344,96.19,05:08.43
345,96.18,05:08.44
346,96.17,05:08.45
347,96.16,05:08.46
348,96.14,05:08.47
349,96.13,05:08.48
350,96.12,05:08.49
351,96.11,05:08.50
352,96.10,05:08.51
353,96.09,05:08.52
354,96.08,05:08.53
