sequence_number,score,value
1,100.00,15.74
2,99.60,15.75
3,99.20,15.76
4,98.80,15.77
5,98.40,15.78
6,98.00,15.79
7,97.60,15.80
8,97.20,15.81
9,96.80,15.82
10,96.40,15.83
11,96.00,15.84
12,95.70,15.85
13,95.40,15.86
14,95.10,15.87
15,94.80,15.88
16,94.50,15.89
17,94.20,15.90
18,93.90,15.91
19,93.60,15.92
20,93.30,15.93
21,93.00,15.94
22,92.70,15.95
23,92.40,15.96
24,92.10,15.97
25,91.80,15.98
26,91.50,15.99
27,91.20,16.00
28,90.90,16.01
29,90.60,16.02
30,90.30,16.03
31,90.00,16.04
32,89.70,16.05
33,89.40,16.06
34,89.10,16.07
35,88.80,16.08
36,88.50,16.09
37,88.20,16.10
38,87.90,16.11
39,87.60,16.12
40,87.30,16.13
41,87.00,16.14
42,86.70,16.15
43,86.40,16.16
44,86.10,16.17
45,85.80,16.18
46,85.50,16.19
47,85.20,16.20
48,84.90,16.21
49,84.60,16.22
50,84.30,16.23
51,84.00,16.24
52,83.70,16.25
53,83.40,16.26
54,83.10,16.27
55,82.80,16.28
56,82.50,16.29
57,82.20,16.30
58,81.90,16.31
59,81.60,16.32
60,81.30,16.33
61,81.00,16.34
62,80.70,16.35
63,80.40,16.36
64,80.10,16.37
65,79.80,16.38
66,79.50,16.39
67,79.20,16.40
68,78.90,16.41
69,78.60,16.42
70,78.30,16.43
71,78.00,16.44
72,77.70,16.45
73,77.40,16.46
74,77.10,16.47
75,76.80,16.48
76,76.50,16.49
77,76.20,16.50
78,75.90,16.51
79,75.60,16.52
80,75.30,16.53
81,75.00,16.54
82,74.70,16.55
83,74.40,16.56
84,74.10,16.57
85,73.80,16.58
86,73.50,16.59
87,73.20,16.60
88,72.90,16.61
89,72.60,16.62
90,72.30,16.63
91,72.00,16.64
92,71.80,16.65
93,71.60,16.66
94,71.40,16.67
95,71.20,16.68
96,71.00,16.69
97,70.80,16.70
98,70.60,16.71
99,70.40,16.72
100,70.20,16.73
101,70.00,16.74
102,69.80,16.75
103,69.60,16.76
104,69.40,16.77
105,69.20,16.78
106,69.00,16.79
107,68.80,16.80
108,68.60,16.81
109,68.40,16.82
110,68.20,16.83
111,68.00,16.84
112,67.80,16.85
113,67.60,16.86
114,67.40,16.87
115,67.20,16.88
116,67.00,16.89
117,66.80,16.90
118,66.60,16.91
119,66.40,16.92
120,66.20,16.93
121,66.00,16.94
122,65.80,16.95
123,65.60,16.96
124,65.40,16.97
125,65.20,16.98
126,65.00,16.99
127,64.80,17.00
128,64.60,17.01
129,64.40,17.02
130,64.20,17.03
131,64.00,17.04
132,63.80,17.05
133,63.60,17.06
134,63.40,17.07
135,63.20,17.08
136,63.00,17.09
137,62.80,17.10
138,62.60,17.11
139,62.40,17.12
140,62.20,17.13
141,62.00,17.14
142,61.80,17.15
143,61.60,17.16
144,61.40,17.17
145,61.20,17.18
146,61.00,17.19
147,60.80,17.20
148,60.60,17.21
149,60.40,17.22
150,60.20,17.23
151,60.00,17.24
152,59.80,17.25
153,59.60,17.26
154,59.40,17.27
155,59.20,17.28
156,59.00,17.29
157,58.80,17.30
158,58.60,17.31
159,58.40,17.32
160,58.20,17.33
161,58.00,17.34
162,57.80,17.35
163,57.60,17.36
164,57.40,17.37
165,57.20,17.38
166,57.00,17.39
167,56.80,17.40
168,56.60,17.41
169,56.40,17.42
170,56.20,17.43
171,56.00,17.44
172,55.80,17.45
173,55.60,17.46
174,55.40,17.47
175,55.20,17.48
176,55.00,17.49
177,54.80,17.50
178,54.60,17.51
179,54.40,17.52
180,54.20,17.53
181,54.00,17.54
182,53.80,17.55
183,53.60,17.56
184,53.40,17.57
185,53.20,17.58
186,53.00,17.59
187,52.80,17.60
188,52.60,17.61
189,52.40,17.62
190,52.20,17.63
191,52.00,17.64
