sequence_number,score,value
1,12.00,0.05
2,13.00,0.52
3,14.00,0.95
4,15.00,1.36
5,16.00,1.74
6,17.00,2.09
7,18.00,2.43
8,19.00,2.75
9,20.00,3.05
10,21.00,3.34
11,22.00,3.61
12,23.00,3.87
13,24.00,4.12
14,25.00,4.36
15,26.00,4.59
16,27.00,4.81
17,28.00,5.03
18,29.00,5.23
19,30.00,5.43
20,31.00,5.62
21,32.00,5.81
22,33.00,5.99
23,34.00,6.17
24,35.00,6.34
25,36.00,6.50
26,37.00,6.66
27,38.00,6.82
28,39.00,6.97
29,40.00,7.12
30,41.00,7.26
31,42.00,7.41
32,43.00,7.54
33,44.00,7.68
34,45.00,7.81
35,46.00,7.94
36,47.00,8.07
37,48.00,8.19
38,49.00,8.31
39,50.00,8.43
40,51.00,8.55
41,52.00,8.66
42,53.00,8.77
43,54.00,8.88
44,55.00,8.90
45,56.00,9.10
46,57.00,9.20
47,58.00,9.30
48,59.00,9.40
49,60.00,9.50
50,61.00,9.60
51,62.00,9.70
52,63.00,9.79
53,64.00,9.88
54,65.00,9.97
55,66.00,10.06
56,67.00,10.15
57,68.00,10.24
58,69.00,10.33
59,70.00,10.41
60,71.00,10.49
61,72.00,10.57
62,73.00,10.65
63,74.00,10.73
64,75.00,10.81
65,76.00,10.89
66,77.00,10.97
67,78.00,11.04
68,79.00,11.13
69,80.00,11.20
70,81.00,11.27
71,82.00,11.34
72,83.00,11.41
73,84.00,11.48
74,85.00,11.55
75,86.00,11.62
76,87.00,11.69
77,88.00,11.76
78,89.00,11.83
79,90.00,11.90
80,91.00,11.96
81,92.00,12.02
82,93.00,12.08
83,94.00,12.14
84,95.00,12.20
85,96.00,12.26
86,97.00,12.32
87,98.00,12.38
88,99.00,12.44
89,100.00,12.50
