sequence_number,score,value
1,100.00,12.50
2,99.00,12.44
3,98.00,12.38
4,97.00,12.32
5,96.00,12.26
6,95.00,12.20
7,94.00,12.14
8,93.00,12.08
9,92.00,12.02
10,91.00,11.96
11,90.00,11.90
12,89.00,11.83
13,88.00,11.76
14,87.00,11.69
15,86.00,11.62
16,85.00,11.55
17,84.00,11.48
18,83.00,11.41
19,82.00,11.34
20,81.00,11.27
21,80.00,11.20
22,79.00,11.13
23,78.00,11.04
24,77.00,10.97
25,76.00,10.89
26,75.00,10.81
27,74.00,10.73
28,73.00,10.65
29,72.00,10.57
30,71.00,10.49
31,70.00,10.41
32,69.00,10.33
33,68.00,10.24
34,67.00,10.15
35,66.00,10.06
36,65.00,9.97
37,64.00,9.88
38,63.00,9.79
39,62.00,9.70
40,61.00,9.60
41,60.00,9.50
42,59.00,9.40
43,58.00,9.30
44,57.00,9.20
45,56.00,9.10
46,55.00,8.90
47,54.00,8.88
48,53.00,8.77
49,52.00,8.66
50,51.00,8.55
51,50.00,8.43
52,49.00,8.31
53,48.00,8.19
54,47.00,8.07
55,46.00,7.94
56,45.00,7.81
57,44.00,7.68
58,43.00,7.54
59,42.00,7.41
60,41.00,7.26
61,40.00,7.12
62,39.00,6.97
63,38.00,6.82
64,37.00,6.66
65,36.00,6.50
66,35.00,6.34
67,34.00,6.17
68,33.00,5.99
69,32.00,5.81
70,31.00,5.62
71,30.00,5.43
72,29.00,5.23
73,28.00,5.03
74,27.00,4.81
75,26.00,4.59
76,25.00,4.36
77,24.00,4.12
78,23.00,3.87
79,22.00,3.61
80,21.00,3.34
81,20.00,3.05
82,19.00,2.75
83,18.00,2.43
84,17.00,2.09
85,16.00,1.74
86,15.00,1.36
87,14.00,0.95
88,13.00,0.52
89,12.00,0.05
