sequence_number,score,value
1,9.00,0.29
2,10.00,1.94
3,11.00,3.44
4,12.00,4.80
5,13.00,6.05
6,14.00,7.21
7,15.00,8.29
8,16.00,9.30
9,17.00,10.25
10,18.00,11.15
11,19.00,11.99
12,20.00,12.80
13,21.00,13.56
14,22.00,14.29
15,23.00,14.99
16,24.00,15.65
17,25.00,16.29
18,26.00,16.91
19,27.00,17.50
20,28.00,18.07
21,29.00,18.62
22,30.00,19.15
23,31.00,19.66
24,32.00,20.16
25,33.00,20.64
26,34.00,21.11
27,35.00,21.56
28,36.00,22.00
29,37.00,22.43
30,38.00,22.85
31,39.00,23.26
32,40.00,23.65
33,41.00,24.04
34,42.00,24.42
35,43.00,24.78
36,44.00,25.14
37,45.00,25.50
38,46.00,25.84
39,47.00,26.18
40,48.00,26.51
41,49.00,26.83
42,50.00,27.15
43,51.00,27.46
44,52.00,27.76
45,53.00,28.06
46,54.00,28.35
47,55.00,28.64
48,56.00,28.92
49,57.00,29.20
50,58.00,29.47
51,59.00,29.74
52,60.00,30.00
53,61.00,30.26
54,62.00,30.51
55,63.00,30.76
56,64.00,31.01
57,65.00,31.25
58,66.00,31.49
59,67.00,31.73
60,68.00,31.96
61,69.00,32.19
62,70.00,32.42
63,71.00,32.64
64,72.00,32.86
65,73.00,33.07
66,74.00,33.28
67,75.00,33.49
68,76.00,33.70
69,77.00,33.91
70,78.00,34.11
71,79.00,34.31
72,80.00,34.51
73,81.00,34.70
74,82.00,34.89
75,83.00,35.08
76,84.00,35.27
77,85.00,35.46
78,86.00,35.64
79,87.00,35.82
80,88.00,36.00
81,89.00,36.18
82,90.00,36.35
83,91.00,36.52
84,92.00,36.69
85,93.00,36.86
86,94.00,37.03
87,95.00,37.20
88,96.00,37.36
89,97.00,37.52
90,98.00,37.68
91,99.00,37.84
92,100.00,38.00
