sequence_number,score,value
1,2.66,1.00
2,6.00,2
3,2.67,2.00
4,1.00,2.46
5,2.00,2.47
6,3.00,2.48
7,4.00,2.49
8,5.00,2.50
9,6.00,2.51
10,7.00,2.52
11,8.00,2.53
12,9.00,2.54
13,10.00,2.55
14,11.00,2.56
15,12.00,2.57
16,13.00,2.58
17,14.00,2.59
18,15.00,2.60
19,16.00,2.61
20,17.00,2.62
21,18.00,2.63
22,19.00,2.64
23,20.00,2.65
24,23.00,2.68
25,24.00,2.69
26,27.00,2.72
27,28.00,2.73
28,18.00,4
29,2.70,9.00
30,2.71,12.00
31,2.74,20.00
32,1,21.00
33,3.00,22.00
34,3,25.00
35,2.75,25.00
36,16.00,26.00
37,5,29.00
38,1,30.00
39,25.00,30.30
40,24.98,30.31
41,24.96,30.32
42,24.94,30.33
43,24.92,30.34
44,24.90,30.35
45,24.88,30.36
46,24.86,30.37
47,24.84,30.38
48,24.82,30.39
49,24.80,30.40
50,24.78,30.41
51,24.76,30.42
52,24.74,30.43
53,24.72,30.44
54,24.70,30.45
55,24.68,30.46
56,24.66,30.47
57,24.64,30.48
58,24.62,30.49
59,24.60,30.50
60,24.58,30.51
61,24.56,30.52
62,24.54,30.53
63,24.52,30.54
64,24.50,30.55
65,24.48,30.56
66,24.46,30.57
67,24.44,30.58
68,24.42,30.59
69,24.40,30.60
70,24.38,30.61
71,24.36,30.62
72,24.34,30.63
73,24.32,30.64
74,24.30,30.65
75,24.28,30.66
76,24.26,30.67
77,24.24,30.68
78,24.22,30.69
79,24.20,30.70
80,24.18,30.71
81,24.16,30.72
82,24.14,30.73
83,24.12,30.74
84,24.10,30.75
85,24.08,30.76
86,24.06,30.77
87,24.04,30.78
88,24.02,30.79
89,24.00,30.80
90,23.98,30.81
91,23.96,30.82
92,23.94,30.83
93,23.92,30.84
94,23.90,30.85
95,23.88,30.86
96,23.86,30.87
97,23.84,30.88
98,23.82,30.89
99,23.80,30.90
100,23.78,30.91
101,23.76,30.92
102,23.74,30.93
103,23.72,30.94
104,23.70,30.95
105,23.68,30.96
106,23.66,30.97
107,23.64,30.98
108,23.62,30.99
109,23.60,31.00
110,23.58,31.01
111,23.56,31.02
112,23.54,31.03
113,23.52,31.04
114,23.50,31.05
115,23.48,31.06
116,23.46,31.07
117,23.44,31.08
118,23.42,31.09
119,23.40,31.10
120,23.38,31.11
121,23.36,31.12
122,23.34,31.13
123,23.32,31.14
124,23.30,31.15
125,23.28,31.16
126,23.26,31.17
127,23.24,31.18
128,23.22,31.19
129,23.20,31.20
130,23.18,31.21
131,23.16,31.22
132,23.14,31.23
133,23.12,31.24
134,23.10,31.25
135,23.08,31.26
136,23.06,31.27
137,23.04,31.28
138,23.02,31.29
139,23.00,31.30
140,22.98,31.31
141,22.96,31.32
142,22.94,31.33
143,22.92,31.34
144,22.90,31.35
145,22.88,31.36
146,22.86,31.37
147,22.84,31.38
148,22.82,31.39
149,22.80,31.40
150,22.78,31.41
151,22.76,31.42
152,22.74,31.43
153,22.72,31.44
154,22.70,31.45
155,22.68,31.46
156,22.66,31.47
157,22.64,31.48
158,22.62,31.49
159,22.60,31.50
160,22.58,31.51
161,22.56,31.52
162,22.54,31.53
163,22.52,31.54
164,22.50,31.55
165,22.48,31.56
166,22.46,31.57
167,22.44,31.58
168,22.42,31.59
169,22.40,31.60
170,22.38,31.61
171,22.36,31.62
172,22.34,31.63
173,22.32,31.64
174,22.30,31.65
175,22.28,31.66
176,22.26,31.67
177,22.24,31.68
178,22.22,31.69
179,22.20,31.70
180,22.18,31.71
181,22.16,31.72
182,22.14,31.73
183,22.12,31.74
184,22.10,31.75
185,22.08,31.76
186,22.06,31.77
187,22.04,31.78
188,22.02,31.79
189,22.00,31.80
190,21.98,31.81
191,21.96,31.82
192,21.94,31.83
193,21.92,31.84
194,21.90,31.85
195,21.88,31.86
196,21.86,31.87
197,21.84,31.88
198,21.82,31.89
199,21.80,31.90
200,21.78,31.91
201,21.76,31.92
202,21.74,31.93
203,21.72,31.94
204,21.70,31.95
205,21.68,31.96
206,21.66,31.97
207,21.64,31.98
208,21.62,31.99
209,21.60,32.00
210,21.58,32.01
211,21.56,32.02
212,21.54,32.03
213,21.52,32.04
214,21.50,32.05
215,21.48,32.06
216,21.46,32.07
217,21.44,32.08
218,21.42,32.09
219,21.40,32.10
220,21.38,32.11
221,21.36,32.12
222,21.34,32.13
223,21.32,32.14
224,21.30,32.15
225,21.28,32.16
226,21.26,32.17
227,21.24,32.18
228,21.22,32.19
229,21.20,32.20
230,21.18,32.21
231,21.16,32.22
232,21.14,32.23
233,21.12,32.24
234,21.10,32.25
235,21.08,32.26
236,21.06,32.27
