sequence_number,score,value
1,51.20,0.10
2,51.10,0.20
3,51.00,0.30
4,50.90,0.40
5,50.80,0.50
6,50.70,0.60
7,50.60,0.70
8,50.50,0.80
9,50.40,0.90
10,50.30,1.00
11,50.20,1.10
12,50.10,1.20
13,50.00,1.30
14,49.90,1.40
15,49.80,1.50
16,49.70,1.60
17,49.60,1.70
18,49.50,1.80
19,49.40,1.90
20,49.30,2.00
21,49.20,2.10
22,49.10,2.20
23,49.00,2.30
24,48.90,2.40
25,48.80,2.50
26,48.70,2.60
27,48.60,2.70
28,48.50,2.80
29,48.40,2.90
30,48.30,3.00
31,48.20,3.10
32,48.10,3.20
33,48.00,3.30
34,47.90,3.40
35,47.80,3.50
36,47.70,3.60
37,47.60,3.70
38,47.50,3.80
39,47.40,3.90
40,47.30,4.00
41,47.20,4.10
42,47.10,4.20
43,47.00,4.30
44,46.90,4.40
45,46.80,4.50
46,46.70,4.60
47,46.60,4.70
48,46.50,4.80
49,46.40,4.90
50,46.30,5.00
51,46.20,5.10
52,46.10,5.20
53,46.00,5.30
54,45.90,5.40
55,45.80,5.50
56,45.70,5.60
57,45.60,5.70
58,45.50,5.80
59,45.40,5.90
60,45.30,6.00
61,45.20,6.10
62,45.10,6.20
63,45.00,6.30
64,44.90,6.40
65,44.80,6.50
66,44.70,6.60
67,44.60,6.70
68,44.50,6.80
69,44.40,6.90
70,44.30,7.00
71,44.29,7.02
72,44.28,7.04
73,44.27,7.06
74,44.26,7.08
75,44.25,7.10
76,44.24,7.12
77,44.23,7.14
78,44.22,7.16
79,44.21,7.18
80,44.20,7.20
81,44.19,7.22
82,44.18,7.24
83,44.17,7.26
84,44.16,7.28
85,44.15,7.30
86,44.14,7.32
87,44.13,7.34
88,44.12,7.36
89,44.11,7.38
90,44.10,7.40
91,44.09,7.42
92,44.08,7.44
93,44.07,7.46
94,44.06,7.48
95,44.05,7.50
96,44.04,7.52
97,44.03,7.54
98,44.02,7.56
99,44.01,7.58
100,44.00,7.60
101,43.99,7.62
102,43.98,7.64
103,43.97,7.66
104,43.96,7.68
105,43.95,7.70
106,43.94,7.72
107,43.93,7.74
108,43.92,7.76
109,43.91,7.78
110,43.90,7.80
111,43.89,7.82
112,43.88,7.84
113,43.87,7.86
114,43.86,7.88
115,43.85,7.90
116,43.84,7.92
117,43.83,7.94
118,43.82,7.96
119,43.81,7.98
120,43.80,8.00
121,43.79,8.02
122,43.78,8.04
123,43.77,8.06
124,43.76,8.08
125,43.75,8.10
126,43.74,8.12
127,43.73,8.14
128,43.72,8.16
129,43.71,8.18
130,43.70,8.20
131,43.69,8.22
132,43.68,8.24
133,43.67,8.26
134,43.66,8.28
135,43.65,8.30
136,43.64,8.32
137,43.63,8.34
138,43.62,8.36
139,43.61,8.38
140,43.60,8.40
141,43.59,8.42
142,43.58,8.44
143,43.57,8.46
144,43.56,8.48
145,43.55,8.50
146,43.54,8.52
147,43.53,8.54
148,43.52,8.56
149,43.51,8.58
150,43.50,8.60
151,43.49,8.62
152,43.48,8.64
153,43.47,8.66
154,43.46,8.68
155,43.45,8.70
156,43.44,8.72
157,43.43,8.74
158,43.42,8.76
159,43.41,8.78
160,43.40,8.80
161,43.39,8.82
162,43.38,8.84
163,43.37,8.86
164,43.36,8.88
165,43.35,8.90
166,43.34,8.92
167,43.33,8.94
168,43.32,8.96
169,43.31,8.98
170,43.30,9.00
171,43.29,9.02
172,43.28,9.04
173,43.27,9.06
174,43.26,9.08
175,43.25,9.10
176,43.24,9.12
177,43.23,9.14
178,43.22,9.16
179,43.21,9.18
180,43.20,9.20
181,43.19,9.22
182,43.18,9.24
183,43.17,9.26
184,43.16,9.28
185,43.15,9.30
186,43.14,9.32
187,43.13,9.34
188,43.12,9.36
189,43.11,9.38
190,43.10,9.40
191,43.09,9.42
192,43.08,9.44
193,43.07,9.46
194,43.06,9.48
195,43.05,9.50
196,43.04,9.52
197,43.03,9.54
198,43.02,9.56
199,43.01,9.58
200,43.00,9.60
201,42.99,9.62
202,42.98,9.64
203,42.97,9.66
204,42.96,9.68
205,42.95,9.70
206,42.94,9.72
207,42.93,9.74
208,42.92,9.76
209,42.91,9.78
210,42.90,9.80
211,42.89,9.82
212,42.88,9.84
213,42.87,9.86
214,42.86,9.88
215,42.85,9.90
216,42.84,9.92
217,42.83,9.94
