sequence_number,score,value
1,3.10,1
2,3.00,1.00
3,3.01,2.00
4,3.00,2
5,2.81,2.00
6,6.00,3
7,2.82,3.00
8,22.00,3.02
9,23.00,3.03
10,24.00,3.04
11,25.00,3.05
12,26.00,3.06
13,27.00,3.07
14,9.00,4
15,2.83,4.00
16,12.00,5
17,2.84,5.00
18,16.00,6
19,2.85,6.00
20,2.86,7.00
21,2.87,8.00
22,2.88,9.00
23,2.89,10.00
24,2.90,11.00
25,2.91,12.00
26,2.92,13.00
27,2.93,14.00
28,2.94,15.00
29,2.95,16.00
30,2.96,17.00
31,2.97,18.00
32,2.98,19.00
33,3.08,20.00
34,2.99,20.00
35,1,21.00
36,3.09,25.00
37,18.00,28.00
38,7,29.00
39,8,30.00
