sequence_number,score,value
1,46.10,0.10
2,46.00,0.20
3,45.90,0.30
4,45.80,0.40
5,45.70,0.50
6,45.60,0.60
7,45.50,0.70
8,45.40,0.80
9,45.30,0.90
10,45.20,1.00
11,45.10,1.10
12,45.00,1.20
13,44.90,1.30
14,44.80,1.40
15,44.70,1.50
16,44.60,1.60
17,44.50,1.70
18,44.40,1.80
19,44.30,1.90
20,44.20,2.00
21,44.10,2.10
22,44.00,2.20
23,43.90,2.30
24,43.80,2.40
25,43.70,2.50
26,43.60,2.60
27,43.50,2.70
28,43.40,2.80
29,43.30,2.90
30,43.20,3.00
31,43.10,3.10
32,43.00,3.20
33,42.90,3.30
34,42.80,3.40
35,42.70,3.50
36,42.60,3.60
37,42.50,3.70
38,42.40,3.80
39,42.30,3.90
40,42.20,4.00
41,42.10,4.10
42,42.00,4.20
43,41.90,4.30
44,41.80,4.40
45,41.70,4.50
46,41.60,4.60
47,41.50,4.70
48,41.40,4.80
49,41.30,4.90
50,41.20,5.00
51,41.10,5.10
52,41.00,5.20
53,40.90,5.30
54,40.80,5.40
55,40.70,5.50
56,40.60,5.60
57,40.50,5.70
58,40.40,5.80
59,40.30,5.90
60,40.20,6.00
61,40.10,6.10
62,40.00,6.20
63,39.90,6.30
64,39.80,6.40
65,39.70,6.50
66,39.60,6.60
67,39.50,6.70
68,39.40,6.80
69,39.30,6.90
70,39.29,7.00
71,39.28,7.02
72,39.27,7.04
73,39.26,7.06
74,39.25,7.08
75,39.24,7.10
76,39.23,7.12
77,39.22,7.14
78,39.21,7.16
79,39.20,7.18
80,39.19,7.20
81,39.18,7.22
82,39.17,7.24
83,39.16,7.26
84,39.15,7.28
85,39.14,7.30
86,39.13,7.32
87,39.12,7.34
88,39.11,7.36
89,39.10,7.38
90,39.09,7.40
91,39.08,7.42
92,39.07,7.44
93,39.06,7.46
94,39.05,7.48
95,39.04,7.50
96,39.03,7.52
97,39.02,7.54
98,39.01,7.56
99,39.00,7.58
100,38.99,7.60
101,38.98,7.62
102,38.97,7.64
103,38.96,7.66
104,38.95,7.68
105,38.94,7.70
106,38.93,7.72
107,38.92,7.74
108,38.91,7.76
109,38.90,7.78
110,38.89,7.80
111,38.88,7.82
112,38.87,7.84
113,38.86,7.86
114,38.85,7.88
115,38.84,7.90
116,38.83,7.92
117,38.82,7.94
118,38.81,7.96
119,38.80,7.98
120,38.79,8.00
121,38.78,8.02
122,38.77,8.04
123,38.76,8.06
124,38.75,8.08
125,38.74,8.10
126,38.73,8.12
127,38.72,8.14
128,38.71,8.16
129,38.70,8.18
130,38.69,8.20
131,38.68,8.22
132,38.67,8.24
133,38.66,8.26
134,38.65,8.28
135,38.64,8.30
136,38.63,8.32
137,38.62,8.34
138,38.61,8.36
139,38.60,8.38
140,38.59,8.40
141,38.58,8.42
142,38.57,8.44
143,38.56,8.46
144,38.55,8.48
145,38.54,8.50
146,38.53,8.52
147,38.52,8.54
148,38.51,8.56
149,38.50,8.58
150,38.49,8.60
151,38.48,8.62
152,38.47,8.64
153,38.46,8.66
154,38.45,8.68
155,38.44,8.70
156,38.43,8.72
157,38.42,8.74
158,38.41,8.76
159,38.40,8.78
160,38.39,8.80
161,38.38,8.82
162,38.37,8.84
163,38.36,8.86
164,38.35,8.88
165,38.34,8.90
166,38.33,8.92
167,38.32,8.94
168,38.31,8.96
169,38.30,8.98
170,38.29,9.00
171,38.28,9.02
172,38.27,9.04
173,38.26,9.06
174,38.25,9.08
175,38.24,9.10
176,38.23,9.12
177,38.22,9.14
178,34,9.16
179,36.22,13.14
180,36.21,13.16
181,36.20,13.18
182,36.19,13.20
183,36.18,13.22
184,36.17,13.24
185,36.16,13.26
186,36.15,13.28
187,36.14,13.30
188,36.13,13.32
189,36.12,13.34
190,36.11,13.36
191,36.10,13.38
