sequence_number,score,value
1,4.7,0.0
2,1,0
3,0.95,0.70
4,2.80,1
5,2,1
6,0,1
7,9,2
8,8,2
9,4,2
10,3,2
11,2,2
12,2.4,2.3
13,1.00,2.46
14,2.00,2.47
15,3.00,2.48
16,4.00,2.49
17,5.00,2.50
18,6.00,2.51
19,7.00,2.52
20,8.00,2.53
21,9.00,2.54
22,10.00,2.55
23,10.50,2.56
24,11.00,2.57
25,11.50,2.58
26,12.00,2.59
27,12.50,2.60
28,13.00,2.61
29,13.50,2.62
30,14.00,2.63
31,14.50,2.64
32,15.00,2.65
33,15.50,2.66
34,16.00,2.67
35,16.50,2.68
36,17.00,2.69
37,17.50,2.70
38,2.8,2.7
39,18.00,2.71
40,18.50,2.72
41,19.00,2.73
42,19.50,2.74
43,20.00,2.75
44,1.00,2.81
45,2.00,2.82
46,3.00,2.83
47,4.00,2.84
48,5.00,2.85
49,6.00,2.86
50,7.00,2.87
51,8.00,2.88
52,9.00,2.89
53,10.00,2.90
54,10.50,2.91
55,11.00,2.92
56,11.50,2.93
57,12.00,2.94
58,12.50,2.95
59,13.00,2.96
60,13.50,2.97
61,14.00,2.98
62,14.50,2.99
63,15.00,3.00
64,4,3
65,0,3
66,15.50,3.01
67,16.00,3.02
68,16.50,3.03
69,17.00,3.04
70,17.50,3.05
71,18.00,3.06
72,18.50,3.07
73,19.00,3.08
74,19.50,3.09
75,20.00,3.10
76,3.4,3.3
77,6,4
78,3,4
79,2,4.0
80,1,4
81,5.5,4.8
82,1,5
83,6.7,5.6
84,4.5,6
85,8.0,6.8
86,4,7
87,0,7
88,2,8
89,1,8
90,1,9
91,10,10
