sequence_number,score,value
1,18.22,10.90
2,18.14,10.91
3,18.06,10.92
4,17.98,10.93
5,17.90,10.94
6,17.82,10.95
7,17.74,10.96
8,17.66,10.97
9,17.58,10.98
10,17.50,10.99
11,17.42,11.00
12,17.34,11.01
13,17.26,11.02
14,17.18,11.03
15,17.10,11.04
16,17.02,11.05
17,16.94,11.06
18,16.86,11.07
19,16.78,11.08
20,16.70,11.09
21,16.62,11.10
22,16.54,11.11
23,16.46,11.12
24,16.38,11.13
25,16.30,11.14
26,16.22,11.15
27,16.14,11.16
28,16.06,11.17
29,15.98,11.18
30,15.90,11.19
31,15.82,11.20
32,15.74,11.21
33,15.66,11.22
34,15.58,11.23
35,15.50,11.24
36,15.42,11.25
37,15.34,11.26
38,15.26,11.27
39,15.18,11.28
40,15.10,11.29
41,15.02,11.30
42,14.94,11.31
43,14.86,11.32
44,14.78,11.33
45,14.70,11.34
46,14.62,11.35
47,14.54,11.36
48,14.46,11.37
49,14.38,11.38
50,14.30,11.39
51,14.22,11.40
52,14.14,11.41
53,14.06,11.42
54,13.98,11.43
55,13.90,11.44
56,13.82,11.45
57,13.74,11.46
58,13.66,11.47
59,13.58,11.48
60,13.50,11.49
61,13.42,11.50
62,13.34,11.51
63,13.26,11.52
64,13.18,11.53
65,13.10,11.54
66,13.02,11.55
67,12.94,11.56
68,12.86,11.57
69,12.78,11.58
70,12.70,11.59
71,12.62,11.60
72,12.54,11.61
73,12.46,11.62
74,12.38,11.63
75,12.30,11.64
76,12.22,11.65
77,12.14,11.66
78,12.06,11.67
79,11.98,11.68
80,11.90,11.69
81,11.82,11.70
82,11.74,11.71
83,11.66,11.72
84,11.58,11.73
85,11.50,11.74
86,11.42,11.75
87,11.34,11.76
88,11.26,11.77
89,11.18,11.78
90,11.10,11.79
91,11.02,11.80
92,10.94,11.81
93,10.86,11.82
94,10.78,11.83
95,10.70,11.84
96,10.62,11.85
97,10.54,11.86
98,10.46,11.87
99,10.38,11.88
100,10.30,11.89
101,10.22,11.90
102,10.14,11.91
103,10.06,11.92
104,9.98,11.93
105,9.90,11.94
106,9.82,11.95
107,9.74,11.96
108,9.66,11.97
109,9.58,11.98
110,9.50,11.99
111,9.42,12.00
112,9.34,12.01
113,9.26,12.02
114,9.18,12.03
115,9.10,12.04
116,9.02,12.05
117,8.94,12.06
118,8.86,12.07
119,8.78,12.08
120,8.70,12.09
121,8.62,12.10
122,8.54,12.11
123,8.46,12.12
124,8.38,12.13
125,8.30,12.14
126,8.22,12.15
127,8.14,12.16
128,8.06,12.17
129,7.98,12.18
130,7.90,12.19
131,7.82,12.20
132,7.74,12.21
133,7.66,12.22
134,7.58,12.23
135,7.50,12.24
136,7.42,12.25
137,7.34,12.26
138,7.26,12.27
139,7.18,12.28
140,7.10,12.29
141,7.02,12.30
142,6.94,12.31
143,6.86,12.32
144,6.78,12.33
145,6.70,12.34
146,6.62,12.35
147,6.54,12.36
148,6.46,12.37
149,6.38,12.38
150,6.30,12.39
151,6.22,12.40
152,6.14,12.41
153,6.06,12.42
154,5.98,12.43
155,5.90,12.44
156,5.82,12.45
157,5.74,12.46
158,5.66,12.47
159,5.58,12.48
160,5.50,12.49
161,5.42,12.50
162,5.34,12.51
163,5.26,12.52
164,5.18,12.53
165,5.10,12.54
166,5.04,12.55
167,4.98,12.56
168,4.92,12.57
169,4.86,12.58
170,4.80,12.59
171,4.74,12.60
172,4.68,12.61
173,4.62,12.62
174,4.56,12.63
175,4.50,12.64
176,4.44,12.65
177,4.38,12.66
178,4.32,12.67
179,4.26,12.68
180,4.20,12.69
181,4.14,12.70
182,4.08,12.71
183,4.02,12.72
184,3.96,12.73
185,3.90,12.74
186,3.84,12.75
187,3.78,12.76
188,3.72,12.77
189,3.66,12.78
190,3.60,12.79
191,3.54,12.80
192,3.48,12.81
193,3.42,12.82
194,3.36,12.83
195,3.30,12.84
196,3.24,12.85
197,3.18,12.86
198,3.12,12.87
199,3.06,12.88
200,3.00,12.89
201,2.94,12.90
202,2.88,12.91
203,2.82,12.92
204,2.76,12.93
205,2.70,12.94
206,2.64,12.95
207,2.58,12.96
208,2.52,12.97
209,2.46,12.98
210,2.40,12.99
211,2.34,13.00
212,2.28,13.01
213,2.22,13.02
214,2.16,13.03
215,2.10,13.04
216,2.04,13.05
217,1.98,13.06
218,1.92,13.07
219,1.86,13.08
220,1.80,13.09
221,1.74,13.10
222,1.68,13.11
223,1.62,13.12
224,1.56,13.13
225,1.50,13.14
226,1.44,13.15
227,1.38,13.16
228,1.32,13.17
229,1.26,13.18
230,1.20,13.19
231,1.16,13.20
232,1.12,13.21
233,1.08,13.22
234,1.04,13.23
235,1.00,13.24
