sequence_number,score,value
1,23.34,9.24
2,23.26,9.25
3,23.18,9.26
4,23.10,9.27
5,23.02,9.28
6,22.94,9.29
7,22.86,9.30
8,22.78,9.31
9,22.70,9.32
10,22.62,9.33
11,22.54,9.34
12,22.46,9.35
13,22.38,9.36
14,22.30,9.37
15,22.22,9.38
16,22.14,9.39
17,22.06,9.40
18,21.98,9.41
19,21.90,9.42
20,21.82,9.43
21,21.74,9.44
22,21.66,9.45
23,21.58,9.46
24,21.50,9.47
25,21.42,9.48
26,21.34,9.49
27,21.26,9.50
28,21.18,9.51
29,21.10,9.52
30,21.02,9.53
31,20.94,9.54
32,20.86,9.55
33,20.78,9.56
34,20.70,9.57
35,20.62,9.58
36,20.54,9.59
37,20.46,9.60
38,20.38,9.61
39,20.30,9.62
40,20.22,9.63
41,20.14,9.64
42,20.06,9.65
43,19.98,9.66
44,19.90,9.67
45,19.82,9.68
46,19.74,9.69
47,19.66,9.70
48,19.58,9.71
49,19.50,9.72
50,19.42,9.73
51,19.34,9.74
52,19.26,9.75
53,19.18,9.76
54,19.10,9.77
55,19.02,9.78
56,18.94,9.79
57,18.86,9.80
58,18.78,9.81
59,18.70,9.82
60,18.62,9.83
61,18.54,9.84
62,18.46,9.85
63,18.38,9.86
64,18.30,9.87
65,18.22,9.88
66,18.14,9.89
67,18.06,9.90
68,17.98,9.91
69,17.90,9.92
70,17.82,9.93
71,17.74,9.94
72,17.66,9.95
73,17.58,9.96
74,17.50,9.97
75,17.42,9.98
76,17.34,9.99
77,17.26,10.00
78,17.18,10.01
79,17.10,10.02
80,17.02,10.03
81,16.94,10.04
82,16.86,10.05
83,16.78,10.06
84,16.70,10.07
85,16.62,10.08
86,16.54,10.09
87,16.46,10.10
88,16.38,10.11
89,16.30,10.12
90,16.22,10.13
91,16.14,10.14
92,16.06,10.15
93,15.98,10.16
94,15.90,10.17
95,15.82,10.18
96,15.74,10.19
97,15.66,10.20
98,15.58,10.21
99,15.50,10.22
100,15.42,10.23
101,15.34,10.24
102,15.26,10.25
103,15.18,10.26
104,15.10,10.27
105,15.02,10.28
106,14.94,10.29
