sequence_number,score,value
1,30.00,7.50
2,29.94,7.51
3,29.88,7.52
4,29.83,7.53
5,29.77,7.54
6,29.71,7.55
7,29.65,7.56
8,29.59,7.57
9,29.53,7.58
10,29.48,7.59
11,29.42,7.60
12,29.36,7.61
13,29.30,7.62
14,29.25,7.63
15,29.20,7.64
16,29.15,7.65
17,29.10,7.66
18,29.05,7.67
19,29.00,7.68
20,28.95,7.69
21,28.90,7.70
22,28.85,7.71
23,28.80,7.72
24,28.75,7.73
25,28.70,7.74
26,28.65,7.75
27,28.60,7.76
28,28.55,7.77
29,28.50,7.78
30,28.45,7.79
31,28.40,7.80
32,28.35,7.81
33,28.30,7.82
34,28.25,7.83
35,28.20,7.84
36,28.15,7.85
37,28.10,7.86
38,28.06,7.87
39,28.02,7.88
40,27.98,7.89
41,27.93,7.90
42,27.89,7.91
43,27.85,7.92
44,27.81,7.93
45,27.77,7.94
46,27.73,7.95
47,27.68,7.96
48,27.64,7.97
49,27.60,7.98
50,27.56,7.99
51,27.52,8.00
52,0.13,8
53,27.48,8.01
54,27.43,8.02
55,27.39,8.03
56,27.35,8.04
57,27.31,8.05
58,27.27,8.06
59,27.23,8.07
60,27.18,8.08
61,27.14,8.09
62,27.10,8.10
63,27.07,8.11
64,27.03,8.12
65,27.00,8.13
66,26.97,8.14
67,26.93,8.15
68,26.90,8.16
69,26.87,8.17
70,26.83,8.18
71,26.80,8.19
72,26.77,8.20
73,26.73,8.21
74,26.70,8.22
75,26.67,8.23
76,26.63,8.24
77,26.60,8.25
78,26.57,8.26
79,26.53,8.27
80,26.50,8.28
81,26.47,8.29
82,26.43,8.30
83,26.40,8.31
84,26.37,8.32
85,26.33,8.33
86,26.30,8.34
87,26.27,8.35
88,26.23,8.36
89,26.20,8.37
90,26.17,8.38
91,26.13,8.39
92,26.10,8.40
93,26.07,8.41
94,26.03,8.42
95,26.00,8.43
96,25.97,8.44
97,25.93,8.45
98,25.90,8.46
99,25.87,8.47
100,25.83,8.48
101,25.80,8.49
102,25.77,8.50
103,25.73,8.51
104,25.70,8.52
105,25.67,8.53
106,25.63,8.54
107,25.60,8.55
108,25.57,8.56
109,25.53,8.57
110,25.50,8.58
111,25.47,8.59
112,25.43,8.60
113,25.40,8.61
114,25.37,8.62
115,25.33,8.63
116,25.30,8.64
117,25.27,8.65
118,25.23,8.66
119,25.20,8.67
120,25.17,8.68
121,25.13,8.69
122,25.10,8.70
123,25.07,8.71
124,25.03,8.72
125,25.00,8.73
126,24.97,8.74
127,24.93,8.75
128,24.90,8.76
129,24.87,8.77
130,24.83,8.78
131,24.80,8.79
132,24.77,8.80
133,24.73,8.81
134,24.70,8.82
135,24.67,8.83
136,24.63,8.84
137,24.60,8.85
138,24.57,8.86
139,24.53,8.87
140,24.50,8.88
141,24.47,8.89
142,24.43,8.90
143,24.40,8.91
144,24.37,8.92
145,24.33,8.93
146,24.30,8.94
147,24.28,8.95
148,24.27,8.96
149,24.25,8.97
150,24.23,8.98
151,24.22,8.99
152,24.20,9.00
153,0.25,9
154,24.18,9.01
155,24.17,9.02
156,24.15,9.03
157,24.13,9.04
158,24.12,9.05
159,24.10,9.06
160,24.08,9.07
161,24.07,9.08
162,24.05,9.09
163,24.03,9.10
164,24.02,9.11
165,24.00,9.12
166,23.98,9.13
167,23.97,9.14
168,23.95,9.15
169,23.93,9.16
170,23.92,9.17
171,23.90,9.18
172,23.82,9.19
173,23.74,9.20
174,23.66,9.21
175,23.58,9.22
176,23.50,9.23
177,0.48,10
178,0.94,11
179,1.41,12
180,1.88,13
181,2.35,14
182,2.81,15
183,3.29,16
184,3.75,17
185,4.23,18
186,4.69,19
187,5.16,20
188,5.63,21
189,6.10,22
190,6.56,23
191,7.04,24
192,7.50,25
193,7.98,26
194,8.44,27
195,8.91,28
196,9.13,29
197,9.38,30
198,9.63,31
199,9.85,32
200,10.13,33
201,10.31,34
202,10.50,35
203,10.79,36
204,11.10,37
205,11.25,38
206,11.50,39
207,11.73,40
208,12.19,41
209,12.66,42
210,13.13,43
211,13.60,44
212,14.06,45
213,14.54,46
214,15.00,47
215,15.48,48
216,15.94,49
217,16.41,50
218,16.63,51
219,16.88,52
220,17.13,53
221,17.35,54
222,17.63,55
223,17.81,56
224,18.00,57
225,18.29,58
226,18.50,59
227,18.80,60
228,19.11,61
229,19.45,62
230,19.80,63
231,19.90,64
232,20.00,65
