sequence_number,score,value
1,94.32,01:16.34
2,94.30,01:16.35
3,94.27,01:16.36
4,94.25,01:16.37
5,94.22,01:16.38
6,94.20,01:16.39
7,94.17,01:16.40
8,94.15,01:16.41
9,94.12,01:16.42
10,94.10,01:16.43
11,94.07,01:16.44
12,94.05,01:16.45
13,94.02,01:16.46
14,94.00,01:16.47
15,93.97,01:16.48
16,93.95,01:16.49
17,93.92,01:16.50
18,93.90,01:16.51
19,93.87,01:16.52
20,93.85,01:16.53
21,93.82,01:16.54
22,93.80,01:16.55
23,93.77,01:16.56
24,93.75,01:16.57
25,93.72,01:16.58
26,93.70,01:16.59
27,93.67,01:16.60
28,93.65,01:16.61
29,93.62,01:16.62
30,93.60,01:16.63
31,93.57,01:16.64
32,93.55,01:16.65
33,93.52,01:16.66
34,93.50,01:16.67
35,93.47,01:16.68
36,93.45,01:16.69
37,93.42,01:16.70
38,93.40,01:16.71
39,93.37,01:16.72
40,93.35,01:16.73
41,93.32,01:16.74
42,93.30,01:16.75
43,93.27,01:16.76
44,93.25,01:16.77
45,93.22,01:16.78
46,93.20,01:16.79
47,93.17,01:16.80
48,93.15,01:16.81
49,93.12,01:16.82
50,93.10,01:16.83
51,93.07,01:16.84
52,93.05,01:16.85
53,93.02,01:16.86
54,93.00,01:16.87
55,92.97,01:16.88
56,92.95,01:16.89
57,92.92,01:16.90
58,92.90,01:16.91
59,92.87,01:16.92
60,92.85,01:16.93
61,92.82,01:16.94
62,92.80,01:16.95
63,92.77,01:16.96
64,92.75,01:16.97
65,92.72,01:16.98
66,92.70,01:16.99
67,92.67,01:17.00
68,92.65,01:17.01
69,92.62,01:17.02
70,92.60,01:17.03
71,92.57,01:17.04
72,92.55,01:17.05
73,92.52,01:17.06
74,92.50,01:17.07
75,92.47,01:17.08
76,92.45,01:17.09
77,92.42,01:17.10
78,92.40,01:17.11
79,92.37,01:17.12
80,92.35,01:17.13
81,92.32,01:17.14
82,92.29,01:17.15
83,92.27,01:17.16
84,92.24,01:17.17
85,92.22,01:17.18
86,92.19,01:17.19
87,92.16,01:17.20
88,92.14,01:17.21
89,92.11,01:17.22
90,92.09,01:17.23
91,92.06,01:17.24
92,92.04,01:17.25
93,92.01,01:17.26
94,91.98,01:17.27
95,91.96,01:17.28
96,91.93,01:17.29
97,91.91,01:17.30
98,91.88,01:17.31
99,91.86,01:17.32
100,91.83,01:17.33
101,91.80,01:17.34
102,91.78,01:17.35
103,91.75,01:17.36
104,91.73,01:17.37
105,91.70,01:17.38
106,91.68,01:17.39
107,91.65,01:17.40
108,91.62,01:17.41
109,91.60,01:17.42
110,91.57,01:17.43
111,91.55,01:17.44
112,91.52,01:17.45
113,91.49,01:17.46
114,91.47,01:17.47
115,91.44,01:17.48
116,91.42,01:17.49
117,91.39,01:17.50
118,91.37,01:17.51
119,91.34,01:17.52
120,91.31,01:17.53
121,91.29,01:17.54
122,91.26,01:17.55
123,91.24,01:17.56
124,91.21,01:17.57
125,91.19,01:17.58
126,91.16,01:17.59
127,91.13,01:17.60
128,91.11,01:17.61
129,91.08,01:17.62
130,91.06,01:17.63
131,91.03,01:17.64
132,91.01,01:17.65
133,90.98,01:17.66
134,90.95,01:17.67
135,90.93,01:17.68
136,90.90,01:17.69
137,90.88,01:17.70
138,90.85,01:17.71
139,90.82,01:17.72
140,90.80,01:17.73
141,90.77,01:17.74
142,90.75,01:17.75
143,90.72,01:17.76
144,90.70,01:17.77
145,90.67,01:17.78
146,90.64,01:17.79
147,90.62,01:17.80
148,90.59,01:17.81
149,90.57,01:17.82
150,90.54,01:17.83
151,90.52,01:17.84
152,90.49,01:17.85
153,90.46,01:17.86
154,90.44,01:17.87
155,90.41,01:17.88
156,90.39,01:17.89
157,90.36,01:17.90
158,90.34,01:17.91
159,90.31,01:17.92
160,90.28,01:17.93
161,90.26,01:17.94
162,90.23,01:17.95
163,90.21,01:17.96
164,90.18,01:17.97
165,90.15,01:17.98
166,90.13,01:17.99
167,90.10,01:18.00
168,90.08,01:18.01
169,90.05,01:18.02
170,90.03,01:18.03
171,90.00,01:18.04
172,89.97,01:18.05
173,89.95,01:18.06
174,89.92,01:18.07
175,89.89,01:18.08
176,89.87,01:18.09
177,89.84,01:18.10
178,89.81,01:18.11
179,89.79,01:18.12
180,89.76,01:18.13
181,89.73,01:18.14
182,89.71,01:18.15
183,89.68,01:18.16
184,89.65,01:18.17
185,89.63,01:18.18
186,89.60,01:18.19
187,89.57,01:18.20
188,89.55,01:18.21
189,89.52,01:18.22
190,89.49,01:18.23
191,89.47,01:18.24
192,89.44,01:18.25
