sequence_number,score,value
1,100.00,01:22.00
2,99.98,01:22.01
3,99.95,01:22.02
4,99.93,01:22.03
5,99.90,01:22.04
6,99.88,01:22.05
7,99.85,01:22.06
8,99.83,01:22.07
9,99.80,01:22.08
10,99.77,01:22.09
11,99.75,01:22.10
12,99.72,01:22.11
13,99.70,01:22.12
14,99.67,01:22.13
15,99.65,01:22.14
16,99.62,01:22.15
17,99.60,01:22.16
18,99.57,01:22.17
19,99.55,01:22.18
20,99.52,01:22.19
21,99.50,01:22.20
22,99.47,01:22.21
23,99.45,01:22.22
24,99.42,01:22.23
25,99.40,01:22.24
26,99.37,01:22.25
27,99.35,01:22.26
28,99.32,01:22.27
29,99.30,01:22.28
30,99.27,01:22.29
31,99.25,01:22.30
32,99.22,01:22.31
33,99.20,01:22.32
34,99.17,01:22.33
35,99.15,01:22.34
36,99.12,01:22.35
37,99.10,01:22.36
38,99.07,01:22.37
39,99.05,01:22.38
40,99.02,01:22.39
41,99.00,01:22.40
42,98.97,01:22.41
43,98.95,01:22.42
44,98.92,01:22.43
45,98.90,01:22.44
46,98.87,01:22.45
47,98.85,01:22.46
48,98.82,01:22.47
49,98.80,01:22.48
50,98.77,01:22.49
51,98.75,01:22.50
52,98.72,01:22.51
53,98.70,01:22.52
54,98.67,01:22.53
55,98.65,01:22.54
56,98.62,01:22.55
57,98.60,01:22.56
58,98.57,01:22.57
59,98.55,01:22.58
60,98.52,01:22.59
61,98.50,01:22.60
62,98.47,01:22.61
63,98.45,01:22.62
64,98.42,01:22.63
65,98.40,01:22.64
66,98.37,01:22.65
67,98.35,01:22.66
68,98.32,01:22.67
69,98.30,01:22.68
70,98.27,01:22.69
71,98.25,01:22.70
72,98.22,01:22.71
73,98.20,01:22.72
74,98.17,01:22.73
75,98.15,01:22.74
76,98.12,01:22.75
77,98.10,01:22.76
78,98.07,01:22.77
79,98.05,01:22.78
80,98.02,01:22.79
81,98.00,01:22.80
82,97.97,01:22.81
83,97.95,01:22.82
84,97.92,01:22.83
85,97.90,01:22.84
86,97.87,01:22.85
87,97.85,01:22.86
88,97.82,01:22.87
89,97.80,01:22.88
90,97.77,01:22.89
91,97.75,01:22.90
92,97.72,01:22.91
93,97.70,01:22.92
94,97.67,01:22.93
95,97.65,01:22.94
96,97.62,01:22.95
97,97.60,01:22.96
98,97.57,01:22.97
99,97.55,01:22.98
100,97.52,01:22.99
101,97.50,01:23.00
102,97.47,01:23.01
103,97.45,01:23.02
104,97.42,01:23.03
105,97.40,01:23.04
106,97.37,01:23.05
107,97.35,01:23.06
108,97.32,01:23.07
109,97.29,01:23.08
110,97.27,01:23.09
111,97.24,01:23.10
112,97.22,01:23.11
113,97.19,01:23.12
114,97.16,01:23.13
115,97.14,01:23.14
116,97.11,01:23.15
117,97.09,01:23.16
118,97.06,01:23.17
119,97.04,01:23.18
120,97.01,01:23.19
121,96.98,01:23.20
122,96.96,01:23.21
123,96.93,01:23.22
124,96.91,01:23.23
125,96.88,01:23.24
126,96.86,01:23.25
127,96.83,01:23.26
128,96.80,01:23.27
129,96.78,01:23.28
130,96.75,01:23.29
131,96.73,01:23.30
132,96.70,01:23.31
133,96.68,01:23.32
134,96.65,01:23.33
135,96.62,01:23.34
136,96.60,01:23.35
137,96.57,01:23.36
138,96.55,01:23.37
139,96.52,01:23.38
140,96.49,01:23.39
141,96.47,01:23.40
142,96.44,01:23.41
143,96.42,01:23.42
144,96.39,01:23.43
145,96.37,01:23.44
146,96.34,01:23.45
147,96.31,01:23.46
148,96.29,01:23.47
149,96.26,01:23.48
150,96.24,01:23.49
151,96.21,01:23.50
152,96.19,01:23.51
153,96.16,01:23.52
154,96.13,01:23.53
155,96.11,01:23.54
156,96.08,01:23.55
157,96.06,01:23.56
158,96.03,01:23.57
159,96.01,01:23.58
160,95.98,01:23.59
161,95.95,01:23.60
162,95.93,01:23.61
163,95.90,01:23.62
164,95.88,01:23.63
165,95.85,01:23.64
166,95.82,01:23.65
167,95.80,01:23.66
168,95.77,01:23.67
169,95.75,01:23.68
170,95.72,01:23.69
171,95.70,01:23.70
172,95.67,01:23.71
173,95.64,01:23.72
174,95.62,01:23.73
175,95.59,01:23.74
176,95.57,01:23.75
177,95.54,01:23.76
178,95.52,01:23.77
179,95.49,01:23.78
180,95.46,01:23.79
181,95.44,01:23.80
182,95.41,01:23.81
183,95.39,01:23.82
184,95.36,01:23.83
185,95.34,01:23.84
186,95.31,01:23.85
187,95.28,01:23.86
188,95.26,01:23.87
189,95.23,01:23.88
190,95.21,01:23.89
191,95.18,01:23.90
192,95.15,01:23.91
193,95.13,01:23.92
194,95.10,01:23.93
195,95.08,01:23.94
196,95.05,01:23.95
197,95.03,01:23.96
198,95.00,01:23.97
199,94.97,01:23.98
200,94.95,01:23.99
201,94.92,01:24.00
202,94.89,01:24.01
203,94.87,01:24.02
204,94.84,01:24.03
205,94.82,01:24.04
206,94.79,01:24.05
207,94.76,01:24.06
208,94.74,01:24.07
209,94.71,01:24.08
210,94.68,01:24.09
211,94.66,01:24.10
212,94.63,01:24.11
213,94.61,01:24.12
214,94.58,01:24.13
215,94.55,01:24.14
216,94.53,01:24.15
217,94.50,01:24.16
218,94.47,01:24.17
219,94.45,01:24.18
220,94.42,01:24.19
221,94.39,01:24.20
222,94.37,01:24.21
223,94.34,01:24.22
224,94.32,01:24.23
225,94.29,01:24.24
226,94.26,01:24.25
227,94.24,01:24.26
228,94.21,01:24.27
229,94.18,01:24.28
230,94.16,01:24.29
231,94.13,01:24.30
232,94.11,01:24.31
233,94.08,01:24.32
234,94.05,01:24.33
235,94.03,01:24.34
236,94.00,01:24.35
237,93.97,01:24.36
238,93.95,01:24.37
239,93.92,01:24.38
240,93.89,01:24.39
241,93.87,01:24.40
242,93.84,01:24.41
243,93.82,01:24.42
244,93.79,01:24.43
245,93.76,01:24.44
246,93.74,01:24.45
247,93.71,01:24.46
248,93.68,01:24.47
249,93.66,01:24.48
