sequence_number,score,value
1,100.00,01:30.00
2,99.97,01:30.01
3,99.93,01:30.02
4,99.90,01:30.03
5,99.87,01:30.04
6,99.83,01:30.05
7,99.80,01:30.06
8,99.77,01:30.07
9,99.73,01:30.08
10,99.70,01:30.09
11,99.67,01:30.10
12,99.63,01:30.11
13,99.60,01:30.12
14,99.57,01:30.13
15,99.53,01:30.14
16,99.50,01:30.15
17,99.47,01:30.16
18,99.43,01:30.17
19,99.40,01:30.18
20,99.37,01:30.19
21,99.33,01:30.20
22,99.30,01:30.21
23,99.27,01:30.22
24,99.23,01:30.23
25,99.20,01:30.24
26,99.17,01:30.25
27,99.13,01:30.26
28,99.10,01:30.27
29,99.07,01:30.28
30,99.03,01:30.29
31,99.00,01:30.30
32,98.97,01:30.31
33,98.93,01:30.32
34,98.90,01:30.33
35,98.87,01:30.34
36,98.83,01:30.35
37,98.80,01:30.36
38,98.77,01:30.37
39,98.73,01:30.38
40,98.70,01:30.39
41,98.67,01:30.40
42,98.63,01:30.41
43,98.60,01:30.42
44,98.57,01:30.43
45,98.53,01:30.44
46,98.50,01:30.45
47,98.47,01:30.46
48,98.43,01:30.47
49,98.40,01:30.48
50,98.37,01:30.49
51,98.33,01:30.50
52,98.30,01:30.51
53,98.27,01:30.52
54,98.23,01:30.53
55,98.20,01:30.54
56,98.17,01:30.55
57,98.13,01:30.56
58,98.10,01:30.57
59,98.07,01:30.58
60,98.03,01:30.59
61,98.00,01:30.60
62,97.97,01:30.61
63,97.93,01:30.62
64,97.90,01:30.63
65,97.87,01:30.64
66,97.83,01:30.65
67,97.80,01:30.66
68,97.77,01:30.67
69,97.73,01:30.68
70,97.70,01:30.69
71,97.67,01:30.70
72,97.63,01:30.71
73,97.60,01:30.72
74,97.57,01:30.73
75,97.53,01:30.74
76,97.50,01:30.75
77,97.47,01:30.76
78,97.43,01:30.77
79,97.40,01:30.78
80,97.36,01:30.79
81,97.33,01:30.80
82,97.29,01:30.81
83,97.26,01:30.82
84,97.23,01:30.83
85,97.19,01:30.84
86,97.16,01:30.85
87,97.12,01:30.86
88,97.09,01:30.87
89,97.05,01:30.88
90,97.02,01:30.89
91,96.99,01:30.90
92,96.95,01:30.91
93,96.92,01:30.92
94,96.88,01:30.93
95,96.85,01:30.94
96,96.82,01:30.95
97,96.78,01:30.96
98,96.75,01:30.97
99,96.71,01:30.98
100,96.68,01:30.99
101,96.64,01:31.00
102,96.61,01:31.01
103,96.58,01:31.02
104,96.54,01:31.03
105,96.51,01:31.04
106,96.47,01:31.05
107,96.44,01:31.06
108,96.40,01:31.07
109,96.37,01:31.08
110,96.34,01:31.09
111,96.30,01:31.10
112,96.27,01:31.11
113,96.23,01:31.12
114,96.20,01:31.13
115,96.16,01:31.14
116,96.13,01:31.15
117,96.10,01:31.16
118,96.06,01:31.17
119,96.03,01:31.18
120,95.99,01:31.19
121,95.96,01:31.20
122,95.92,01:31.21
123,95.89,01:31.22
124,95.86,01:31.23
125,95.82,01:31.24
126,95.79,01:31.25
127,95.75,01:31.26
128,95.72,01:31.27
129,95.68,01:31.28
130,95.65,01:31.29
131,95.62,01:31.30
132,95.58,01:31.31
133,95.55,01:31.32
134,95.51,01:31.33
135,95.48,01:31.34
136,95.45,01:31.35
137,95.41,01:31.36
138,95.38,01:31.37
139,95.34,01:31.38
140,95.31,01:31.39
141,95.27,01:31.40
142,95.24,01:31.41
143,95.21,01:31.42
144,95.17,01:31.43
145,95.14,01:31.44
146,95.10,01:31.45
147,95.07,01:31.46
148,95.03,01:31.47
149,95.00,01:31.48
150,94.96,01:31.49
151,94.93,01:31.50
152,94.89,01:31.51
153,94.86,01:31.52
154,94.82,01:31.53
155,94.79,01:31.54
156,94.75,01:31.55
157,94.72,01:31.56
158,94.68,01:31.57
159,94.65,01:31.58
160,94.61,01:31.59
161,94.58,01:31.60
162,94.54,01:31.61
163,94.51,01:31.62
164,94.47,01:31.63
165,94.44,01:31.64
166,94.40,01:31.65
167,94.37,01:31.66
168,94.33,01:31.67
169,94.30,01:31.68
170,94.26,01:31.69
171,94.23,01:31.70
172,94.19,01:31.71
173,94.15,01:31.72
174,94.12,01:31.73
175,94.08,01:31.74
176,94.05,01:31.75
177,94.01,01:31.76
178,93.98,01:31.77
179,93.94,01:31.78
180,93.91,01:31.79
181,93.87,01:31.80
182,93.84,01:31.81
183,93.80,01:31.82
184,93.77,01:31.83
185,93.73,01:31.84
186,93.70,01:31.85
187,93.66,01:31.86
188,93.63,01:31.87
189,93.59,01:31.88
190,93.56,01:31.89
191,93.52,01:31.90
192,93.49,01:31.91
193,93.45,01:31.92
194,93.42,01:31.93
195,93.38,01:31.94
196,93.35,01:31.95
197,93.31,01:31.96
198,93.27,01:31.97
199,93.24,01:31.98
200,93.20,01:31.99
201,93.17,01:32.00
202,93.13,01:32.01
203,93.10,01:32.02
204,93.06,01:32.03
205,93.03,01:32.04
206,92.99,01:32.05
207,92.96,01:32.06
208,92.92,01:32.07
209,92.89,01:32.08
210,92.85,01:32.09
211,92.82,01:32.10
212,92.78,01:32.11
213,92.75,01:32.12
214,92.71,01:32.13
215,92.68,01:32.14
216,92.64,01:32.15
217,92.61,01:32.16
218,92.57,01:32.17
219,92.54,01:32.18
220,92.50,01:32.19
221,92.46,01:32.20
222,92.43,01:32.21
223,92.39,01:32.22
224,92.36,01:32.23
225,92.32,01:32.24
226,92.28,01:32.25
227,92.25,01:32.26
228,92.21,01:32.27
229,92.17,01:32.28
230,92.14,01:32.29
231,92.10,01:32.30
232,92.07,01:32.31
233,92.03,01:32.32
234,91.99,01:32.33
235,91.96,01:32.34
236,91.92,01:32.35
237,91.88,01:32.36
238,91.85,01:32.37
239,91.81,01:32.38
240,91.78,01:32.39
241,91.74,01:32.40
242,91.70,01:32.41
243,91.67,01:32.42
244,91.63,01:32.43
245,91.59,01:32.44
246,91.56,01:32.45
247,91.52,01:32.46
248,91.49,01:32.47
249,91.45,01:32.48
250,91.41,01:32.49
251,91.38,01:32.50
252,91.34,01:32.51
253,91.30,01:32.52
254,91.27,01:32.53
255,91.23,01:32.54
256,91.20,01:32.55
257,91.16,01:32.56
258,91.12,01:32.57
259,91.09,01:32.58
260,91.05,01:32.59
261,91.01,01:32.60
262,90.98,01:32.61
263,90.94,01:32.62
264,90.91,01:32.63
265,90.87,01:32.64
266,90.83,01:32.65
267,90.80,01:32.66
268,90.76,01:32.67
269,90.72,01:32.68
270,90.69,01:32.69
271,90.65,01:32.70
272,90.62,01:32.71
273,90.58,01:32.72
274,90.54,01:32.73
275,90.51,01:32.74
276,90.47,01:32.75
277,90.43,01:32.76
278,90.40,01:32.77
