sequence_number,score,value
1,93.69,01:23.40
2,93.66,01:23.41
3,93.63,01:23.42
4,93.59,01:23.43
5,93.56,01:23.44
6,93.53,01:23.45
7,93.50,01:23.46
8,93.47,01:23.47
9,93.44,01:23.48
10,93.41,01:23.49
11,93.38,01:23.50
12,93.34,01:23.51
13,93.31,01:23.52
14,93.28,01:23.53
15,93.25,01:23.54
16,93.22,01:23.55
17,93.19,01:23.56
18,93.16,01:23.57
19,93.13,01:23.58
20,93.09,01:23.59
21,93.06,01:23.60
22,93.03,01:23.61
23,93.00,01:23.62
24,92.97,01:23.63
25,92.94,01:23.64
26,92.91,01:23.65
27,92.88,01:23.66
28,92.84,01:23.67
29,92.81,01:23.68
30,92.78,01:23.69
31,92.75,01:23.70
32,92.72,01:23.71
33,92.69,01:23.72
34,92.66,01:23.73
35,92.63,01:23.74
36,92.59,01:23.75
37,92.56,01:23.76
38,92.53,01:23.77
39,92.50,01:23.78
40,92.47,01:23.79
41,92.44,01:23.80
42,92.41,01:23.81
43,92.39,01:23.82
44,92.36,01:23.83
45,92.33,01:23.84
46,92.30,01:23.85
47,92.27,01:23.86
48,92.24,01:23.87
49,92.22,01:23.88
50,92.19,01:23.89
51,92.16,01:23.90
52,92.13,01:23.91
53,92.10,01:23.92
54,92.07,01:23.93
55,92.05,01:23.94
56,92.02,01:23.95
57,91.99,01:23.96
58,91.96,01:23.97
59,91.93,01:23.98
60,91.90,01:23.99
61,91.88,01:24.00
62,91.85,01:24.01
63,91.82,01:24.02
64,91.79,01:24.03
65,91.76,01:24.04
66,91.73,01:24.05
67,91.70,01:24.06
68,91.68,01:24.07
69,91.65,01:24.08
70,91.62,01:24.09
71,91.59,01:24.10
72,91.56,01:24.11
73,91.53,01:24.12
74,91.51,01:24.13
75,91.48,01:24.14
76,91.45,01:24.15
77,91.42,01:24.16
78,91.39,01:24.17
79,91.36,01:24.18
80,91.34,01:24.19
81,91.31,01:24.20
82,91.28,01:24.21
83,91.25,01:24.22
84,91.22,01:24.23
85,91.19,01:24.24
86,91.16,01:24.25
87,91.14,01:24.26
88,91.11,01:24.27
89,91.08,01:24.28
90,91.05,01:24.29
91,91.02,01:24.30
92,90.99,01:24.31
93,90.97,01:24.32
94,90.94,01:24.33
95,90.91,01:24.34
96,90.88,01:24.35
97,90.85,01:24.36
98,90.82,01:24.37
99,90.80,01:24.38
100,90.77,01:24.39
101,90.74,01:24.40
102,90.71,01:24.41
103,90.68,01:24.42
104,90.65,01:24.43
105,90.63,01:24.44
106,90.60,01:24.45
107,90.57,01:24.46
108,90.54,01:24.47
109,90.51,01:24.48
110,90.48,01:24.49
111,90.45,01:24.50
112,90.43,01:24.51
113,90.40,01:24.52
114,90.37,01:24.53
115,90.34,01:24.54
116,90.31,01:24.55
117,90.28,01:24.56
118,90.26,01:24.57
119,90.23,01:24.58
120,90.20,01:24.59
121,90.17,01:24.60
122,90.14,01:24.61
123,90.11,01:24.62
124,90.09,01:24.63
125,90.06,01:24.64
126,90.03,01:24.65
127,90.00,01:24.66
128,89.97,01:24.67
129,89.94,01:24.68
130,89.91,01:24.69
131,89.88,01:24.70
132,89.85,01:24.71
133,89.82,01:24.72
134,89.79,01:24.73
135,89.76,01:24.74
136,89.74,01:24.75
137,89.71,01:24.76
138,89.68,01:24.77
139,89.65,01:24.78
140,89.62,01:24.79
141,89.59,01:24.80
142,89.56,01:24.81
143,89.53,01:24.82
144,89.50,01:24.83
145,89.47,01:24.84
146,89.44,01:24.85
147,89.41,01:24.86
148,89.38,01:24.87
149,89.35,01:24.88
150,89.32,01:24.89
151,89.29,01:24.90
152,89.26,01:24.91
153,89.24,01:24.92
154,89.21,01:24.93
155,89.18,01:24.94
156,89.15,01:24.95
157,89.12,01:24.96
158,89.09,01:24.97
159,89.06,01:24.98
160,89.03,01:24.99
161,89.00,01:25.00
162,88.97,01:25.01
163,88.94,01:25.02
164,88.91,01:25.03
165,88.88,01:25.04
166,88.85,01:25.05
167,88.82,01:25.06
168,88.79,01:25.07
169,88.76,01:25.08
170,88.74,01:25.09
171,88.71,01:25.10
172,88.68,01:25.11
173,88.65,01:25.12
174,88.62,01:25.13
175,88.59,01:25.14
176,88.56,01:25.15
177,88.53,01:25.16
178,88.50,01:25.17
179,88.47,01:25.18
180,88.44,01:25.19
181,88.41,01:25.20
182,88.38,01:25.21
183,88.35,01:25.22
184,88.32,01:25.23
185,88.29,01:25.24
186,88.26,01:25.25
187,88.24,01:25.26
188,88.21,01:25.27
189,88.18,01:25.28
190,88.15,01:25.29
191,88.12,01:25.30
192,88.09,01:25.31
193,88.06,01:25.32
194,88.03,01:25.33
195,88.00,01:25.34
196,87.97,01:25.35
197,87.94,01:25.36
198,87.91,01:25.37
199,87.88,01:25.38
200,87.85,01:25.39
201,87.82,01:25.40
202,87.79,01:25.41
203,87.76,01:25.42
204,87.74,01:25.43
205,87.71,01:25.44
206,87.68,01:25.45
207,87.65,01:25.46
208,87.62,01:25.47
209,87.59,01:25.48
210,87.56,01:25.49
211,87.53,01:25.50
212,87.50,01:25.51
213,87.47,01:25.52
214,87.44,01:25.53
215,87.41,01:25.54
216,87.38,01:25.55
217,87.35,01:25.56
218,87.32,01:25.57
219,87.29,01:25.58
220,87.26,01:25.59
221,87.23,01:25.60
222,87.20,01:25.61
223,87.17,01:25.62
224,87.14,01:25.63
225,87.11,01:25.64
226,87.08,01:25.65
227,87.05,01:25.66
228,87.02,01:25.67
229,86.99,01:25.68
230,86.96,01:25.69
231,86.93,01:25.70
232,86.90,01:25.71
233,86.87,01:25.72
234,86.84,01:25.73
235,86.81,01:25.74
236,86.78,01:25.75
237,86.75,01:25.76
238,86.72,01:25.77
239,86.69,01:25.78
240,86.66,01:25.79
241,79.08,01:28.20
242,79.05,01:28.21
243,79.01,01:28.22
244,78.98,01:28.23
245,78.95,01:28.24
246,78.91,01:28.25
247,78.88,01:28.26
248,78.85,01:28.27
249,78.82,01:28.28
250,78.78,01:28.29
251,78.75,01:28.30
252,78.72,01:28.31
253,78.68,01:28.32
254,78.65,01:28.33
255,78.62,01:28.34
256,78.59,01:28.35
257,78.55,01:28.36
258,78.52,01:28.37
259,78.49,01:28.38
260,78.45,01:28.39
261,78.42,01:28.40
262,78.39,01:28.41
263,78.36,01:28.42
264,78.32,01:28.43
265,78.29,01:28.44
266,78.26,01:28.45
267,78.22,01:28.46
268,78.19,01:28.47
269,78.16,01:28.48
270,78.12,01:28.49
271,78.09,01:28.50
272,78.06,01:28.51
273,78.03,01:28.52
274,77.99,01:28.53
275,77.96,01:28.54
276,77.93,01:28.55
277,77.89,01:28.56
278,77.86,01:28.57
279,77.83,01:28.58
280,77.80,01:28.59
281,77.76,01:28.60
282,77.73,01:28.61
283,77.70,01:28.62
284,77.66,01:28.63
285,77.63,01:28.64
286,77.60,01:28.65
287,77.57,01:28.66
288,77.53,01:28.67
289,77.50,01:28.68
290,77.47,01:28.69
291,77.43,01:28.70
292,77.40,01:28.71
293,77.36,01:28.72
294,77.33,01:28.73
295,77.29,01:28.74
296,77.26,01:28.75
297,77.23,01:28.76
298,77.19,01:28.77
299,77.16,01:28.78
300,77.12,01:28.79
301,77.09,01:28.80
302,77.05,01:28.81
303,77.02,01:28.82
304,76.99,01:28.83
305,76.95,01:28.84
306,76.92,01:28.85
307,76.88,01:28.86
308,76.85,01:28.87
309,76.82,01:28.88
310,76.78,01:28.89
311,76.75,01:28.90
312,76.71,01:28.91
313,76.68,01:28.92
314,76.64,01:28.93
315,76.61,01:28.94
316,76.58,01:28.95
317,76.54,01:28.96
318,76.51,01:28.97
319,76.47,01:28.98
320,76.44,01:28.99
321,76.40,01:29.00
322,76.37,01:29.01
323,76.34,01:29.02
324,76.30,01:29.03
325,76.27,01:29.04
326,76.23,01:29.05
327,76.20,01:29.06
328,76.16,01:29.07
329,76.13,01:29.08
330,76.10,01:29.09
331,76.06,01:29.10
332,76.03,01:29.11
333,75.99,01:29.12
334,75.96,01:29.13
335,75.92,01:29.14
336,75.89,01:29.15
337,75.86,01:29.16
338,75.82,01:29.17
339,75.79,01:29.18
340,75.75,01:29.19
341,75.72,01:29.20
342,75.68,01:29.21
343,75.65,01:29.22
344,75.62,01:29.23
345,75.58,01:29.24
346,75.55,01:29.25
347,75.51,01:29.26
348,75.48,01:29.27
