sequence_number,score,value
1,100.00,01:06.00
2,99.97,01:06.01
3,99.94,01:06.02
4,99.91,01:06.03
5,99.88,01:06.04
6,99.85,01:06.05
7,99.82,01:06.06
8,99.79,01:06.07
9,99.76,01:06.08
10,99.74,01:06.09
11,99.71,01:06.10
12,99.68,01:06.11
13,99.65,01:06.12
14,99.62,01:06.13
15,99.59,01:06.14
16,99.56,01:06.15
17,99.53,01:06.16
18,99.50,01:06.17
19,99.47,01:06.18
20,99.44,01:06.19
21,99.41,01:06.20
22,99.38,01:06.21
23,99.35,01:06.22
24,99.32,01:06.23
25,99.29,01:06.24
26,99.26,01:06.25
27,99.24,01:06.26
28,99.21,01:06.27
29,99.18,01:06.28
30,99.15,01:06.29
31,99.12,01:06.30
32,99.09,01:06.31
33,99.06,01:06.32
34,99.03,01:06.33
35,99.00,01:06.34
36,98.97,01:06.35
37,98.94,01:06.36
38,98.91,01:06.37
39,98.88,01:06.38
40,98.85,01:06.39
41,98.82,01:06.40
42,98.79,01:06.41
43,98.76,01:06.42
44,98.74,01:06.43
45,98.71,01:06.44
46,98.68,01:06.45
47,98.65,01:06.46
48,98.62,01:06.47
49,98.59,01:06.48
50,98.56,01:06.49
51,98.53,01:06.50
52,98.50,01:06.51
53,98.47,01:06.52
54,98.44,01:06.53
55,98.41,01:06.54
56,98.38,01:06.55
57,98.35,01:06.56
58,98.32,01:06.57
59,98.29,01:06.58
60,98.26,01:06.59
61,98.24,01:06.60
62,98.21,01:06.61
63,98.18,01:06.62
64,98.15,01:06.63
65,98.12,01:06.64
66,98.09,01:06.65
67,98.06,01:06.66
68,98.03,01:06.67
69,98.00,01:06.68
70,97.97,01:06.69
71,97.94,01:06.70
72,97.91,01:06.71
73,97.88,01:06.72
74,97.85,01:06.73
75,97.82,01:06.74
76,97.79,01:06.75
77,97.76,01:06.76
78,97.74,01:06.77
79,97.71,01:06.78
80,97.68,01:06.79
81,97.65,01:06.80
82,97.62,01:06.81
83,97.59,01:06.82
84,97.56,01:06.83
85,97.53,01:06.84
86,97.50,01:06.85
87,97.47,01:06.86
88,97.44,01:06.87
89,97.41,01:06.88
90,97.38,01:06.89
91,97.35,01:06.90
92,97.32,01:06.91
93,97.29,01:06.92
94,97.26,01:06.93
95,97.23,01:06.94
96,97.20,01:06.95
97,97.17,01:06.96
98,97.14,01:06.97
99,97.11,01:06.98
100,97.08,01:06.99
101,97.05,01:07.00
102,97.02,01:07.01
103,96.99,01:07.02
104,96.96,01:07.03
105,96.93,01:07.04
106,96.90,01:07.05
107,96.87,01:07.06
108,96.84,01:07.07
109,96.81,01:07.08
110,96.78,01:07.09
111,96.75,01:07.10
112,96.72,01:07.11
113,96.69,01:07.12
114,96.66,01:07.13
115,96.63,01:07.14
116,96.60,01:07.15
117,96.57,01:07.16
118,96.54,01:07.17
119,96.51,01:07.18
120,96.48,01:07.19
121,96.45,01:07.20
122,96.42,01:07.21
123,96.39,01:07.22
124,96.36,01:07.23
125,96.33,01:07.24
126,96.30,01:07.25
127,96.27,01:07.26
128,96.23,01:07.27
129,96.20,01:07.28
130,96.17,01:07.29
131,96.14,01:07.30
132,96.11,01:07.31
133,96.08,01:07.32
134,96.05,01:07.33
135,96.02,01:07.34
136,95.99,01:07.35
137,95.96,01:07.36
138,95.93,01:07.37
139,95.90,01:07.38
140,95.87,01:07.39
141,95.84,01:07.40
142,95.81,01:07.41
143,95.78,01:07.42
144,95.75,01:07.43
145,95.72,01:07.44
146,95.69,01:07.45
147,95.66,01:07.46
148,95.63,01:07.47
149,95.60,01:07.48
150,95.57,01:07.49
151,95.54,01:07.50
152,95.51,01:07.51
153,95.48,01:07.52
154,95.45,01:07.53
155,95.42,01:07.54
156,95.39,01:07.55
157,95.36,01:07.56
158,95.33,01:07.57
159,95.30,01:07.58
160,95.27,01:07.59
161,95.24,01:07.60
162,95.21,01:07.61
163,95.18,01:07.62
164,95.15,01:07.63
165,95.12,01:07.64
166,95.09,01:07.65
167,95.06,01:07.66
168,95.03,01:07.67
169,95.00,01:07.68
170,94.97,01:07.69
171,94.94,01:07.70
172,94.91,01:07.71
173,94.88,01:07.72
174,94.85,01:07.73
175,94.81,01:07.74
176,94.78,01:07.75
177,94.75,01:07.76
178,94.72,01:07.77
179,94.69,01:07.78
180,94.66,01:07.79
181,94.63,01:07.80
182,94.60,01:07.81
183,94.57,01:07.82
184,94.54,01:07.83
185,94.51,01:07.84
186,94.48,01:07.85
187,94.44,01:07.86
188,94.41,01:07.87
189,94.38,01:07.88
190,94.35,01:07.89
191,94.32,01:07.90
192,94.29,01:07.91
193,94.26,01:07.92
194,94.23,01:07.93
195,94.20,01:07.94
196,94.17,01:07.95
197,94.14,01:07.96
198,94.10,01:07.97
199,94.07,01:07.98
200,94.04,01:07.99
201,94.01,01:08.00
202,93.98,01:08.01
203,93.95,01:08.02
204,93.92,01:08.03
205,93.89,01:08.04
206,93.86,01:08.05
207,93.83,01:08.06
208,93.80,01:08.07
209,93.77,01:08.08
210,93.73,01:08.09
211,93.70,01:08.10
212,93.67,01:08.11
