sequence_number,score,value
1,100.00,01:15.00
2,99.97,01:15.01
3,99.94,01:15.02
4,99.91,01:15.03
5,99.88,01:15.04
6,99.84,01:15.05
7,99.81,01:15.06
8,99.78,01:15.07
9,99.75,01:15.08
10,99.72,01:15.09
11,99.69,01:15.10
12,99.66,01:15.11
13,99.63,01:15.12
14,99.59,01:15.13
15,99.56,01:15.14
16,99.53,01:15.15
17,99.50,01:15.16
18,99.47,01:15.17
19,99.44,01:15.18
20,99.41,01:15.19
21,99.38,01:15.20
22,99.34,01:15.21
23,99.31,01:15.22
24,99.28,01:15.23
25,99.25,01:15.24
26,99.22,01:15.25
27,99.19,01:15.26
28,99.16,01:15.27
29,99.13,01:15.28
30,99.09,01:15.29
31,99.06,01:15.30
32,99.03,01:15.31
33,99.00,01:15.32
34,98.97,01:15.33
35,98.94,01:15.34
36,98.91,01:15.35
37,98.88,01:15.36
38,98.84,01:15.37
39,98.81,01:15.38
40,98.78,01:15.39
41,98.75,01:15.40
42,98.72,01:15.41
43,98.69,01:15.42
44,98.66,01:15.43
45,98.63,01:15.44
46,98.59,01:15.45
47,98.56,01:15.46
48,98.53,01:15.47
49,98.50,01:15.48
50,98.47,01:15.49
51,98.44,01:15.50
52,98.41,01:15.51
53,98.38,01:15.52
54,98.34,01:15.53
55,98.31,01:15.54
56,98.28,01:15.55
57,98.25,01:15.56
58,98.22,01:15.57
59,98.19,01:15.58
60,98.16,01:15.59
61,98.13,01:15.60
62,98.09,01:15.61
63,98.06,01:15.62
64,98.03,01:15.63
65,98.00,01:15.64
66,97.97,01:15.65
67,97.94,01:15.66
68,97.91,01:15.67
69,97.88,01:15.68
70,97.84,01:15.69
71,97.81,01:15.70
72,97.78,01:15.71
73,97.75,01:15.72
74,97.72,01:15.73
75,97.69,01:15.74
76,97.66,01:15.75
77,97.63,01:15.76
78,97.59,01:15.77
79,97.56,01:15.78
80,97.53,01:15.79
81,97.50,01:15.80
82,97.47,01:15.81
83,97.44,01:15.82
84,97.40,01:15.83
85,97.37,01:15.84
86,97.34,01:15.85
87,97.31,01:15.86
88,97.28,01:15.87
89,97.24,01:15.88
90,97.21,01:15.89
91,97.18,01:15.90
92,97.15,01:15.91
93,97.12,01:15.92
94,97.08,01:15.93
95,97.05,01:15.94
96,97.02,01:15.95
97,96.99,01:15.96
98,96.96,01:15.97
99,96.92,01:15.98
100,96.89,01:15.99
101,96.86,01:16.00
102,96.83,01:16.01
103,96.79,01:16.02
104,96.76,01:16.03
105,96.73,01:16.04
106,96.70,01:16.05
107,96.67,01:16.06
108,96.63,01:16.07
109,96.60,01:16.08
110,96.57,01:16.09
111,96.54,01:16.10
112,96.51,01:16.11
113,96.47,01:16.12
114,96.44,01:16.13
115,96.41,01:16.14
116,96.38,01:16.15
117,96.35,01:16.16
118,96.31,01:16.17
119,96.28,01:16.18
120,96.25,01:16.19
121,96.22,01:16.20
122,96.19,01:16.21
123,96.15,01:16.22
124,96.12,01:16.23
