sequence_number,score,value
1,100.00,01:21.00
2,99.96,01:21.01
3,99.93,01:21.02
4,99.89,01:21.03
5,99.86,01:21.04
6,99.82,01:21.05
7,99.79,01:21.06
8,99.75,01:21.07
9,99.71,01:21.08
10,99.68,01:21.09
11,99.64,01:21.10
12,99.61,01:21.11
13,99.57,01:21.12
14,99.54,01:21.13
15,99.50,01:21.14
16,99.46,01:21.15
17,99.43,01:21.16
18,99.39,01:21.17
19,99.36,01:21.18
20,99.32,01:21.19
21,99.29,01:21.20
22,99.25,01:21.21
23,99.21,01:21.22
24,99.18,01:21.23
25,99.14,01:21.24
26,99.11,01:21.25
27,99.07,01:21.26
28,99.04,01:21.27
29,99.00,01:21.28
30,98.96,01:21.29
31,98.93,01:21.30
32,98.89,01:21.31
33,98.86,01:21.32
34,98.82,01:21.33
35,98.79,01:21.34
36,98.75,01:21.35
37,98.71,01:21.36
38,98.68,01:21.37
39,98.64,01:21.38
40,98.61,01:21.39
41,98.57,01:21.40
42,98.54,01:21.41
43,98.50,01:21.42
44,98.46,01:21.43
45,98.43,01:21.44
46,98.39,01:21.45
47,98.36,01:21.46
48,98.32,01:21.47
49,98.29,01:21.48
50,98.25,01:21.49
51,98.21,01:21.50
52,98.18,01:21.51
53,98.14,01:21.52
54,98.11,01:21.53
55,98.07,01:21.54
56,98.04,01:21.55
57,98.00,01:21.56
58,97.96,01:21.57
59,97.93,01:21.58
60,97.89,01:21.59
61,97.86,01:21.60
62,97.82,01:21.61
63,97.79,01:21.62
64,97.75,01:21.63
65,97.71,01:21.64
66,97.68,01:21.65
67,97.64,01:21.66
68,97.61,01:21.67
69,97.57,01:21.68
70,97.54,01:21.69
71,97.50,01:21.70
72,97.46,01:21.71
73,97.43,01:21.72
74,97.39,01:21.73
75,97.35,01:21.74
76,97.32,01:21.75
77,97.28,01:21.76
78,97.24,01:21.77
79,97.21,01:21.78
80,97.17,01:21.79
81,97.13,01:21.80
82,97.10,01:21.81
83,97.06,01:21.82
84,97.02,01:21.83
85,96.99,01:21.84
86,96.95,01:21.85
87,96.91,01:21.86
88,96.87,01:21.87
89,96.84,01:21.88
90,96.80,01:21.89
91,96.76,01:21.90
92,96.73,01:21.91
93,96.69,01:21.92
94,96.65,01:21.93
95,96.62,01:21.94
96,96.58,01:21.95
97,96.54,01:21.96
98,96.51,01:21.97
99,96.47,01:21.98
100,96.43,01:21.99
101,96.40,01:22.00
102,96.36,01:22.01
103,96.32,01:22.02
104,96.29,01:22.03
105,96.25,01:22.04
106,96.21,01:22.05
107,96.18,01:22.06
108,96.14,01:22.07
109,96.10,01:22.08
110,96.07,01:22.09
111,96.03,01:22.10
112,95.99,01:22.11
113,95.96,01:22.12
114,95.92,01:22.13
115,95.88,01:22.14
116,95.85,01:22.15
117,95.81,01:22.16
118,95.77,01:22.17
119,95.74,01:22.18
120,95.70,01:22.19
121,95.66,01:22.20
122,95.62,01:22.21
123,95.59,01:22.22
124,95.55,01:22.23
125,95.51,01:22.24
126,95.48,01:22.25
127,95.44,01:22.26
128,95.40,01:22.27
129,95.37,01:22.28
130,95.33,01:22.29
131,95.29,01:22.30
132,95.26,01:22.31
133,95.22,01:22.32
134,95.18,01:22.33
135,95.15,01:22.34
136,95.11,01:22.35
137,95.07,01:22.36
138,95.04,01:22.37
139,95.00,01:22.38
140,94.96,01:22.39
141,94.92,01:22.40
142,94.89,01:22.41
143,94.85,01:22.42
144,94.81,01:22.43
145,94.77,01:22.44
146,94.73,01:22.45
147,94.70,01:22.46
148,94.66,01:22.47
149,94.62,01:22.48
150,94.58,01:22.49
151,94.55,01:22.50
152,94.51,01:22.51
153,94.47,01:22.52
154,94.43,01:22.53
155,94.39,01:22.54
156,94.36,01:22.55
157,94.32,01:22.56
158,94.28,01:22.57
159,94.24,01:22.58
160,94.20,01:22.59
161,94.17,01:22.60
162,94.13,01:22.61
163,94.09,01:22.62
164,94.05,01:22.63
165,94.02,01:22.64
166,93.98,01:22.65
167,93.94,01:22.66
168,93.90,01:22.67
169,93.86,01:22.68
170,93.83,01:22.69
171,93.79,01:22.70
172,93.75,01:22.71
173,93.71,01:22.72
174,93.67,01:22.73
175,93.64,01:22.74
176,93.60,01:22.75
177,93.56,01:22.76
178,93.52,01:22.77
179,93.48,01:22.78
180,93.45,01:22.79
181,93.41,01:22.80
