sequence_number,score,value
1,100.00,01:12.00
2,99.97,01:12.01
3,99.94,01:12.02
4,99.92,01:12.03
5,99.89,01:12.04
6,99.86,01:12.05
7,99.83,01:12.06
8,99.81,01:12.07
9,99.78,01:12.08
10,99.75,01:12.09
11,99.72,01:12.10
12,99.69,01:12.11
13,99.67,01:12.12
14,99.64,01:12.13
15,99.61,01:12.14
16,99.58,01:12.15
17,99.56,01:12.16
18,99.53,01:12.17
19,99.50,01:12.18
20,99.47,01:12.19
21,99.44,01:12.20
22,99.42,01:12.21
23,99.39,01:12.22
24,99.36,01:12.23
25,99.33,01:12.24
26,99.31,01:12.25
27,99.28,01:12.26
28,99.25,01:12.27
29,99.22,01:12.28
30,99.19,01:12.29
31,99.17,01:12.30
32,99.14,01:12.31
33,99.11,01:12.32
34,99.08,01:12.33
35,99.06,01:12.34
36,99.03,01:12.35
37,99.00,01:12.36
38,98.97,01:12.37
39,98.94,01:12.38
40,98.92,01:12.39
41,98.89,01:12.40
42,98.86,01:12.41
43,98.83,01:12.42
44,98.81,01:12.43
45,98.78,01:12.44
46,98.75,01:12.45
47,98.72,01:12.46
48,98.69,01:12.47
49,98.67,01:12.48
50,98.64,01:12.49
51,98.61,01:12.50
52,98.58,01:12.51
53,98.56,01:12.52
54,98.53,01:12.53
55,98.50,01:12.54
56,98.47,01:12.55
57,98.44,01:12.56
58,98.42,01:12.57
59,98.39,01:12.58
60,98.36,01:12.59
61,98.33,01:12.60
62,98.31,01:12.61
63,98.28,01:12.62
64,98.25,01:12.63
65,98.22,01:12.64
66,98.19,01:12.65
67,98.17,01:12.66
68,98.14,01:12.67
69,98.11,01:12.68
70,98.08,01:12.69
71,98.06,01:12.70
72,98.03,01:12.71
73,98.00,01:12.72
74,97.97,01:12.73
75,97.94,01:12.74
76,97.92,01:12.75
77,97.89,01:12.76
78,97.86,01:12.77
79,97.83,01:12.78
80,97.81,01:12.79
81,97.78,01:12.80
82,97.75,01:12.81
83,97.72,01:12.82
84,97.69,01:12.83
85,97.67,01:12.84
86,97.64,01:12.85
87,97.61,01:12.86
88,97.58,01:12.87
89,97.56,01:12.88
90,97.53,01:12.89
91,97.50,01:12.90
92,97.47,01:12.91
93,97.44,01:12.92
94,97.41,01:12.93
95,97.39,01:12.94
96,97.36,01:12.95
97,97.33,01:12.96
98,97.30,01:12.97
99,97.27,01:12.98
100,97.24,01:12.99
101,97.22,01:13.00
102,97.19,01:13.01
103,97.16,01:13.02
104,97.13,01:13.03
105,97.10,01:13.04
106,97.07,01:13.05
107,97.05,01:13.06
108,97.02,01:13.07
109,96.99,01:13.08
110,96.96,01:13.09
111,96.93,01:13.10
112,96.90,01:13.11
113,96.88,01:13.12
114,96.85,01:13.13
115,96.82,01:13.14
116,96.79,01:13.15
117,96.76,01:13.16
118,96.73,01:13.17
119,96.70,01:13.18
120,96.68,01:13.19
121,96.65,01:13.20
122,96.62,01:13.21
123,96.59,01:13.22
124,96.56,01:13.23
125,96.53,01:13.24
126,96.51,01:13.25
127,96.48,01:13.26
128,96.45,01:13.27
129,96.42,01:13.28
130,96.39,01:13.29
131,96.36,01:13.30
132,96.34,01:13.31
133,96.31,01:13.32
134,96.28,01:13.33
135,96.25,01:13.34
136,96.22,01:13.35
137,96.19,01:13.36
138,96.16,01:13.37
139,96.14,01:13.38
140,96.11,01:13.39
141,96.08,01:13.40
142,96.05,01:13.41
143,96.02,01:13.42
144,95.99,01:13.43
145,95.97,01:13.44
146,95.94,01:13.45
147,95.91,01:13.46
148,95.88,01:13.47
149,95.85,01:13.48
150,95.82,01:13.49
151,95.80,01:13.50
152,95.77,01:13.51
153,95.74,01:13.52
154,95.71,01:13.53
155,95.68,01:13.54
156,95.65,01:13.55
157,95.63,01:13.56
158,95.60,01:13.57
159,95.57,01:13.58
160,95.54,01:13.59
161,95.51,01:13.60
162,95.48,01:13.61
163,95.45,01:13.62
164,95.43,01:13.63
165,95.40,01:13.64
166,95.37,01:13.65
167,95.34,01:13.66
168,95.31,01:13.67
169,95.28,01:13.68
170,95.26,01:13.69
171,95.23,01:13.70
172,95.20,01:13.71
173,95.17,01:13.72
174,95.14,01:13.73
175,95.11,01:13.74
176,95.09,01:13.75
177,95.06,01:13.76
178,95.03,01:13.77
179,95.00,01:13.78
180,94.97,01:13.79
181,94.94,01:13.80
182,94.91,01:13.81
183,94.88,01:13.82
184,94.85,01:13.83
185,94.82,01:13.84
186,94.79,01:13.85
187,94.76,01:13.86
188,94.74,01:13.87
189,94.71,01:13.88
190,94.68,01:13.89
191,94.65,01:13.90
192,94.62,01:13.91
193,94.59,01:13.92
194,94.56,01:13.93
