sequence_number,score,value
1,0.31,1
2,0.62,2
3,0.92,3
4,1.23,4
5,1.54,5
6,1.85,6
7,2.15,7
8,2.46,8
9,2.77,9
10,3.07,10
11,3.38,11
12,3.69,12
13,4.00,13
14,4.30,14
15,4.62,15
16,4.92,16
17,5.23,17
18,5.54,18
19,5.85,19
20,6.15,20
21,6.46,21
22,6.77,22
23,7.08,23
24,7.38,24
25,7.69,25
26,8.00,26
27,8.31,27
28,8.62,28
29,8.92,29
30,9.23,30
31,9.54,31
32,9.85,32
33,10.15,33
34,10.46,34
35,10.77,35
36,11.08,36
37,11.38,37
38,11.69,38
39,12.00,39
40,12.31,40
41,12.62,41
42,12.92,42
43,13.23,43
44,13.54,44
45,13.85,45
46,14.15,46
47,14.46,47
48,14.77,48
49,15.08,49
50,15.38,50
51,15.69,51
52,16.00,52
53,16.31,53
54,16.62,54
55,16.92,55
56,17.23,56
57,17.54,57
58,17.85,58
59,18.15,59
60,18.46,60
61,18.77,61
62,19.08,62
63,19.38,63
64,19.69,64
65,20.00,65
