sequence_number,score,value
1,0.29,1
2,0.57,2
3,0.86,3
4,1.14,4
5,1.43,5
6,1.71,6
7,2.00,7
8,2.29,8
9,2.57,9
10,2.86,10
11,3.14,11
12,3.43,12
13,3.71,13
14,4.00,14
15,4.29,15
16,4.75,16
17,4.86,17
18,5.14,18
19,5.43,19
20,5.71,20
21,6.00,21
22,6.29,22
23,6.57,23
24,6.86,24
25,7.14,25
26,7.43,26
27,7.71,27
28,8.00,28
29,8.29,29
30,8.57,30
31,8.86,31
32,9.14,32
33,9.43,33
34,9.71,34
35,10.00,35
36,10.29,36
37,10.57,37
38,10.86,38
39,11.14,39
40,11.43,40
41,11.71,41
42,12.00,42
43,12.29,43
44,12.57,44
45,12.86,45
46,13.14,46
47,13.43,47
48,13.71,48
49,14.00,49
50,14.29,50
51,14.57,51
52,14.86,52
53,15.14,53
54,15.43,54
55,15.71,55
56,16.00,56
57,16.29,57
58,16.57,58
59,16.86,59
60,17.14,60
61,17.43,61
62,17.71,62
63,18.00,63
64,18.29,64
65,18.57,65
66,18.86,66
67,19.14,67
68,19.43,68
69,19.71,69
70,20.00,70
