sequence_number,score,value
1,4,1
2,2,1
3,30,2
4,7,2
5,5,2
6,4,2
7,3,2
8,2,2
9,6,3
10,4,3
11,8,4
12,5,4
13,4,4
14,2,4
15,1,4
16,8,5
17,7,5
18,6,5
19,2,5
20,29,6
21,8,6
22,7,6
23,5,6
24,3,6
25,1,6
26,8,7
27,36,8
28,34,8
29,32,8
30,28,8
31,27,8
32,23,8
33,19,8
34,18,8
35,5,8
36,4,8
37,3,8
38,1,8
39,10,9
40,5,15
41,17,17
42,1,18
43,1,19
44,1,20
45,21,21
46,1,22
47,1,23
48,24,24
49,25,25
50,26,26
51,1,27
52,1,28
53,1,29
54,1,30
55,1,31
56,1,32
57,33,33
58,1,34
59,35,35
60,1,36
61,4,45
62,22,180
63,6,180
64,31,360
65,8,360
66,7,360
67,20,540
