Total pages to OCR: 47
  [001/47] 47s elapsed, ~0.02 p/s, ETA 2169s
  [002] NEW TABLE: 游泳辅项成绩评分标准(男子)
  [002/47] 159s elapsed, ~0.01 p/s, ETA 3575s
  [003/47] 258s elapsed, ~0.01 p/s, ETA 3790s
  [004/47] 371s elapsed, ~0.01 p/s, ETA 3992s
  [005/47] 491s elapsed, ~0.01 p/s, ETA 4127s
  [006/47] 603s elapsed, ~0.01 p/s, ETA 4122s
  [007/47] 748s elapsed, ~0.01 p/s, ETA 4272s
  [008/47] 900s elapsed, ~0.01 p/s, ETA 4388s
  [009/47] 1020s elapsed, ~0.01 p/s, ETA 4305s
  [010/47] 1127s elapsed, ~0.01 p/s, ETA 4169s
  [011/47] 1231s elapsed, ~0.01 p/s, ETA 4027s
  [012/47] 1425s elapsed, ~0.01 p/s, ETA 4156s
  [013/47] 1642s elapsed, ~0.01 p/s, ETA 4295s
  [014/47] 1728s elapsed, ~0.01 p/s, ETA 4074s
  [015/47] 1811s elapsed, ~0.01 p/s, ETA 3863s
  [016/47] 1894s elapsed, ~0.01 p/s, ETA 3669s
  [017/47] 1979s elapsed, ~0.01 p/s, ETA 3492s
  [018/47] 2067s elapsed, ~0.01 p/s, ETA 3331s
  [019/47] 2159s elapsed, ~0.01 p/s, ETA 3181s
  [020/47] 2250s elapsed, ~0.01 p/s, ETA 3037s
  [021/47] 2340s elapsed, ~0.01 p/s, ETA 2898s
  [022/47] 2431s elapsed, ~0.01 p/s, ETA 2762s
  [023/47] 2521s elapsed, ~0.01 p/s, ETA 2631s
  [024/47] 2567s elapsed, ~0.01 p/s, ETA 2460s
  [025] NEW TABLE: 游泳辅项成绩评分标准(女子)
  [025/47] 2658s elapsed, ~0.01 p/s, ETA 2339s
  [026/47] 2736s elapsed, ~0.01 p/s, ETA 2210s
  [027/47] 2825s elapsed, ~0.01 p/s, ETA 2093s
  [028/47] 2915s elapsed, ~0.01 p/s, ETA 1978s
  [029/47] 3005s elapsed, ~0.01 p/s, ETA 1865s
  [030/47] 3093s elapsed, ~0.01 p/s, ETA 1753s
  [031/47] 3175s elapsed, ~0.01 p/s, ETA 1639s
