sequence_number,score,value
1,2,2
2,3,5
3,100,15.65
4,99.78,15.66
5,99.56,15.67
6,99.34,15.68
7,99.12,15.69
8,98.9,15.7
9,98.68,15.71
10,98.46,15.72
11,98.24,15.73
12,98.02,15.74
13,97.8,15.75
14,97.58,15.76
15,97.36,15.77
16,97.14,15.78
17,96.92,15.79
18,96.7,15.8
19,96.48,15.81
20,96.26,15.82
21,96.04,15.83
22,95.82,15.84
23,95.6,15.85
24,95.38,15.86
25,95.16,15.87
26,94.94,15.88
27,94.72,15.89
28,94.5,15.9
29,94.28,15.91
30,94.06,15.92
31,93.84,15.93
32,93.62,15.94
33,93.4,15.95
34,93.18,15.96
35,92.96,15.97
36,92.74,15.98
37,92.52,15.99
38,92.3,16
39,92.08,16.01
40,91.86,16.02
41,91.64,16.03
42,91.42,16.04
43,91.2,16.05
44,90.98,16.06
45,90.76,16.07
46,90.54,16.08
47,90.32,16.09
48,90.1,16.1
49,89.95,16.11
50,89.80,16.12
51,89.65,16.13
52,89.5,16.14
53,89.35,16.15
54,89.20,16.16
55,89.05,16.17
56,88.9,16.18
57,88.75,16.19
58,88.60,16.2
59,88.45,16.21
60,88.3,16.22
61,88.15,16.23
62,88.00,16.24
63,87.85,16.25
64,87.7,16.26
65,87.55,16.27
66,87.40,16.28
67,87.25,16.29
68,86.95,16.31
69,86.80,16.32
70,86.65,16.33
71,86.5,16.34
72,86.35,16.35
73,86.20,16.36
74,86.05,16.37
75,85.9,16.38
76,85.75,16.39
77,85.60,16.4
78,85.45,16.41
79,85.3,16.42
80,85.15,16.43
81,85.00,16.44
82,84.85,16.45
83,84.7,16.46
84,84.55,16.47
85,84.40,16.48
86,84.25,16.49
87,84.1,16.5
88,83.95,16.51
89,83.80,16.52
90,83.65,16.53
91,83.5,16.54
92,83.35,16.55
93,83.20,16.56
94,83.05,16.57
95,82.9,16.58
96,82.75,16.59
97,82.60,16.6
98,82.45,16.61
99,82.3,16.62
100,82.15,16.63
101,82.00,16.64
102,81.85,16.65
103,81.7,16.66
104,81.55,16.67
105,81.40,16.68
106,81.25,16.69
107,81.1,16.7
108,80.95,16.71
109,80.80,16.72
110,80.5,16.74
111,80.35,16.75
112,80.20,16.76
113,80.05,16.77
114,79.9,16.78
115,79.75,16.79
116,79.60,16.8
117,79.45,16.81
118,79.3,16.82
119,79.15,16.83
120,79.00,16.84
121,78.85,16.85
122,78.7,16.86
123,78.55,16.87
124,78.40,16.88
125,78.25,16.89
126,78.1,16.9
127,77.95,16.91
128,77.80,16.92
129,77.65,16.93
130,77.5,16.94
131,77.35,16.95
132,77.20,16.96
133,77.05,16.97
134,76.9,16.98
135,76.75,16.99
136,76.60,17
137,76.45,17.01
138,76.3,17.02
139,76.15,17.03
140,76.00,17.04
141,75.85,17.05
142,75.7,17.06
143,75.55,17.07
144,75.40,17.08
145,75.25,17.09
146,75.1,17.1
147,74.95,17.11
148,74.80,17.12
149,74.65,17.13
150,74.5,17.14
151,74.35,17.15
152,74.05,17.17
153,73.9,17.18
154,73.75,17.19
155,73.60,17.2
156,73.45,17.21
157,73.3,17.22
158,73.15,17.23
159,73.00,17.24
160,72.85,17.25
161,72.7,17.26
162,72.55,17.27
163,72.40,17.28
164,72.25,17.29
165,72.1,17.3
166,71.95,17.31
167,71.80,17.32
168,71.65,17.33
169,71.5,17.34
170,71.35,17.35
171,71.20,17.36
172,71.05,17.37
173,70.9,17.38
174,70.75,17.39
175,70.60,17.4
176,70.45,17.41
177,70.3,17.42
178,70.15,17.43
179,70.00,17.44
180,69.9,17.45
181,69.8,17.46
182,69.7,17.47
183,69.6,17.48
184,69.5,17.49
185,69.4,17.5
186,69.3,17.51
187,69.2,17.52
188,69.1,17.53
189,69,17.54
190,68.9,17.55
191,68.8,17.56
192,68.7,17.57
193,68.6,17.58
194,68.4,17.6
195,68.3,17.61
196,68.2,17.62
197,68.1,17.63
198,68,17.64
199,67.9,17.65
200,67.8,17.66
201,67.7,17.67
202,67.6,17.68
203,67.5,17.69
204,67.4,17.7
205,67.3,17.71
206,67.2,17.72
207,67.1,17.73
208,67,17.74
209,66.9,17.75
210,66.8,17.76
211,66.7,17.77
212,66.6,17.78
213,66.5,17.79
214,66.4,17.8
215,66.3,17.81
216,66.2,17.82
217,66.1,17.83
218,66,17.84
219,65.9,17.85
220,65.8,17.86
221,65.7,17.87
222,65.6,17.88
223,65.5,17.89
224,65.4,17.9
225,65.3,17.91
226,65.2,17.92
227,65.1,17.93
228,65,17.94
229,64.9,17.95
230,64.8,17.96
231,64.7,17.97
232,64.6,17.98
233,64.5,17.99
234,64.4,18
235,64.3,18.01
236,64.1,18.03
237,64,18.04
238,63.9,18.05
239,63.8,18.06
240,63.7,18.07
241,63.6,18.08
242,63.5,18.09
243,63.4,18.1
244,63.3,18.11
245,63.2,18.12
246,63.1,18.13
247,63,18.14
248,62.9,18.15
249,62.8,18.16
250,62.7,18.17
251,62.6,18.18
252,62.5,18.19
253,62.4,18.2
254,62.3,18.21
255,62.2,18.22
256,62.1,18.23
257,62,18.24
258,61.9,18.25
259,61.8,18.26
260,61.7,18.27
261,61.6,18.28
262,61.5,18.29
263,61.4,18.3
264,61.3,18.31
265,61.2,18.32
266,61.1,18.33
267,61,18.34
268,60.9,18.35
269,60.8,18.36
270,60.7,18.37
271,60.6,18.38
272,60.5,18.39
273,60.4,18.4
274,60.3,18.41
275,60.2,18.42
276,60.1,18.43
277,60,18.44
278,59.9,18.45
279,59.8,18.46
280,59.7,18.47
281,59.6,18.48
282,59.5,18.49
283,59.4,18.5
284,59.3,18.51
285,59.2,18.52
286,59.1,18.53
287,59,18.54
288,58.9,18.55
289,58.8,18.56
290,58.7,18.57
291,58.6,18.58
292,58.5,18.59
293,58.4,18.6
294,58.3,18.61
295,58.2,18.62
296,58.1,18.63
297,58,18.64
298,57.9,18.65
299,57.8,18.66
300,57.7,18.67
301,57.6,18.68
302,57.5,18.69
303,57.4,18.7
304,57.3,18.71
305,57.2,18.72
306,57.1,18.73
307,57,18.74
308,56.9,18.75
309,56.8,18.76
310,56.7,18.77
311,56.6,18.78
312,56.5,18.79
313,56.4,18.8
314,56.3,18.81
315,56.2,18.82
316,56.1,18.83
317,56,18.84
318,55.9,18.85
319,55.8,18.86
320,55.7,18.87
321,55.5,18.89
322,55.4,18.9
323,55.3,18.91
324,55.2,18.92
325,55.1,18.93
326,55,18.94
327,54.9,18.95
328,54.8,18.96
329,54.7,18.97
330,54.6,18.98
331,54.5,18.99
332,54.4,19
333,54.3,19.01
334,54.2,19.02
335,54.1,19.03
336,54,19.04
337,53.9,19.05
338,53.8,19.06
339,53.7,19.07
340,53.6,19.08
341,53.5,19.09
342,53.4,19.1
343,53.3,19.11
344,53.2,19.12
345,53.1,19.13
346,53,19.14
347,52.9,19.15
348,52.8,19.16
349,52.7,19.17
350,52.6,19.18
351,52.5,19.19
352,52.4,19.2
353,52.3,19.21
354,52.2,19.22
355,52.1,19.23
356,52,19.24
357,51.9,19.25
358,51.8,19.26
359,51.7,19.27
360,51.6,19.28
361,51.5,19.29
362,51.4,19.3
363,0,19.31
364,51.2,19.32
365,51.1,19.33
366,51,19.34
367,50.9,19.35
368,50.8,19.36
369,50.7,19.37
370,50.6,19.38
371,50.5,19.39
372,50.4,19.4
373,50.3,19.41
374,50.2,19.42
375,50.1,19.43
376,50,19.44
377,49.9,19.45
378,49.8,19.46
379,49.7,19.47
380,49.6,19.48
381,49.5,19.49
382,49.4,19.5
383,49.3,19.51
384,49.2,19.52
385,49.1,19.53
386,49,19.54
387,48.9,19.55
388,48.8,19.56
389,48.7,19.57
390,48.6,19.58
391,48.5,19.59
392,48.4,19.6
393,48.3,19.61
394,48.2,19.62
395,48.1,19.63
396,48,19.64
397,47.9,19.65
