sequence_number,score,value
1,79.90,0
2,0,1
3,75.70,1.43
4,100.00,9.50
5,99.80,9.51
6,99.60,9.52
7,99.40,9.53
8,99.20,9.54
9,99.00,9.55
10,98.80,9.56
11,98.60,9.57
12,98.40,9.58
13,98.20,9.59
14,98.00,9.60
15,97.80,9.61
16,97.60,9.62
17,97.40,9.63
18,97.20,9.64
19,97.00,9.65
20,96.80,9.66
21,96.60,9.67
22,96.40,9.68
23,96.20,9.69
24,95.40,9.73
25,95.20,9.74
26,95.00,9.75
27,94.80,9.76
28,94.60,9.77
29,94.40,9.78
30,94.20,9.79
31,94.00,9.80
32,93.80,9.81
33,93.60,9.82
34,93.40,9.83
35,93.20,9.84
36,93.00,9.85
37,92.80,9.86
38,92.60,9.87
39,92.40,9.88
40,92.20,9.89
41,92.00,9.90
42,91.80,9.91
43,91.60,9.92
44,91.40,9.93
45,91.20,9.94
46,91.00,9.95
47,90.80,9.96
48,90.60,9.97
49,90.40,9.98
50,90.20,9.99
51,90.00,10.00
52,89.90,10.01
53,89.80,10.02
54,89.70,10.03
55,89.60,10.04
56,89.50,10.05
57,89.40,10.06
58,89.30,10.07
59,89.20,10.08
60,89.10,10.09
61,89.00,10.10
62,88.90,10.11
63,88.80,10.12
64,88.70,10.131
65,88.60,10.141
66,88.40,10.16
67,88.30,10.17
68,88.20,10.18
69,88.10,10.19
70,88.00,10.20
71,87.90,10.21
72,87.80,10.22
73,87.70,10.23
74,87.60,10.24
75,87.50,10.25
76,87.40,10.26
77,87.30,10.27
78,87.20,10.28
79,87.10,10.29
80,87.00,10.30
81,86.90,10.31
82,86.80,10.32
83,86.70,10.33
84,86.60,10.34
85,86.50,10.35
86,86.40,10.36
87,86.30,10.37
88,86.20,10.38
89,86.10,10.39
90,86.00,10.40
91,85.90,10.41
92,85.80,10.42
93,85.70,10.43
94,85.60,10.44
95,85.50,10.45
96,85.40,10.46
97,85.30,10.47
98,85.20,10.48
99,85.10,10.49
100,85.00,10.50
101,84.90,10.51
102,84.80,10.52
103,84.70,10.53
104,84.60,10.54
105,84.50,10.55
106,84.40,10.56
107,84.30,10.57
108,84.10,10.59
109,84.00,10.60
110,83.90,10.61
111,83.80,10.62
112,83.70,10.63
113,83.60,10.64
114,83.50,10.65
115,83.40,10.66
116,83.30,10.67
117,83.20,10.68
118,83.10,10.69
119,83.00,10.70
120,82.90,10.71
121,82.80,10.72
122,82.70,10.73
123,82.60,10.74
124,82.50,10.75
125,82.40,10.76
126,82.30,10.77
127,82.20,10.78
128,82.10,10.79
129,82.00,10.80
130,81.90,10.81
131,81.80,10.82
132,81.70,10.83
133,81.60,10.84
134,81.50,10.85
135,81.40,10.86
136,81.30,10.87
137,81.20,10.88
138,81.10,10.89
139,81.00,10.90
140,80.90,10.91
141,80.80,10.92
142,80.70,10.93
143,80.60,10.94
144,80.50,10.95
145,80.40,10.96
146,80.30,10.97
147,80.20,10.98
148,80.10,10.99
149,80.00,11.00
150,79.80,11.02
151,79.70,11.03
152,79.60,11.04
153,79.50,11.05
154,79.40,11.06
155,79.30,11.07
156,79.20,11.08
157,79.10,11.09
158,79.00,11.10
159,78.90,11.11
160,78.80,11.12
161,78.70,11.13
162,78.60,11.14
163,78.50,11.15
164,78.40,11.16
165,78.30,11.17
166,78.20,11.18
167,78.10,11.19
168,78.00,11.20
169,77.90,11.21
170,77.80,11.22
171,77.70,11.23
172,77.60,11.24
173,77.50,11.25
174,77.40,11.26
175,77.30,11.27
176,77.20,11.28
177,77.10,11.29
178,77.00,11.30
179,76.90,11.31
180,76.80,11.32
181,76.70,11.33
182,76.60,11.34
183,76.50,11.35
184,76.40,11.36
185,76.30,11.37
186,76.20,11.38
187,76.10,11.39
188,76.00,11.40
189,75.90,11.41
190,75.50,11.45
191,75.40,11.46
192,75.30,11.47
193,75.20,11.48
194,75.10,11.49
195,75.00,11.50
196,74.90,11.51
197,74.80,11.52
198,74.70,11.53
199,74.60,11.54
200,74.50,11.55
201,74.40,11.56
202,74.30,11.57
203,74.20,11.58
204,74.10,11.59
205,74.00,11.60
206,73.90,11.61
207,73.80,11.62
208,73.70,11.63
209,73.60,11.64
210,73.50,11.65
211,73.40,11.66
212,73.30,11.67
213,73.20,11.68
214,73.10,11.69
215,73.00,11.70
216,72.90,11.71
217,72.80,11.72
218,72.70,11.73
219,72.60,11.74
220,72.50,11.75
221,72.40,11.76
222,72.30,11.77
223,72.20,11.78
224,72.10,11.79
225,72.00,11.80
226,71.90,11.81
227,71.80,11.82
228,71.70,11.83
229,71.60,11.84
230,71.40,11.86
231,71.20,11.88
232,71.10,11.89
233,71.00,11.90
234,70.90,11.91
235,70.80,11.92
236,70.70,11.93
237,70.60,11.94
238,70.50,11.95
239,70.40,11.96
240,70.30,11.97
241,70.20,11.98
242,70.10,11.99
243,70.00,12.00
244,69.92,12.01
245,69.84,12.02
246,69.76,12.03
247,69.68,12.04
248,69.60,12.05
249,69.52,12.06
250,69.44,12.07
251,69.36,12.08
252,69.28,12.09
253,69.20,12.10
254,69.12,12.11
255,69.04,12.12
256,68.96,12.13
257,68.88,12.14
258,68.80,12.15
259,68.72,12.16
260,68.64,12.17
261,68.56,12.18
262,68.48,12.19
263,68.40,12.20
264,68.32,12.21
265,68.24,12.22
266,68.16,12.23
267,68.08,12.24
268,68.00,12.25
269,67.92,12.26
270,67.84,12.27
271,67.76,12.28
272,67.68,12.29
273,67.60,12.30
274,67.52,12.31
275,67.44,12.32
276,67.36,12.33
277,67.28,12.34
278,67.20,12.35
279,67.12,12.36
280,67.04,12.37
281,66.96,12.38
282,66.88,12.39
283,66.80,12.40
284,66.72,12.41
285,66.64,12.42
286,66.56,12.43
287,66.48,12.44
288,66.40,12.45
289,66.32,12.46
290,66.24,12.47
291,66.16,12.48
292,66.08,12.49
293,66.00,12.50
294,65.92,12.51
295,65.84,12.52
296,65.76,12.53
297,65.68,12.54
298,65.60,12.55
299,65.52,12.56
300,65.44,12.57
301,65.36,12.58
302,65.28,12.59
303,65.20,12.60
304,65.12,12.61
305,65.04,12.62
306,64.96,12.63
307,64.88,12.64
308,64.80,12.65
309,64.72,12.66
310,64.64,12.67
311,64.56,12.68
312,64.48,12.69
313,64.40,12.70
314,64.32,12.710
315,64.24,12.721
316,64.08,12.74
317,64.00,12.75
318,63.92,12.76
319,63.84,12.77
320,63.76,12.78
321,63.68,12.79
322,63.60,12.80
323,63.52,12.81
324,63.44,12.82
325,63.36,12.83
326,63.28,12.84
327,63.20,12.85
328,63.12,12.86
329,63.04,12.87
330,62.96,12.88
331,62.88,12.89
332,62.80,12.90
333,62.72,12.91
334,62.64,12.92
335,62.56,12.93
336,62.48,12.94
337,62.40,12.95
338,62.32,12.96
339,62.24,12.97
340,62.16,12.98
341,62.08,12.99
342,62.00,13.00
343,61.92,13.01
344,61.84,13.02
345,61.76,13.03
346,61.68,13.04
