sequence_number,score,value
1,100.00,8.50
2,99.80,8.51
3,99.60,8.52
4,99.40,8.53
5,99.20,8.54
6,99.00,8.55
7,98.80,8.56
8,98.60,8.57
9,98.40,8.58
10,98.20,8.59
11,98.00,8.60
12,97.80,8.61
13,97.60,8.62
14,97.40,8.63
15,97.20,8.64
16,97.00,8.65
17,96.80,8.66
18,96.60,8.67
19,96.40,8.68
20,96.20,8.69
21,96.00,8.70
22,95.40,8.73
23,95.20,8.74
24,95.00,8.75
25,94.80,8.76
26,94.60,8.77
27,94.40,8.78
28,94.20,8.79
29,94.00,8.80
30,93.80,8.81
31,93.60,8.82
32,93.40,8.83
33,93.20,8.84
34,93.00,8.85
35,92.80,8.86
36,92.60,8.87
37,92.40,8.88
38,92.20,8.89
39,92.00,8.90
40,91.80,8.91
41,91.60,8.92
42,91.40,8.93
43,91.20,8.94
44,91.00,8.95
45,90.80,8.96
46,90.60,8.97
47,90.40,8.98
48,90.20,8.99
49,90.00,9.00
50,89.90,9.01
51,89.80,9.02
52,89.70,9.03
53,89.60,9.04
54,89.50,9.05
55,89.40,9.06
56,89.30,9.07
57,89.20,9.08
58,89.10,9.09
59,89.00,9.10
60,88.90,9.11
61,88.80,9.12
62,88.70,9.13
63,88.60,9.14
64,88.40,9.16
65,88.30,9.17
66,88.20,9.18
67,88.10,9.19
68,88.00,9.20
69,87.90,9.21
70,87.80,9.22
71,87.70,9.23
72,87.60,9.24
73,87.50,9.25
74,87.40,9.26
75,87.30,9.27
76,87.20,9.28
77,87.10,9.29
78,87.00,9.30
79,86.90,9.31
80,86.80,9.32
81,86.70,9.33
82,86.60,9.34
83,86.50,9.35
84,86.40,9.36
85,86.30,9.37
86,86.20,9.38
87,86.10,9.39
88,86.00,9.40
89,85.90,9.41
90,85.80,9.42
91,85.70,9.43
92,85.60,9.44
93,85.50,9.45
94,85.40,9.46
95,85.30,9.47
96,85.20,9.48
97,85.10,9.49
98,85.00,9.50
99,84.90,9.51
100,84.80,9.52
101,84.70,9.53
102,84.60,9.54
103,84.50,9.55
104,84.40,9.56
105,84.30,9.57
106,84.20,9.58
107,84.10,9.59
108,84.00,9.60
109,83.90,9.61
110,83.80,9.62
111,83.70,9.63
112,83.60,9.64
113,83.50,9.65
114,83.40,9.66
115,83.30,9.67
116,83.20,9.68
117,83.10,9.69
118,83.00,9.70
119,82.90,9.71
120,82.80,9.72
121,82.70,9.73
122,82.60,9.74
123,82.50,9.75
124,82.40,9.76
125,82.30,9.77
126,82.20,9.78
127,82.10,9.79
128,82.00,9.80
129,81.90,9.81
130,81.80,9.82
131,81.70,9.83
132,81.60,9.84
133,81.50,9.85
134,81.40,9.86
135,81.30,9.87
136,81.20,9.88
137,81.10,9.89
138,81.00,9.90
139,80.90,9.91
140,80.80,9.92
141,80.70,9.93
142,80.60,9.94
143,80.50,9.95
144,80.40,9.96
145,80.30,9.97
146,80.20,9.98
147,80.00,10.00
148,79.80,10.02
149,79.70,10.03
150,79.60,10.04
151,79.50,10.05
152,79.40,10.06
153,79.30,10.07
154,79.20,10.08
155,79.10,10.09
156,79.00,10.10
157,78.90,10.11
158,78.80,10.12
159,78.70,10.13
160,78.60,10.14
161,78.50,10.15
162,78.40,10.16
163,78.30,10.17
164,78.20,10.18
165,78.10,10.19
166,78.00,10.20
167,77.90,10.21
168,77.80,10.22
169,77.70,10.23
170,77.60,10.24
171,77.50,10.25
172,77.40,10.26
173,77.30,10.27
174,77.20,10.28
175,77.10,10.29
176,77.00,10.30
177,76.90,10.31
178,76.80,10.32
179,76.70,10.33
180,76.60,10.34
181,76.50,10.35
182,76.40,10.36
183,76.30,10.37
184,76.20,10.38
185,76.10,10.39
186,76.00,10.40
187,75.90,10.41
188,75.80,10.42
189,75.70,10.43
190,75.60,10.44
191,75.50,10.45
192,75.40,10.46
193,75.30,10.47
194,75.20,10.48
195,75.10,10.49
196,75.00,10.50
197,74.90,10.51
198,74.80,10.52
199,74.70,10.53
200,74.60,10.54
201,74.50,10.55
202,74.40,10.56
203,74.30,10.57
204,74.20,10.58
205,74.10,10.59
206,74.00,10.60
207,73.90,10.61
208,73.80,10.62
209,73.70,10.63
210,73.60,10.64
211,73.50,10.65
212,73.40,10.66
213,73.30,10.67
214,73.20,10.68
215,73.10,10.69
216,73.00,10.70
217,72.90,10.71
218,72.80,10.72
219,72.70,10.73
220,72.60,10.74
221,72.50,10.75
222,72.40,10.76
223,72.30,10.77
224,72.20,10.78
225,72.10,10.79
226,72.00,10.80
227,71.90,10.81
228,71.80,10.82
229,71.70,10.83
230,71.60,10.84
231,71.50,10.85
232,71.40,10.86
233,71.20,10.88
234,71.10,10.89
235,71.00,10.90
236,70.90,10.91
237,70.80,10.92
238,70.70,10.93
239,70.60,10.94
240,70.50,10.95
241,70.40,10.96
242,70.30,10.97
243,70.20,10.98
244,70.10,10.99
245,70.00,11.00
246,69.92,11.01
247,69.84,11.02
248,69.76,11.03
249,69.68,11.04
250,69.60,11.05
251,69.52,11.06
252,69.44,11.07
253,69.36,11.08
254,69.28,11.09
255,69.20,11.10
256,69.12,11.11
257,69.04,11.12
258,68.96,11.13
259,68.88,11.14
260,68.80,11.15
261,68.72,11.16
262,68.64,11.17
263,68.56,11.18
264,68.48,11.19
265,68.40,11.20
266,68.32,11.21
267,68.24,11.22
268,68.16,11.23
269,68.08,11.24
270,68.00,11.25
271,67.92,11.26
272,67.84,11.27
273,67.76,11.28
274,67.68,11.29
275,67.52,11.31
276,67.44,11.32
277,67.36,11.33
278,67.28,11.34
279,67.20,11.35
280,67.12,11.36
281,67.04,11.37
282,66.96,11.38
283,66.88,11.39
284,66.80,11.40
285,66.72,11.41
286,66.64,11.42
287,66.56,11.43
288,66.48,11.44
289,66.40,11.45
290,66.32,11.46
291,66.24,11.47
292,66.16,11.48
293,66.08,11.49
294,66.00,11.50
295,65.92,11.51
296,65.84,11.52
297,65.76,11.53
298,65.68,11.54
299,65.60,11.55
300,65.52,11.56
301,65.44,11.57
302,65.36,11.58
303,65.28,11.59
304,65.20,11.60
305,65.12,11.61
306,65.04,11.62
307,64.96,11.63
308,64.88,11.64
309,64.80,11.65
310,64.72,11.66
311,64.64,11.67
312,64.56,11.68
313,64.48,11.69
314,64.40,11.70
315,64.24,11.72
316,64.08,11.74
317,64.00,11.75
318,63.92,11.76
319,63.84,11.77
320,63.76,11.78
321,63.68,11.79
322,63.60,11.80
323,63.52,11.81
324,63.44,11.82
325,63.36,11.83
326,63.28,11.84
327,63.20,11.85
328,63.12,11.86
329,63.04,11.87
330,62.96,11.88
331,62.88,11.89
332,62.80,11.90
333,62.72,11.91
334,62.64,11.92
335,62.56,11.93
336,62.48,11.94
337,62.40,11.95
338,62.32,11.96
339,62.24,11.97
340,62.16,11.98
341,62.08,11.99
342,62.00,12.00
343,61.92,12.01
344,61.84,12.02
345,61.76,12.03
346,61.68,12.04
347,61.60,12.05
348,61.52,12.06
349,61.44,12.07
350,61.36,12.08
351,61.28,12.09
352,61.20,12.10
353,61.12,12.11
354,61.04,12.12
355,60.96,12.13
356,60.88,12.14
357,60.80,12.15
358,60.64,12.17
359,60.56,12.18
360,60.48,12.19
361,60.40,12.20
362,60.32,12.21
363,60.24,12.22
364,60.16,12.23
365,60.08,12.24
