sequence_number,score,value
1,100,53.5
2,99.96,53.51
3,99.92,53.52
4,99.88,53.53
5,99.84,53.54
6,99.8,53.55
7,99.76,53.56
8,99.72,53.57
9,99.68,53.58
10,99.64,53.59
11,99.6,53.6
12,99.56,53.61
13,99.52,53.62
14,99.48,53.63
15,99.44,53.64
16,99.4,53.65
17,99.36,53.66
18,99.32,53.67
19,99.28,53.68
20,99.24,53.69
21,99.16,53.71
22,99.12,53.72
23,99.08,53.73
24,99.04,53.74
25,99,53.75
26,98.96,53.76
27,98.92,53.77
28,98.88,53.78
29,98.84,53.79
30,98.8,53.8
31,98.76,53.81
32,98.72,53.82
33,98.68,53.83
34,98.64,53.84
35,98.6,53.85
36,98.56,53.86
37,98.52,53.87
38,98.48,53.88
39,98.44,53.89
40,98.4,53.9
41,98.36,53.91
42,98.32,53.92
43,98.28,53.93
44,98.24,53.94
45,98.2,53.95
46,98.16,53.96
47,98.12,53.97
48,98.08,53.98
49,98.04,53.99
50,98,54
51,5,54
52,97.96,54.01
53,97.92,54.02
54,97.88,54.03
55,97.84,54.04
56,97.8,54.05
57,97.76,54.06
58,97.72,54.07
59,97.68,54.08
60,97.64,54.09
61,97.6,54.1
62,97.56,54.11
63,97.52,54.12
64,97.48,54.13
65,97.44,54.14
66,97.36,54.16
67,97.32,54.17
68,97.28,54.18
69,97.24,54.19
70,97.2,54.2
71,97.16,54.21
72,97.12,54.22
73,97.08,54.23
74,97.04,54.24
75,97,54.25
76,96.96,54.26
77,96.92,54.27
78,96.88,54.28
79,96.84,54.29
80,96.8,54.3
81,96.76,54.31
82,96.72,54.32
83,96.68,54.33
84,96.64,54.34
85,96.6,54.35
86,96.56,54.36
87,96.52,54.37
88,96.48,54.38
89,96.44,54.39
90,96.4,54.4
91,96.36,54.41
92,96.32,54.42
93,96.28,54.43
94,96.24,54.44
95,96.2,54.45
96,96.16,54.46
97,96.12,54.47
98,96.08,54.48
99,96.04,54.49
100,96,54.5
101,95.96,54.51
102,95.92,54.52
103,95.88,54.53
104,95.84,54.54
105,95.8,54.55
106,95.76,54.56
107,95.72,54.57
108,95.68,54.58
109,95.64,54.59
110,95.6,54.6
111,95.56,54.61
112,95.52,54.62
113,95.48,54.63
114,95.44,54.64
115,95.4,54.65
116,95.36,54.66
117,95.32,54.67
118,95.28,54.68
119,95.24,54.69
120,95.2,54.7
121,95.16,54.71
122,95.12,54.72
123,95.08,54.73
124,95.04,54.74
125,95,54.75
126,94.96,54.76
127,94.92,54.77
128,94.88,54.78
129,94.84,54.79
130,94.8,54.8
131,94.76,54.81
132,94.72,54.82
133,94.68,54.83
134,94.64,54.84
135,94.6,54.85
136,94.56,54.86
137,94.52,54.87
138,94.48,54.88
139,94.44,54.89
140,94.4,54.9
141,94.36,54.91
142,94.32,54.92
143,94.28,54.93
144,94.24,54.94
145,94.2,54.95
146,94.16,54.96
147,94.12,54.97
148,94.08,54.98
149,94.04,54.99
150,94,55
151,93.96,55.01
152,93.92,55.02
153,93.88,55.03
154,93.84,55.04
155,93.8,55.05
156,93.76,55.06
157,93.72,55.07
